id	paragraph	trigger_ref	verb	inputs	outputs	requirements	effects	supplied	check_count	check_statuses	contradictions
17E01	H17	f17r.4#3	rühre	17raw		[]	[]	Rohgut bleibt derselbe Patient; Gefäß aus Ortsform ergänzt	1	assumed	0
17E02	H17	f17r.4#8	presse	17raw	17juice|17pressrest	"[{""entity"":""17raw"",""property"":""wet"",""value"":true}]"	[]	Fortführung desselben Rohguts; zweiter Pressausgang ungeschrieben	2	assumed|unknown	0
17E03	H17	f17r.5#1	sondere ab	17A|17B|17C	17Apart|17Bpart|17Cpart	[]	[]	Drei unabhängige Materialvorräte, nicht aus Saft hergeleitet	1	assumed	0
17E04	H17	f17r.5#6	füge zusammen	17juice|17Apart|17Bpart|17Cpart	17extract	[]	[]	Früherer Saft und drei gewonnene Teile als Mischpatienten; zweite Portion als neues Ansatzgefäß verstanden	1	assumed	0
17E05	H17	f17r.6#2	bewahre	17clear		[]	[]	hiervon verbindet versuchsweise Auszug mit geklärtem Anteil	1	unknown	0
21E01	H21	f21r.8#2	zerkleinere	21raw	21crushed	"[{""entity"":""21raw"",""property"":""solid"",""value"":true}]"	[]		1	assumed	0
21E02	H21	f21r.8#4	füge hinzu	21crushed|21solid|21soft|21A	21mix1	[]	[]	Anfangsprodukt als Empfänger; danach cthey als Bezeichnung dieser Zubereitung	1	assumed	0
21E03	H21	f21r.9#4	miss ab	21fluid		[]	[]	Gefäßbezug und Flüssigkeitsanteil angesetzt	1	assumed	0
21E04	H21	f21r.10#1	prüfe	21mix1|21rest|21A		[]	[]	Drei Patientennamen auf voriger Zeile; Einzelprüfung keor	1	assumed	0
21E05	H21	f21r.10#3	vermische	21sample|21solid2|21clear	21mix2	[]	[]	Drei neue Mischzutaten; Herkunft von Probe und geklärtem Auszug offen	2	assumed|unknown	0
21E06	H21	f21r.11#6	füge hinzu	21mix2|21dryrest	21mix3	[]	[]	otyky singleton changes from nun to add; previous mixture is an implicit receiver	1	assumed	0
21E07	H21	f21r.11#7	teile ab	21mix3	21over|21wetrest	"[{""entity"":""21mix3"",""property"":""wet"",""value"":true}]"	[]	Fortgeführte Mischung einschließlich A-Rest statt isolierter trockener Quelle	1	assumed	0
21E08	H21	f21r.12#3	wähle aus	21B		[]	[]	Beide B-Nennungen bezeichnen dieselbe ausgewählte Portion	1	source_link	0
21E09	H21	f21r.12#4	nimm hinzu	21over|21B	21final	[]	[]	Überstand statt feuchtem Rest als Empfänger frei gewählt	1	unknown	0
21E10	H21	f21r.12#8	miss ab	21final		[]	[]	Letztes Ergebnis als impliziter Messpatient	1	unknown	0
32E01	H32	f32v.7#2	zerkleinere	32raw	32ground	"[{""entity"":""32raw"",""property"":""solid"",""value"":true}]"	[]	Nicht geschriebenes Ausgangsthema vorausgesetzt	1	unknown	0
32E02	H32	f32v.7#3	lasse ruhen	32ground		[]	[]	Voriges Zerkleinerungsprodukt als Patient	1	assumed	0
32E03	H32	f32v.7#8	füge zusammen	32ground|32rest|32fine	32powder	[]	[]	Wenig vom Grobgut sowie je abgemessener Rückstand/Feinmaterial; Pulver als Produktname angenommen	2	assumed|unknown	0
32E04	H32	f32v.8#7	nimm	32powder	32sample|32left	[]	[]	qotaiin und shan sind Bezeichnungen derselben genommenen Probe; d zeigt auf Pulver	1	assumed	0
