boundary_recovery_id	gdt452_recovery_id	terminal_event_id	terminal_statement_id	terminal_page	terminal_owner_de	stopped_target_recipe	stop_blocked_factor_rules	stop_final_decision	stop_state_preserved	boundary_class	boundary_state_source	boundary_incoming_action	boundary_incoming_argument	boundary_scope_incoming_action	boundary_event_id	boundary_recipe	boundary_next_recipe	boundary_baseline_decision	boundary_recovery_decision	boundary_recovery_route	boundary_blocked_factor_rules	boundary_recovery_status	cross_owner_stop_state_used	meaning_revision	surface_prediction	occurrence_prediction
G453-R0001	G452-R00010	G407-E4107	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	SAME_PAGE_NEW_OWNER_BANK	INDEPENDENT_OWNER_BANK	NONE	NONE	NONE	G407-E4108	T+CH+E+O+L	CARRIER_Q+O+E+AIR	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NO	NO	NO	NO
G453-R0002	G452-R00019	G407-E4551	G404-S083	f95v	F95V_WHOLE_PLANT	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	CHD	AIN	NONE	G407-E4552	P+SH+E+D_ADDR+AR	SH+E+DY	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0003	G452-R00037	G407-E0901	P1009-S030	f56r	stachelköpfiges Kraut in mehreren Reifestufen	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	NEW_PAGE_OWNER_BANK	INDEPENDENT_OWNER_BANK	NONE	NONE	NONE	G407-E0902	O+P+O+D_ADDR+OL	S	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NO	NO	NO	NO
G453-R0004	G452-R00117	G407-E1285	P1009-S060	f72r	Tierkreis-Ringgruppe E	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	SAME_PAGE_NEW_OWNER_BANK	INDEPENDENT_OWNER_BANK	NONE	NONE	NONE	G407-E1286	OT+O+AR	AIR	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NO	NO	NO	NO
G453-R0005	G452-R00304	G407-E0940	P1009-S033	f67r2	zwei getrennte Himmelsräder und Tabelle	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	R	AIIN	NONE	G407-E0941	Y+T+O+DY	NONE	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0006	G452-R00334	G407-E0927	P1009-S032	f67r2	zwei getrennte Himmelsräder und Tabelle	EMPTY_RECIPE	EMPTY_RECIPE	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	S	AIN	NONE	G407-E0928	O+P+AR+CH+Y	S+AL+S+AIN	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0007	G452-R00350	G407-E4486	G404-S070	f95v	F95V_WHOLE_PLANT	CH+CH+T+K+E+DY	PAIR:T>K	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	CHD	Y	NONE	G407-E4487	E+T+Y	AIN	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0008	G452-R00354	G407-E1963	P1009-S210	f76r	unbebilderter Textabschnitt A4	CH+SH+E+DY	PAIR:CH>SH	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	NONE	NONE	NONE	G407-E1964	OK+E+D_ADDR	OK+EE+S	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0009	G452-R00356	G407-E2209	P1009-S260	f76r	unbebilderter Textabschnitt B	CH+SH+EE+DY	PAIR:CH>SH	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	SH	Y	NONE	G407-E2210	Y+T+AL	OL+Y	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
G453-R0010	G452-R00395	G407-E2270	P1009-S270	f76r	unbebilderter Textabschnitt C	K+P+Y	PAIR:K>P	STOP	YES	SAME_OWNER_NEXT_STATEMENT	PRESERVED_STOP_STATE_SAME_OWNER	P	AIN	NONE	G407-E2271	Y	SH+E+DY	READ	READ	EXECUTE_KNOWN_FACTORS_GREEN	NONE	BOUNDARY_RECOVERED_GREEN	NOT_APPLICABLE	NO	NO	NO
