boundary_recovery_id	terminal_event_id	terminal_page	stopped_target_recipe	boundary_class	boundary_event_id	boundary_recipe	boundary_blocked_factor_rules	boundary_recovery_status
G453-R0097	G407-E4576	f95v	CH+CH+CHD+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0098	G407-E4576	f95v	CH+CH+SH+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0099	G407-E4576	f95v	CH+CHD+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0100	G407-E4576	f95v	CH+K+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0101	G407-E4576	f95v	CH+OK+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0102	G407-E4576	f95v	CH+P+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0103	G407-E4576	f95v	CH+S+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0104	G407-E4576	f95v	CH+SH+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0105	G407-E4576	f95v	CH+T+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
G453-R0106	G407-E4576	f95v	CHD+CH+T+Y	END_OF_STREAM	NONE	NONE	NONE	NO_BOUNDARY_CARD
