locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	STATE_0 :: chosaroshol	STATE_0 :: chosaroshol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	STATE_0 :: dakocth	STATE_0 :: dakocth	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	STATE_1 :: sofal	STATE_1 :: sofal	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	STATE_0 :: pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	STATE_0 :: pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	STATE_0 :: dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	STATE_0 :: dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	STATE_0 :: shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	STATE_0 :: shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	STATE_0 :: dcheor shol qokeeol chor chol qokeeody dareu	STATE_0 :: dcheor shol qokeeol chor chol qokeeody dareu	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	STATE_0 :: okeeos	STATE_0 :: okeeos	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	STATE_0 :: shockhey	STATE_0 :: shockhey	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	STATE_1 :: orol	STATE_1 :: orol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.19	f100r	P	A	f100r.19|P01	olcheom	STATE_1 :: olcheom	STATE_1 :: olcheom	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.2	f100r	P	A	f100r.2|P01	sochorcfhy	STATE_0 :: sochorcfhy	STATE_0 :: sochorcfhy	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.20	f100r	P	A	f100r.20|P01	oteol	STATE_0 :: oteol	STATE_0 :: oteol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.21	f100r	P	A	f100r.21|P01|f100r.21|P02	otols	STATE_0 :: otols	STATE_0 :: otols	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.22	f100r	P	A	f100r.22|P01|f100r.22|P02|f100r.22|P03	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	STATE_0 :: folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	STATE_0 :: folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.23	f100r	P	A	f100r.23|P01|f100r.23|P02|f100r.23|P03	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	STATE_0 :: soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	STATE_0 :: soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
