statement_id	record_unit_id	page	surface_sequence	atomic_sequence	visible_owner_added	fluent_workshop_translation_de	allowed_expansion_channels	removed_old_expansions
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H1-S002	H1	f10r	qokchy qotchol chol cthy	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	Wurzel und übrige Teile der abgebildeten Pflanze	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	zweiter Arbeitsartikel unter demselben Pflanzenbild	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	zweiter Arbeitsartikel unter demselben Pflanzenbild	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	zweiter Arbeitsartikel unter demselben Pflanzenbild	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	Blütenkraut der abgebildeten Pflanze	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H3-S002	H3	f11r	shoyty	Zutatfolgeteil	Blütenkraut der abgebildeten Pflanze	Halte einen weiteren Zutatteil für den folgenden Gang bereit.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H3-S003	H3	f11r	dchol chy kchy dy daiin	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	Blütenkraut der abgebildeten Pflanze	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H3-S004	H3	f11r	qotchy okchol cthy dy	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	Blütenkraut der abgebildeten Pflanze	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	Blattmaterial der abgebildeten Pflanze	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.	CARD_VALUES|VISIBLE_PLANT_OWNER|ACTIVE_RECORD_REFERENCE|GERMAN_GRAMMAR	WINE|ULCER|DRAUGHT|FLOWERING_ONSET|PLANT_TIPS|COARSE_GRIND|FREE_WASH_OR_STRAIN_FROM_K
