event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface	deck_class	atomic_value_de	contextual_expansion_de	visible_owner	statement_translation_de
E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	MEMORIZED_WHOLE_CARD	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	PRODUCTIVE_COMPOSITION	Bereitansatz	Säubere ihn	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	PRODUCTIVE_COMPOSITION	Quelle	Aus demselben Vorrat	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	MEMORIZED_WHOLE_CARD	Zerkleinern	Zerschneide ihn	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	PRODUCTIVE_COMPOSITION	Gefäß	Gib die Stücke in ein Gefäß	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	PRODUCTIVE_COMPOSITION	Wasserzulauf	Wasser zulaufen lassen	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	PRODUCTIVE_COMPOSITION	Folgeteilfortsetzung	Auffangen	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	PRODUCTIVE_COMPOSITION	Einsetzen	Posten ansetzen	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	PRODUCTIVE_COMPOSITION	Sollmaß	Sollmaß	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	PRODUCTIVE_COMPOSITION	Kurzrest	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	Wurzel und übrige Teile der abgebildeten Pflanze	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
