target_ordinal	surface	final_recipe	flag_reasons	primary_anchor_recipe	primary_anchor_atom_count	primary_visible_rank	primary_context_relation	primary_context_rank	primary_supported_interfaces	primary_interface_count	shorter_anchor_recipe	shorter_anchor_start_atom	shorter_anchor_atom_count	shorter_extension_direction	shorter_left_extension_recipe	shorter_right_extension_recipe	old_anchor_event_count	old_anchor_surfaces	visible_stem_status	visible_rank	best_visible_stem_surface	best_visible_stem_char_start	shorter_anchor_context_modes	shorter_anchor_context_relation	shorter_context_rank	shorter_supported_interfaces	shorter_interface_count	all_shorter_interfaces_old	visible_nonworse	context_nonworse	interface_nonworse	repairs_context_flag	repairs_interface_flag	qualifies_as_secondary_bridge	rejection_reasons	selected_secondary_bridge	guard
1	aiicthy	AIIN+CH+T+Y	NEW_ATOM_INTERFACE	CH+T+Y	3	2	TARGET_MODE_SET_EQUAL	3	0	1	CH+T	2	2	BOTH_SIDES	AIIN	Y	1	cth	ALIGNED_EXACT_OLD_SURFACE_STEM	2	cth	4	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	3	1	2	NO	YES	YES	YES	NO	NO	NO	NO_FLAG_REPAIRED	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
1	aiicthy	AIIN+CH+T+Y	NEW_ATOM_INTERFACE	CH+T+Y	3	2	TARGET_MODE_SET_EQUAL	3	0	1	T+Y	3	2	LEFT_EXTENSION	AIIN+CH	NONE	3	chety|tchy|tshy	NO_EXACT_OLD_SURFACE_STEM	0	NONE	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	3	1	1	YES	NO	YES	YES	NO	YES	NO	VISIBLE_STEM_SUPPORT_WORSE	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
7	chckhedy	CH+CH+K+E+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	K+E+DY	3	0	TARGET_MODE_SET_DISJOINT	0	1	1	CH+K	2	2	BOTH_SIDES	CH	E+DY	1	chckh	DIRECTION_MISMATCH_EXACT_OLD_SURFACE_STEM	1	chckh	1	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	3	2	2	YES	YES	YES	YES	YES	NO	YES	NONE	YES	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
18	chepakeo	CH+E+P+A_ADDR+K+E+O	NEW_ATOM_INTERFACE	CH+E+P	3	2	TARGET_MODE_SET_EQUAL	3	0	1	CH+E	1	2	RIGHT_EXTENSION	NONE	P+A_ADDR+K+E+O	1	che	ALIGNED_EXACT_OLD_SURFACE_STEM	2	che	1	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	0	1	1	YES	YES	NO	YES	NO	YES	NO	CONTEXT_SUPPORT_WORSE	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
18	chepakeo	CH+E+P+A_ADDR+K+E+O	NEW_ATOM_INTERFACE	CH+E+P	3	2	TARGET_MODE_SET_EQUAL	3	0	1	E+O	6	2	LEFT_EXTENSION	CH+E+P+A_ADDR+K	NONE	2	eo	ALIGNED_EXACT_OLD_SURFACE_STEM	2	eo	7	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	3	1	1	YES	YES	YES	YES	NO	YES	YES	NONE	YES	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
19	chepos	CH+E+P+O+S	ANCHOR_CONTEXT_MODE_DIFFERENCE	CH+E+P	3	2	TARGET_MODE_SET_DISJOINT	0	1	1	CH+E	1	2	RIGHT_EXTENSION	NONE	P+O+S	1	che	ALIGNED_EXACT_OLD_SURFACE_STEM	2	che	1	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	3	1	1	YES	YES	YES	YES	YES	NO	YES	NONE	YES	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_ATOM_INTERFACE	O+LOCAL_CHAR_F+AR	3	2	TARGET_MODE_SET_EQUAL	3	0	1	O+LOCAL_CHAR_F	1	2	RIGHT_EXTENSION	NONE	AR+AM_ADDR	1	qof	NO_EXACT_OLD_SURFACE_STEM	0	NONE	0	REQUIRES_ACTIVE_ACTION	TARGET_MODE_SET_DISJOINT	0	1	1	YES	NO	NO	YES	NO	YES	NO	VISIBLE_STEM_SUPPORT_WORSE|CONTEXT_SUPPORT_WORSE	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_ATOM_INTERFACE	O+LOCAL_CHAR_F+AR	3	2	TARGET_MODE_SET_EQUAL	3	0	1	LOCAL_CHAR_F+AR	2	2	BOTH_SIDES	O	AM_ADDR	1	far	ALIGNED_EXACT_OLD_SURFACE_STEM	2	far	2	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	TARGET_MODE_SET_EQUAL	3	1	2	NO	YES	YES	YES	NO	NO	NO	NO_FLAG_REPAIRED	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
121	shokaiir	SH+OK+IIN+R	ANCHOR_CONTEXT_MODE_DIFFERENCE	OK+IIN+R	3	2	TARGET_MODE_SET_DISJOINT	0	1	1	SH+OK	1	2	RIGHT_EXTENSION	NONE	IIN+R	1	shok	ALIGNED_EXACT_OLD_SURFACE_STEM	2	shok	1	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	0	1	1	YES	YES	YES	YES	NO	NO	NO	NO_FLAG_REPAIRED	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
133	tosheo	T+O+SH+E+O	ANCHOR_CONTEXT_MODE_DIFFERENCE	O+SH+E+O	4	2	TARGET_MODE_SET_DISJOINT	0	1	1	SH+E+O	3	3	LEFT_EXTENSION	T+O	NONE	5	sheo	ALIGNED_EXACT_OLD_SURFACE_STEM	2	sheo	3	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_INCLUDED	2	1	1	YES	YES	YES	YES	YES	NO	YES	NONE	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
133	tosheo	T+O+SH+E+O	ANCHOR_CONTEXT_MODE_DIFFERENCE	O+SH+E+O	4	2	TARGET_MODE_SET_DISJOINT	0	1	1	SH+E	3	2	BOTH_SIDES	T+O	O	2	she	ALIGNED_EXACT_OLD_SURFACE_STEM	2	she	3	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	3	2	2	YES	YES	YES	YES	YES	NO	YES	NONE	YES	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
133	tosheo	T+O+SH+E+O	ANCHOR_CONTEXT_MODE_DIFFERENCE	O+SH+E+O	4	2	TARGET_MODE_SET_DISJOINT	0	1	1	E+O	4	2	LEFT_EXTENSION	T+O+SH	NONE	2	eo	ALIGNED_EXACT_OLD_SURFACE_STEM	2	eo	5	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	3	1	1	YES	YES	YES	YES	YES	NO	YES	NONE	NO	SHORTER_EXACT_OLD_RECIPE_ANCHOR__PRIMARY_GDT543_ANCHOR_RETAINED
