target_ordinal	surface	final_recipe	flag_reasons	retained_primary_anchor_recipe	shorter_exact_multiatom_candidate_count	qualified_shorter_candidate_count	shorter_candidate_recipes	decision	guard
1	aiicthy	AIIN+CH+T+Y	NEW_ATOM_INTERFACE	CH+T+Y	2	0	CH+T|T+Y	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
5	chady	CH+A_ADDR+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	CH+A_ADDR	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
6	chap	CH+A_ADDR+P	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	CH+A_ADDR	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
54	folchol	LOCAL_CHAR_F+OL+OL	ANCHOR_CONTEXT_MODE_DIFFERENCE	OL+OL	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
66	kody	K+O+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	O+DY	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_ATOM_INTERFACE	O+LOCAL_CHAR_F+AR	2	0	LOCAL_CHAR_F+AR|O+LOCAL_CHAR_F	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
88	qoekedy	CARRIER_Q+O+E+K+E+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	K+E+DY	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
94	qokshd	OK+SH+D_ADDR	ANCHOR_CONTEXT_MODE_DIFFERENCE	OK+SH	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
98	qoteeod	OT+EE+O+D_ADDR	ANCHOR_CONTEXT_MODE_DIFFERENCE	OT+EE+O	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
100	rotaiin	R+OT+AIIN	NEW_ATOM_INTERFACE	OT+AIIN	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
101	saiis	S+A_ADDR+IIN+S	ANCHOR_CONTEXT_MODE_DIFFERENCE	S+A_ADDR	0	0	NONE	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
121	shokaiir	SH+OK+IIN+R	ANCHOR_CONTEXT_MODE_DIFFERENCE	OK+IIN+R	1	0	SH+OK	KEEP_GDT543_PRIMARY_AS_EXPLICIT_DEFAULT	NO_QUALIFIED_SHORTER_SECONDARY_BRIDGE__CARD_NOT_REJECTED
