metric	value
flagged_target_count	16
shorter_exact_multiatom_candidate_count	12
flagged_target_with_shorter_candidate_count	7
qualified_shorter_candidate_count	6
qualified_target_count	4
selected_secondary_bridge_count	4
context_secondary_bridge_count	3
interface_secondary_bridge_count	1
selected_secondary_surface_count	4
selected_secondary_all_context_equal_count	4
selected_secondary_all_interfaces_old_count	4
selected_secondary_aligned_visible_count	3
selected_secondary_direction_mismatch_visible_count	1
unrepaired_flagged_target_count	12
unrepaired_with_no_shorter_candidate_count	9
unrepaired_with_unqualified_shorter_candidates_count	3
primary_anchor_changes	0
new_pages	0
recipe_changes	0
root_meaning_changes	0
