rule_id	precedence	rule_name	feature_condition	action	expected_audit_scope	confidence_level	evidence	counterevidence	claim_limit
G00	0	NONBINDING_CONFLICT_STAYS_SILENT	conflict_only_nonbinding_contact=1	retain as evidence; grant no role	1 ring row	HIGH_INTERNAL	G740-E0048/G739-N00627 is the selected scalar rival omitted from the binding deck	one occurrence only	evidence bookkeeping only
G01	1	REVERSE_CLOSURE_CROSSING	radius-two AXIS-only and reverse direct CARRIER-only lie on the same side; the direct host is the middle cell and carries CLOSE	block both single-role contacts	1 target/2 contacts	PROVISIONAL_SINGLETON	one exact closure-owned bridge at f10v.1 removes borrowed amount and preparation	no repeated frame; singleton rule	occurrence geometry only
G02	2	BILATERAL_ROLE_SPLIT	direct AXIS and CARRIER occur on opposite flanks; no one direct host carries both roles	block both flanks	1 target/2 contacts	PROVISIONAL_SINGLETON	one exact bilateral split at f83r.19 prevents a synthetic axis-carrier phrase	no repeated frame; singleton rule	no general Voynich word order
G03	3	STATE_OPPOSITE_AXIS_RIVAL	state target has a selected favored-axis host and an exact known opposite R1 whole carries another quality axis	block AXIS; carrier may remain	1 target/1 selected contact	PROVISIONAL_SINGLETON	one dry-versus-hot opposition at f111v.23	opposite rival has no W2/W3 renderer licence	working whole-field conflict only
G04	4	PURE_AMOUNT_FIELD_OWNS_VALUE	direct AXIS+CARRIER host has only AMOUNT_DOSE scalar class and tags drawn from AMOUNT plus broad carriers	block AXIS; carrier may remain	1 target/1 contact	PROVISIONAL_SINGLETON	one complete counted-material field at f112r.35 owns its written quantity	one trigger; nearby amount/part frames fail the full pure-field condition	no unit or number lexeme
G05	5	SINGLE_HOST_COMPOSITE_CARRIER	requested multi-component carrier is distributed across direct hosts and no single direct host covers it	block carrier union	2 targets/4 contacts	SUPPORTED_INTERNAL	two independent direct split-carrier targets at f107r.24 and f112v.38	no shared bound practical span	broad carrier classes only
G06A	6	TIGHT_AXIS_RELAY	radius-two AXIS-only contact has formal direction; attested reader-exact full frame; reader-exact known independently emitted nonhead nontarget middle with barrier OPEN; identical nonempty target-axis signature in middle and host	retain AXIS relay	1 target/1 contact	EXPLORATORY_SINGLETON	qokeey-okeey-lain continues one HOT quality signature through the middle field	no repeated radius-two full frame	manual working relay compressed into features
G06C	6	TIGHT_CARRIER_RELAY	radius-two CARRIER-only contact has formal direction; attested reader-exact full frame; reader-exact known independently emitted nonhead nontarget middle with barrier OPEN; requested carrier occurs in middle and host	retain CARRIER relay	1 target/1 contact	EXPLORATORY_SINGLETON	pcheol-sholoiin-cthor continues MATERIAL through the middle field	no repeated radius-two full frame	manual working relay compressed into features
G07	7	DIRECT_PROCESS_RESULT_SUPPORT	old PROCESS_RESULT has a retained direct carrier host carrying PROCESS	retain one supported result; otherwise QUALITY_STATE	8 old result targets:1 retained/7 downgraded	SUPPORTED_INTERNAL	all eight old result cases are separated by direct process support	one positive result occurrence only	mode architecture only; no verb or result lexeme
G08	8	ZERO_EXPORT	any proposed global whole/component/head/body/unseen-form/plaintext/literal-patient export	forbid export	all outputs	HARD_GUARD	all inherited claim fields remain zero	none within scope	no lexeme language plaintext patient species or unseen form
