pair_id	atomic_value_de	event_id	owner	right_neighbor_value_de	deliberately_wrong_joint_tuple_id	wrong_surface_palette	correct_joint_tuple_id	correct_surface	repair_route	master_exemplar_opened	repaired_exactly
P01	Abführung	E174	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Langkontakt	f2af6326898fb5b490a4	lochedy	ba8142680851f24c9ff2	lched	OWNER	NO	YES
P02	Einsetzen	E008	Wurzel und übrige Teile der abgebildeten Pflanze	Sollmaß	9ad66e67803a12e745de	chokchy|okchy|qokchy	276a7c2d74d1143446f4	oky	OWNER_PLUS_RIGHT_NEIGHBOR	NO	YES
P03	Folgefortsetzung	E012	Wurzel und übrige Teile der abgebildeten Pflanze	Fortsetzung	497cbd9c7401810ff56b	otol	e8a6105b5c3a6220b440	qotchol	OWNER	NO	YES
P04	Folgeposten	E052	Blütenkraut der abgebildeten Pflanze	Fortsetzungseinsatz	faf321940aed922846a9	otchey	a48efd6c4491a046ba78	qotchy	OWNER	NO	YES
P05	Kurzkontakt	E101	B1_SHARED_TWO_ROW_POOL	END	08bd5ca0c2ad137a056d	okey|qokey	7db18b2f0fb7ed0fcfd3	qokedy	OWNER_PLUS_RIGHT_NEIGHBOR	NO	YES
P06	Kurzvorbereitung	E204	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Langkontakt	cb57b696b815fdef9cb7	shecthy	6b89d6dd70635bc60fe0	qcthey	OWNER	NO	YES
P07	Langkontakt	E171	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	END	0275fbf14e07935b0a45	okeey|qokeey	7d25241b0e56c836372a	qokeedy	OWNER_PLUS_RIGHT_NEIGHBOR	NO	YES
P08	Langsammlung	E162	B1_SHARED_TWO_ROW_POOL	END	1bfd786e6b8b63734a59	solkeey	3b70942557b3a40e8030	olkeedy	OWNER	NO	YES
P09	Langwärmen	E183	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	abziehen	a84fbe3ad380df345b97	chkeedy	f0db6d30cd34f4cb2a4d	chkeey	OWNER	NO	YES
P10	Rücknahmeschluss	E045	Blütenkraut der abgebildeten Pflanze	END	97cc9ac109148723c472	ody	2e2027b1951d79911e24	tchody	OWNER	NO	YES
P11	Waschgang	E141	B1_SHARED_TWO_ROW_POOL	Kurzkontakt	2e7e89e0bd12b999c280	lshedy	be0974b366c981dc1eef	lsho	OWNER_PLUS_RIGHT_NEIGHBOR	NO	YES
P12	Wiedereinsatz	E090	Stängel-/Pflanzenteil der abgebildeten Pflanze	END	232195d6ff2f326322f7	qokol	1322bc176443fc2a8a86	qokokchy	OWNER	NO	YES
P13	Zieleinsatz	E172	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Abführpassage	4a7a6326ac95a8809302	qokaly	308e8ea2d5d190c498e8	qokal	OWNER_PLUS_RIGHT_NEIGHBOR	NO	YES
P14	Zieltransfer	E280	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	END	00d8ebe3c68294eeac39	chdal	2bc2ed2630dbdaaa6b59	dalchdy	OWNER	NO	YES
