joint_tuple_id	surface_family	event_id	statement_id	page	previous_reading_de	family_disposition	family_id	selected_parse	compact_reading_de	confidence	reason_en
bdad9f9ea8b80f141496	cfhy	E041	H3-S001	f11r	auswringen	WHOLE_RETAIN	SEPARATION_SPECIALIST	MEMORIZED_WHOLE_CARD	auswringen	LOCAL	The first separator remains a learned specialist command paired with CPHY.
d788d8d72d41b25a3c71	chealror	E290	B3-S026	f83r	klar	PARTIAL_RECOMPOSITION	BATCH_DIRECTION	AL_TO+R_LOCAL+OR_BATCH	Ansatz von dort zur Zielstelle	MEDIUM	AL and OR are visible; the internal R carrier marks the local source transition but is not promoted globally.
db729b598e89e11452e0	ches	E216	B2-S016	f82r	teilen	WHOLE_RETAIN	SPECIAL_ACTION	MEMORIZED_WHOLE_CARD	teilen	LOCAL	Division remains a short learned command; it supports the part workflow without defining a new letter root.
deb377381ceaf55ea310	cphy	E043	H3-S001	f11r	nachseihen	WHOLE_RETAIN	SEPARATION_SPECIALIST	MEMORIZED_WHOLE_CARD	nachseihen	LOCAL	The second separator remains a learned specialist command paired with CFHY.
65f320e75510b2f38182	dchey	E001	H1-S001	f10r	Wurzel	WHOLE_RETAIN	PLANT_PART_SPECIALIST	MEMORIZED_WHOLE_CARD	Wurzel	LOCAL	The pictured-plant part remains a learned card rather than a forced D plus Y split.
74c76d589d44120f647b	dsheol	E160	B1-S018	f81v	einreiben	PRODUCTIVE_RECOMPOSITION	REST_CONTINUATION	SH_REST+E_SHORT+OL_CONTINUE	kurz weiter ruhen lassen	HIGH	The selected rest family, short grade and continuation form a complete process state.
a6939862e33ece5a0483	etyd	E010	H1-S001	f10r	Rest	PRODUCTIVE_RECOMPOSITION	TY_PART	E_SHORT+TY_PART+D_LOCAL	kleiner Restteil	HIGH	The short-grade TY unit at record end naturally preserves a small remainder.
75a523fcf039b006f97b	kchal	E093	H5-S004	f56r	abseihen	PRODUCTIVE_RECOMPOSITION	KCH_PROCESS	KCH_PROCESS+AL_TO	an der Zielstelle bearbeiten	HIGH	KCH plus target completes the four-member KCH operation grid.
b74e9e65637b7c8538dd	kchey	E089	H5-S003	f56r	zerreiben	PRODUCTIVE_RECOMPOSITION	KCH_PROCESS	KCH_PROCESS+E_SHORT+Y_CURRENT	diesen Posten kurz bearbeiten	HIGH	KCH plus short grade and current item predicts a brief processing instruction.
893c570f3fa3fce99711	kchol	E079	H5-S001	f56r	auflegen	PRODUCTIVE_RECOMPOSITION	KCH_PROCESS	KCH_PROCESS+OL_CONTINUE	weiter bearbeiten	HIGH	KCH processing plus OL continuation predicts the operation between ingredient and following batch.
b2812c8283c3a62438bd	kchy	E049	H3-S003	f11r	Trank	PRODUCTIVE_RECOMPOSITION	KCH_PROCESS	KCH_PROCESS+Y_CURRENT	diesen Posten bearbeiten	HIGH	The ungraded KCH member applies processing to the current item.
2b7fa918d1b2f5c656e3	lo	E263	B3-S016	f83r	Ablauf schließen	PARTIAL_RECOMPOSITION	OUTFLOW_WORKFLOW	L_OUT+O_LOCAL	abfuehren	MEDIUM	L contributes outward movement; the small local carrier is not generalized.
5eff216ba51fbfb21f22	ls	E196	B2-S010	f82r	Düse	PARTIAL_RECOMPOSITION	OUTFLOW_WORKFLOW	L_OUT+S_PORT	Auslass	MEDIUM	L contributes outward direction and S remains a learned port selector; DUESE was too specific.
b38d70daefd663d74625	ly	E159	B1-S018	f81v	Schale	SHARED_WHOLE_HEADWORD	VESSEL_NOMENCLATOR	MEMORIZED_VESSEL_CARD	Gefaess	LOCAL	The image selects the receiving shape; the card need not lexicalize SCHALE.
df1098831679a8ad1b39	os	E005	H1-S001	f10r	Gefäß	SHARED_WHOLE_HEADWORD	VESSEL_NOMENCLATOR	MEMORIZED_VESSEL_CARD	Gefaess	LOCAL	General work vessel.
27d97af8c96eb056c2e6	oykchor	E032	H2-S003	f10r	Topf	SHARED_WHOLE_HEADWORD	VESSEL_NOMENCLATOR	MEMORIZED_VESSEL_CARD	Gefaess	LOCAL	The image selects the preparation vessel; the card need not lexicalize TOPF.
