root	working_value_de	register	mention_count	event_count	page_count	pages	top_companion_atoms	allowed_register_expansion_de	register_rule
Y	POSTEN	HERBAL	333	307	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	CH:114|K:78|T:65|O:45|E:39|OK:39|D_ADDR:37|SH:26	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
Y	POSTEN	BIOLOGICAL	817	804	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	E:198|CH:192|SH:175|EE:160|K:147|CHD:141|OK:114|D_ADDR:84	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
Y	POSTEN	CELESTIAL	182	168	4	f67r2|f68r1|f71v|f72r	E:62|CH:49|O:48|EE:46|K:41|OT:29|T:29|SH:23	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
Y	POSTEN	PHARMA	205	196	3	f88r|f88v|f89r	E:81|O:75|CH:71|K:47|OK:41|EE:41|D_ADDR:35|SH:23	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
Y	POSTEN	SOURCE_SECTION_T	74	70	1	f1r	CH:23|SH:23|E:17|K:16|O:15|D_ADDR:13|T:10|EE:10	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
OK	SETZEN	HERBAL	114	113	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	Y:39|CH:19|AIIN:13|AL:12|OR:11|O:11|E:11|AR:10	ansetzen; aktivieren; in den Arbeitsgang setzen	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
OK	SETZEN	BIOLOGICAL	482	482	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	DY:167|EE:133|Y:114|E:112|AIN:56|AL:44|AIIN:44|AR:30	ansetzen; aktivieren; in den Arbeitsgang setzen	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
OK	SETZEN	CELESTIAL	76	76	4	f67r2|f68r1|f71v|f72r	O:22|Y:21|E:20|AL:17|EE:16|OL:9|AIIN:9|D_ADDR:8	ansetzen; aktivieren; in den Arbeitsgang setzen	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
OK	SETZEN	PHARMA	86	86	3	f88r|f88v|f89r	Y:41|E:38|OL:24|O:22|EE:18|D_ADDR:12|OR:4|AR:4	ansetzen; aktivieren; in den Arbeitsgang setzen	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
OK	SETZEN	SOURCE_SECTION_T	16	16	1	f1r	Y:5|SH:3|AIIN:2|AN:2|CH:2|O:2|EE:2|AIN:1	ansetzen; aktivieren; in den Arbeitsgang setzen	DEFAULT BLEIBT GLEICH; NUR BESITZERLOKALE KONKRETISIERUNG
