root	working_value_de	structural_category	mention_count	event_count	page_count	register_count	leave_one_page_support_counts	allowed_owner_local_expansions_de	do_not_overread_de	green_next_page_condition_de	amber_next_page_condition_de	red_next_page_condition_de	weakest_current_event_id	weakest_current_support_class
Y	POSTEN	ARGUMENT	1611	1545	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:1095|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:352|EXACT_RECIPE_FROM_OTHER_PAGE:117|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:47	dieser Teil; dieses Gefäß; diese Station; dieser Sektor	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	der Kern müsste ohne Besitzer ein festes fremdes Nomen benennen	G407-E0022	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
OK	SETZEN	HANDLUNG	774	773	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:643|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:67|EXACT_RECIPE_FROM_OTHER_PAGE:49|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:15	ansetzen; aktivieren; in den Arbeitsgang setzen	nicht automatisch erhitzen, spülen oder beginnen	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	die Karte wäre nur ein Gegenstand und kein Einsetz-/Aktivierungskopf	G407-E0195	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
OL	FORTSETZEN	REIHENFOLGE	688	677	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:495|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:111|EXACT_RECIPE_FROM_OTHER_PAGE:67|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:15	weiter; mit dem Vorigen; im selben Gang	niemals aus der Oberfläche Öl ableiten	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	es gibt weder Vorbezug noch fortsetzbaren Geschwistergang	G407-E0034	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
OT	DANACH	REIHENFOLGE	363	363	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:271|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:48|EXACT_RECIPE_FROM_OTHER_PAGE:32|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:12	danach; nächster Geschwistergang	nicht automatisch erneut oder rückwärts	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	der Kern müsste stabil VORHER statt DANACH bedeuten	G407-E0034	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
AL	ZIELORT	BEZIEHUNG	352	348	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:210|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:91|EXACT_RECIPE_FROM_OTHER_PAGE:36|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:15	Ziel; Empfänger; Körper-/Stationsstelle	keine Anatomie und keine Richtung ohne Besitzer erfinden	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	dieselbe Hülle erzwingt wiederholt die Ausgangsseite	G407-E0831	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
CH	NEHMEN	HANDLUNG	843	770	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:454|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:297|EXACT_RECIPE_FROM_OTHER_PAGE:69|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:22|KNOWN_CORE_PLUS_PAGE_PRIVATE_LOCAL_SIGN:1	entnehmen; aufnehmen; heranziehen	nicht den ganzen folgenden Arbeitsgang in NEHMEN packen	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	der Kern ist wiederholt nur Zustand oder Schluss und keine Entnahmehandlung	G407-E3835	KNOWN_CORE_PLUS_PAGE_PRIVATE_LOCAL_SIGN
SH	HALTEN	HANDLUNG	631	627	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:441|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:162|EXACT_RECIPE_FROM_OTHER_PAGE:19|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:9	halten; ruhen lassen; aufbewahren	nicht automatisch Wärme, Klarheit oder Dauer	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	die Karte erzwingt wiederholt eine Übergabe statt Beibehaltung	G407-E0046	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
AR	AUSGANG	BEZIEHUNG	323	318	23	5	EXACT_SURFACE_FROM_OTHER_PAGE:219|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:69|EXACT_RECIPE_FROM_OTHER_PAGE:22|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:13	Quelle; Ausgang; Entnahmestelle	kein sichtbarer Pfeil darf stillschweigend ergänzt werden	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	dieselbe Hülle erzwingt wiederholt den Ziel-/Empfängerwert	G407-E0035	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
K	GEBEN	HANDLUNG	492	486	24	5	EXACT_SURFACE_FROM_OTHER_PAGE:258|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:169|EXACT_RECIPE_FROM_OTHER_PAGE:49|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:16	zugeben; zuteilen; zuordnen	nicht automatisch Wasser oder Empfänger	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	die Karte erzwingt wiederholt Entnahme statt Übergabe/Zuweisung	G407-E0127	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
AIIN	WERT	ARGUMENT	432	432	23	5	EXACT_SURFACE_FROM_OTHER_PAGE:361|ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES:41|EXACT_RECIPE_FROM_OTHER_PAGE:22|KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION:8	Maß; Dosis; Grad; Positionswert	keine Zahl, Waage oder Einheit behaupten, wenn sie nicht lokal vorliegt	Kernrolle und Default bleiben erhalten; neuer Gegenstand kommt nur aus Besitzer/Hülle	Default bleibt möglich, aber Komplement- oder Besitzerklasse ist auf den 26 Seiten neu	der Kern müsste eine konkrete Substanz oder Person benennen	G407-E0092	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION
