root	working_value_de	global_running_event_id	global_running_ordinal	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	card_ordinal	atom_ordinal_in_card	flat_atom_ordinal	leave_one_page_support_class	other_surface_pages	other_recipe_pages	unsupported_adjacent_pairs	working_core_reading_de	semantic_disposition	recipe_global_frequency	why_weakest_de	next_page_comparison_use
Y	POSTEN	G407-E0022	22	f1r	SOURCE_SECTION_T	f1r.3	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	Y+IIN	WÄHLEN · POSTEN · STUFE · MARKIEREN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
OK	SETZEN	G407-E0195	195	f1r	SOURCE_SECTION_T	f1r.25	G404-S006	F1R_TEXT_BLOCK_D	kokaiin	K+OK+AIIN	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	K+OK	GEBEN · SETZEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
OL	FORTSETZEN	G407-E0034	34	f1r	SOURCE_SECTION_T	f1r.4	G404-S001	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	OL+OT	MARKIEREN · FORTSETZEN · DANACH · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
OT	DANACH	G407-E0034	34	f1r	SOURCE_SECTION_T	f1r.4	G404-S001	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	1	3	3	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	OL+OT	MARKIEREN · FORTSETZEN · DANACH · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
AL	ZIELORT	G407-E0831	831	f56r	HERBAL	f56r.5	P1009-S029	stachelköpfiges Kraut in mehreren Reifestufen	chodaly	HO+AL+Y	1	2	2	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	HO+AL	KLASSE · ZIELORT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
CH	NEHMEN	G407-E3835	3835	f88r	PHARMA	f88r.10	P1009-S590	sechzehn Drogenposten und drei Gefäßansätze	cheojam	CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	1	1	1	KNOWN_CORE_PLUS_PAGE_PRIVATE_LOCAL_SIGN	NONE	NONE	O+LOCAL_CHAR_J|LOCAL_CHAR_J+A_ADDR	NEHMEN · GRAD I · AUSFÜHRUNG · VARIANTE · HIER · HIER	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
SH	HALTEN	G407-E0046	46	f1r	SOURCE_SECTION_T	f1r.6	G404-S001	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	1	6	6	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	LOCAL_CHAR_I+SH	POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
AR	AUSGANG	G407-E0035	35	f1r	SOURCE_SECTION_T	f1r.4	G404-S001	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	1	4	4	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	T+LOCAL_CHAR_I|LOCAL_CHAR_I+AR	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
K	GEBEN	G407-E0127	127	f1r	SOURCE_SECTION_T	f1r.16	G404-S005	F1R_TEXT_BLOCK_C	koeam	K+O+E+AM_ADDR	1	1	1	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	E+AM_ADDR	GEBEN · AUSFÜHRUNG · GRAD I · HIER	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
AIIN	WERT	G407-E0092	92	f1r	SOURCE_SECTION_T	f1r.13	G404-S005	F1R_TEXT_BLOCK_C	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	1	5	5	KNOWN_ATOMS_NEW_PACKAGE_COMPOSITION	NONE	NONE	AIIN+L	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · WERT · VERBINDUNG · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER	1	seltenste/wenigst anderweitig paketgestützte vorhandene Verwendung; Default bleibt dennoch lesbar	Neue Verwendung zuerst gegen diesen Grenzfall lesen, nicht gegen den bequemsten Standardfall
