root	working_value_de	global_running_event_id	global_running_ordinal	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	card_ordinal	atom_ordinal_in_card	flat_atom_ordinal	leave_one_page_support_class	other_surface_pages	other_recipe_pages	unsupported_adjacent_pairs	working_core_reading_de	semantic_disposition
CH	NEHMEN	G407-E0001	1	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0001	1	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	4	4	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
S	WÄHLEN	G407-E0001	1	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	1	5	5	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0002	2	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	1	1	1	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	POSTEN · GEBEN · ZIELORT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
K	GEBEN	G407-E0002	2	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	POSTEN · GEBEN · ZIELORT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AL	ZIELORT	G407-E0002	2	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	POSTEN · GEBEN · ZIELORT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AR	AUSGANG	G407-E0003	3	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ar	AR	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f83r|f88r|f89r|f95v	f10r|f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r|f95v	NONE	AUSGANG	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
T	EINSTELLEN	G407-E0004	4	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · EINSTELLEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
AIIN	WERT	G407-E0004	4	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HIER · EINSTELLEN · WERT	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0005	5	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	shol	SH+OL	1	1	1	EXACT_SURFACE_FROM_OTHER_PAGE	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	NONE	HALTEN · FORTSETZEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OL	FORTSETZEN	G407-E0005	5	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	shol	SH+OL	1	2	2	EXACT_SURFACE_FROM_OTHER_PAGE	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	f13r|f17r|f24v|f56r|f72r|f76r|f77r|f81r|f81v|f83r|f95v	NONE	HALTEN · FORTSETZEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
SH	HALTEN	G407-E0006	6	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	1	1	1	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HALTEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
OR	EINHEIT	G407-E0006	6	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	1	2	2	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HALTEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
Y	POSTEN	G407-E0006	6	f1r	SOURCE_SECTION_T	f1r.1	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	1	3	3	ALL_ADJACENT_PACKAGES_FROM_OTHER_PAGES	NONE	NONE	NONE	HALTEN · EINHEIT · POSTEN	KEEP_BROAD_DEFAULT__LOCAL_EXPANSION_FROM_OWNER
