binding_id	source_reading_id	source_gdt	evidence_path	selector	field_assertions	evidence_role	score_credit_family_ids	normalization_class
V92_ETYD_LEX	etyd#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_324_ACTIVE_LEXICAL_READINGS.tsv	source_reading_ids=etyd#1;surface=etyd	v92_lexical_core_de=bis Mittelstufe gekühlte Zubereitung, abgeschlossen;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING;last_semantic_writer=GDT691	CANONICAL_V92_LEXICAL	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
V92_ETYD_CTX	etyd#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_479_CONTEXT_REALIZATIONS.tsv	position_id=P099;page=f10r;locus=f10r.2;token_ordinal=10;surface=etyd	source_reading_id=etyd#1;v92_context_realization_de=bis Mittelstufe gekühlte Zubereitung, abgeschlossen;v68_clause_type=NOMINAL_BLOCK;v68_action_license=NOT_ACTION_LICENSED	CANONICAL_V92_POSITION	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
V92_ETYD_CENSUS	etyd#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_61_HELD_READING_AUDIT.tsv	source_reading_id=etyd#1;surface=etyd	disposition=HELD_FOR_LATER_REPAIR;old_score=30;old_level=W1_WEAK_WORKING;repair_queue=CLOSED_PREPARATION_HEAD_ROUTE;issue_cluster=LIVE_RIVAL	CANONICAL_V92_DEBT	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
V92_TEEEDY_LEX	teeedy#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_324_ACTIVE_LEXICAL_READINGS.tsv	source_reading_ids=teeedy#1;surface=teeedy	v92_lexical_core_de=vollständig abgekühlte Zubereitung, fertig;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING;last_semantic_writer=GDT691	CANONICAL_V92_LEXICAL	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
V92_TEEEDY_CTX	teeedy#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_479_CONTEXT_REALIZATIONS.tsv	position_id=P169;page=f115r;locus=f115r.1;token_ordinal=7;surface=teeedy	source_reading_id=teeedy#1;v92_context_realization_de=vollständig abgekühlte Zubereitung, fertig;v68_clause_type=NOMINAL_BLOCK;v68_action_license=NOT_ACTION_LICENSED	CANONICAL_V92_POSITION	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
V92_TEEEDY_CENSUS	teeedy#1	GDT719	experiments/yolo/gdt719_v92_three_result_whole_dy_rejection/artifacts/V92_61_HELD_READING_AUDIT.tsv	source_reading_id=teeedy#1;surface=teeedy	disposition=HELD_FOR_LATER_REPAIR;old_score=30;old_level=W1_WEAK_WORKING;repair_queue=CLOSED_PREPARATION_HEAD_ROUTE;issue_cluster=LIVE_RIVAL	CANONICAL_V92_DEBT	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
G710_ETYD_SCORE	etyd#1	GDT710	experiments/yolo/gdt710_v83_complete_dictionary_confidence_evidence/artifacts/V83_332_LIVE_READING_CONFIDENCE.tsv	reading_id=etyd#1;surface=etyd	entity_id=AR097;penalties=LIVE_RIVAL:-10;raw_score=40;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING;historical_confirmation=H0_NONE	SCORE_PROVENANCE_CONTROL	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
G710_TEEEDY_SCORE	teeedy#1	GDT710	experiments/yolo/gdt710_v83_complete_dictionary_confidence_evidence/artifacts/V83_332_LIVE_READING_CONFIDENCE.tsv	reading_id=teeedy#1;surface=teeedy	entity_id=AR307;penalties=LIVE_RIVAL:-10;raw_score=40;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING;historical_confirmation=H0_NONE	SCORE_PROVENANCE_CONTROL	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
G691_ETYD_RULE	etyd#1	GDT691	experiments/yolo/gdt691_preparation_head_role_dispatch/src/V64_EXACT_TOKEN_RULES.tsv	rule_id=P020;surface=etyd	practical_head_de=Zubereitung;live_rivals_de=Auszug|Kaltansatz;decision_class=FINISHED_GENERIC_PREPARATION;basis=Abschluss ist sichtbar, aber kein Extraktions- oder Kochkopf geschrieben.	LOCAL_PRODUCT_HEAD_RULE	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
G691_ETYD_POS	etyd#1	GDT691	experiments/yolo/gdt691_preparation_head_role_dispatch/artifacts/V64_479_TOKEN_READER.tsv	page=f10r;locus=f10r.2;token_ordinal=10;surface=etyd	v64_rule_id=P020;decision_class=FINISHED_GENERIC_PREPARATION;practical_head_de=Zubereitung;preparation_roles=HEAD;formal_routes=LEARNED_WHOLE_OR_UNEXPORTED	EXACT_LOCAL_POSITION	NONE	LEARNED_WHOLE_NO_SHARED_COOLING_MORPHOLOGY
