sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
1	H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen breitblättrigen gezähnten Bildpflanze	Arbeitsposten H1-1	Zielstelle H1-1	Vorposten H1-2	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	M04[H1-S001-U01+H1-S001-U02] | M05[H1-S001-U03+H1-S001-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
2	H1-S002	H1	f10r	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen breitblättrigen gezähnten Bildpflanze	Arbeitsposten H1-1	Zielstelle H1-1	Vorposten H1-2	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	M06[H1-S002-U01+H1-S002-U02] | SINGLE_CONTINUE[H1-S002-U03] | SINGLE_READY[H1-S002-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
3	H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	OWNER|ACTIVE	der ganzen breitblättrigen gezähnten Bildpflanze	Arbeitsposten H2-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1. Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	SINGLE_READY[H2-S001-U01] | SINGLE_READY[H2-S001-U02] | SINGLE_READY[H2-S001-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
4	H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	OWNER|ACTIVE|PREVIOUS	der ganzen breitblättrigen gezähnten Bildpflanze	Arbeitsposten H2-1	NICHT_BENÖTIGT	Vorposten H2-1	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1; ‚das Vorige‘ bezeichnet Vorposten H2-1. Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	M01[H2-S002-U01+H2-S002-U02+H2-S002-U03] | SINGLE_CONTINUE[H2-S002-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
5	H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	OWNER|ACTIVE|PREVIOUS	der ganzen breitblättrigen gezähnten Bildpflanze	Arbeitsposten H2-2	NICHT_BENÖTIGT	Vorposten H2-1	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-2; ‚das Vorige‘ bezeichnet Vorposten H2-1. Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	SINGLE_PROCESS[H2-S003-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
6	H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	OWNER|ACTIVE|TARGET	der ganzen dicht blau bekrönten Bildpflanze	Arbeitsposten H3-1	Zielstelle H3-2	NICHT_BENÖTIGT	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2. Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	SINGLE_LEAD_OUT[H3-S001-U01] | SINGLE_SQUEEZE[H3-S001-U02] | SINGLE_HOLD[H3-S001-U03] | SINGLE_STRAIN_AGAIN[H3-S001-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
7	H3-S002	H3	f11r	shoyty	HO+Y+TY	Zutatenteil	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen dicht blau bekrönten Bildpflanze	Arbeitsposten H3-1	Zielstelle H3-2	Vorposten H3-2	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	SINGLE_OWNER_ACTION[H3-S002-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
8	H3-S003	H3	f11r	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen dicht blau bekrönten Bildpflanze	Arbeitsposten H3-1	Zielstelle H3-2	Vorposten H3-2	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	SINGLE_PROCESS[H3-S003-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
9	H3-S004	H3	f11r	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	OWNER|ACTIVE|TARGET|PREVIOUS	der ganzen dicht blau bekrönten Bildpflanze	Arbeitsposten H3-1	Zielstelle H3-3	Vorposten H3-2	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-3; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	M09[H3-S004-U01+H3-S004-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
10	H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	OWNER|ACTIVE	der ganzen breitblättrigen rispigen Bildpflanze	Arbeitsposten H4-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1. Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	SINGLE_SET[H4-S001-U01] | SINGLE_WITHDRAW[H4-S001-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
