event_id	statement_id	card_no	surface	component_recipe	statement_position	licensed_close
E045	H3-S001	PROC032	tchody	T+CH+O+DY	FINAL	YES
E060	H4-S001	PROC041	ody	O+DY	FINAL	YES
E067	H4-S003	PROC047	oldy	OL+DY	FINAL	YES
E086	H5-S002	PROC057	cheeckhody	CH+EE+CKH+O+DY	FINAL	YES
E101	B1-S001	PROC067	qokedy	OK+E+DY	WHOLE	YES
E120	B1-S002	PROC076	schedy	CHD+DY	FINAL	YES
E122	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	FINAL	YES
E125	B1-S004	PROC078	shedy	SHED+DY	FINAL	YES
E126	B1-S005	PROC079	qolchedy	OL+CHD+DY	WHOLE	YES
E131	B1-S007	PROC082	qokchdy	OK+CHD+DY	WHOLE	YES
E136	B1-S008	PROC078	shedy	SHED+DY	FINAL	YES
E137	B1-S009	PROC067	qokedy	OK+E+DY	WHOLE	YES
E138	B1-S010	PROC067	qokedy	OK+E+DY	WHOLE	YES
E143	B1-S012	PROC086	lshedy	LSH+E+DY	FINAL	YES
E144	B1-S013	PROC086	lshedy	LSH+E+DY	WHOLE	YES
E151	B1-S015	PROC091	okchedy	OK+CHD+DY	FINAL	YES
E155	B1-S016	PROC078	cheedy	SHED+DY	FINAL	YES
E158	B1-S017	PROC094	dchdy	CHD+DY	FINAL	YES
E162	B1-S018	PROC098	olkeedy	SOLK+EE+DY	FINAL	YES
E163	B1-S019	PROC078	tedy	SHED+DY	WHOLE	YES
E165	B1-S020	PROC099	shckhedy	SH+CKH+E+DY	FINAL	YES
E167	B2-S001	PROC076	dchedy	CHD+DY	WHOLE	YES
E168	B2-S002	PROC079	qolchedy	OL+CHD+DY	WHOLE	YES
E171	B2-S003	PROC100	qokeedy	OK+EE+DY	FINAL	YES
E176	B2-S004	PROC103	lcheckhedy	L+CKH+E+DY	FINAL	YES
E184	B2-S005	PROC108	ldy	L+DY	FINAL	YES
E189	B2-S007	PROC111	dshedy	SH+E+DY	WHOLE	YES
E192	B2-S008	PROC078	shedy	SHED+DY	FINAL	YES
E193	B2-S009	PROC114	solshedy	OL+SH+E+DY	WHOLE	YES
E201	B2-S011	PROC100	qokeedy	OK+EE+DY	FINAL	YES
E209	B2-S012	PROC119	qokeeedy	OK+EEE+DY	FINAL	YES
