card_no	surfaces	component_recipe	control_roots	portable_contributions_de	composed_reading_de	events	event_ids
PROC001	dchey	CH+E+Y	CH	ABNEHMEN	ABNEHMEN · KURZ · ARBEITSPOSTEN	1	E001
PROC002	cthoor	CTH+O+OR	O	ARBEITSGANG	BEREIT · ARBEITSGANG · ANSATZ	1	E002
PROC004	chety|chty	T+Y	T	EINTRAGEN	EINTRAGEN · ARBEITSPOSTEN	2	E004|E311
PROC006	chair	CH+AIR	CH	ABNEHMEN	ABNEHMEN · FLUESSIGKEITSLAUF	1	E006
PROC007	otytchol	OT+Y+T+CH+OL	T+CH	EINTRAGEN · ABNEHMEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	E007
PROC010	etyd	E+T+Y	T	EINTRAGEN	KURZ · EINTRAGEN · ARBEITSPOSTEN	1	E010
PROC012	qotchol	OT+CH+OL	CH	ABNEHMEN	DANACH · ABNEHMEN · FORTSETZEN	1	E012
PROC015	ycheor	Y+CH+E+OR	CH	ABNEHMEN	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	1	E015
PROC018	qoctholy	O+CTH+OL+Y	O	ARBEITSGANG	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	E019
PROC020	otchor|qotchor	OT+CH+OR	CH	ABNEHMEN	DANACH · ABNEHMEN · ANSATZ	2	E024|E080
PROC023	oykchor	O+Y+K+OR	O	ARBEITSGANG	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	1	E032
PROC025	chodaiin	CH+O+AIIN	CH+O	ABNEHMEN · ARBEITSGANG	ABNEHMEN · ARBEITSGANG · SOLLMASS	1	E038
PROC026	tshol	T+SH+OL	T	EINTRAGEN	EINTRAGEN · HALTEN · FORTSETZEN	1	E039
PROC027	schoal	SH+O+AL	O	ARBEITSGANG	HALTEN · ARBEITSGANG · ZIELSTELLE	1	E040
PROC032	tchody	T+CH+O+DY	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG · SCHLUSS	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	1	E045
PROC033	shoyty	SH+O+Y+T+Y	O+T	ARBEITSGANG · EINTRAGEN	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	E046
PROC041	ody	O+DY	O+DY	ARBEITSGANG · SCHLUSS	ARBEITSGANG; SCHLUSS	1	E060
PROC045	cheoar	CH+E+O+AR	CH+O	ABNEHMEN · ARBEITSGANG	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	1	E065
PROC047	oldy	OL+DY	DY	SCHLUSS	FORTSETZEN; SCHLUSS	2	E067|E337
PROC049	oltchy	OL+T+Y	T	EINTRAGEN	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	1	E070
PROC051	chochor	HO+CH+OR	CH	ABNEHMEN	ZUTAT · ABNEHMEN · ANSATZ	1	E074
PROC057	cheeckhody	CH+EE+CKH+O+DY	CH+O+DY	ABNEHMEN · ARBEITSGANG · SCHLUSS	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	1	E086
PROC061	chokcheo	OK+CH+E+O	CH+O	ABNEHMEN · ARBEITSGANG	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	1	E092
PROC064	sotodan	OT+O+AIN	O	ARBEITSGANG	DANACH · ARBEITSGANG · PORTION	1	E097
PROC067	qokedy	OK+E+DY	DY	SCHLUSS	ANSETZEN · KURZ; SCHLUSS	8	E101|E137|E138|E259|E294|E297|E318|E335
PROC076	dchedy|schedy|tchedy	CHD+DY	DY	SCHLUSS	UMSETZEN; SCHLUSS	4	E120|E167|E239|E283
PROC077	sshkchdy	SH+K+CHD+DY	DY	SCHLUSS	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	E122
PROC078	cheedy|shedy|tedy	SHED+DY	DY	SCHLUSS	ABSETZEN; SCHLUSS	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361
PROC079	olchedy|qolchedy	OL+CHD+DY	DY	SCHLUSS	FORTSETZEN · UMSETZEN; SCHLUSS	3	E126|E168|E242
PROC082	qokchdy	OK+CHD+DY	DY	SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	3	E131|E284|E363
PROC084	lsho	LSH+O	O	ARBEITSGANG	WASCHEN · ARBEITSGANG	1	E141
PROC086	lshedy	LSH+E+DY	DY	SCHLUSS	WASCHEN · KURZ; SCHLUSS	2	E143|E144
PROC090	ytey	T+E+Y	T	EINTRAGEN	EINTRAGEN · KURZ · ARBEITSPOSTEN	1	E150
PROC091	okchedy|qokchedy	OK+CHD+DY	DY	SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	2	E151|E264
PROC094	dchdy	CHD+DY	DY	SCHLUSS	UMSETZEN; SCHLUSS	1	E158
PROC097	oiiin|soiiin	O+IIN	O	ARBEITSGANG	ARBEITSGANG · ARBEITSSTUFE	2	E161|E309
PROC098	olkeedy|solkeedy	SOLK+EE+DY	DY	SCHLUSS	AUFFANGEN · LANG; SCHLUSS	3	E162|E229|E291
PROC099	shckhedy	SH+CKH+E+DY	DY	SCHLUSS	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	3	E165|E330|E331
PROC100	qokeedy	OK+EE+DY	DY	SCHLUSS	ANSETZEN · LANG; SCHLUSS	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329
PROC103	lcheckhedy	L+CKH+E+DY	DY	SCHLUSS	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	1	E176
PROC106	octheol	O+CTH+E+OL	O	ARBEITSGANG	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	1	E182
PROC108	ldy	L+DY	DY	SCHLUSS	WEITERLEITEN; SCHLUSS	2	E184|E308
PROC111	dshedy	SH+E+DY	DY	SCHLUSS	HALTEN · KURZ; SCHLUSS	1	E189
PROC114	solshedy	OL+SH+E+DY	DY	SCHLUSS	FORTSETZEN · HALTEN · KURZ; SCHLUSS	1	E193
PROC116	lchy	L+CH+Y	CH	ABNEHMEN	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	1	E202
PROC119	qokeeedy	OK+EEE+DY	DY	SCHLUSS	ANSETZEN · VOLL; SCHLUSS	1	E209
