statement_id	page	record	refined_component_sequence	baseline_recipe_sequence	y_valent_recipe_sequence	observed_recipe_sequence_after_reveal	copied_y	baseline_cards	y_valent_cards	observed_cards	baseline_exact	y_valent_exact	newly_fixed	newly_harmed	residual_missing_occurrences	residual_extra_occurrences	rule
H1-S002	f10r	H1	Y+OK+OT+CH+OL+OL+CTH	OK+Y | OT+CH+OL | OL | UNPACKED(CTH)	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	1	4	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S002	f11r	H3	Y+O+SH+T	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y	SH+O+Y+T+Y	1	4	1	1	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H4-S003	f55v	H4	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	1	5	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S011	f81v	B1	Y+CKH+OK	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y	CKH+Y | OK+Y	1	2	2	2	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S014	f81v	B1	Y+CHD+SOLK+AL+L+CHD+OL+OT+AR	CHD+Y | UNPACKED(SOLK) | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	1	5	5	5	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S006	f82r	B2	OT+EE+Y+AL+OK+E+CKH+SH+OK	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	2	6	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S026	f83r	B3	EE+AR+AIIN+L+Y+CHD+AIN+OK+CTH+OR+AL+R+EE+SOLK+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	1	7	7	7	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S034	f83r	B3	O+IIN+Y+CTH+T+OT+AIIN+AL+OL+SHED+DY	O+IIN | CTH+Y | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	2	7	6	6	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S008	f83r	B4	AIIN+Y+EE+CHK+EE+SH+E+OK+DY	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	1	4	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B4-S015	f83r	B4	AIN+OK+Y+EE+SH+AIN+K+CKH+AL+CH+E+SOLK+L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	1	7	6	6	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
