statement_id	page	record	refined_component_sequence	baseline_recipe_sequence	y_valent_recipe_sequence	observed_recipe_sequence_after_reveal	copied_y	baseline_cards	y_valent_cards	observed_cards	baseline_exact	y_valent_exact	newly_fixed	newly_harmed	residual_missing_occurrences	residual_extra_occurrences	rule
H1-S001	f10r	H1	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	2	10	9	10	NO	NO	NO	NO	CH+OS+T+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H1-S002	f10r	H1	Y+OK+OT+CH+OL+OL+CTH	OK+Y | OT+CH+OL | OL | UNPACKED(CTH)	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	1	4	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H2-S001	f10r	H2	OR+E+CH+Y+CTH+OR+AIIN+OL+Y	Y+CH+E+OR | UNPACKED(CTH) | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	1	5	5	9	NO	NO	NO	NO	AIIN+CTH+CTH+O+Y+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H2-S003	f10r	H2	O+OR+K+OR+Y+IIN+K+O+AIIN+CH	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	1	7	5	7	NO	NO	NO	NO	OR+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S001	f11r	H3	AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	5	11	8	7	NO	NO	NO	NO	O+O+SH+T+T	Y	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S002	f11r	H3	Y+O+SH+T	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y	SH+O+Y+T+Y	1	4	1	1	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S004	f11r	H3	OT+Y+OL+OK+CTH	OT+Y | OK+OL | UNPACKED(CTH)	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y	1	3	3	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H4-S001	f55v	H4	AIIN+OK+Y+AIN+AN+K+O+DY	AIIN | OK+Y | AIN | UNPACKED(AN) | UNPACKED(K) | O+DY	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	1	6	5	5	NO	NO	NO	NO	AIIN+K	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H4-S003	f55v	H4	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY	Y+K+AIIN | CH+E+O+AR | UNPACKED(EE) | UNPACKED(CHK) | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	1	5	4	4	NO	YES	YES	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H5-S003	f56r	H5	HO+SH+Y+E+K+OK	HO | SH | K+E+Y | UNPACKED(OK)	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y	1	4	4	4	NO	NO	NO	NO	OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
