base_without_y	attested_y_recipes	y_cards	y_events	attested_non_y_recipes	non_y_cards	non_y_events	valency_class
Y_ONLY	Y	1	18	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
AR	AR+Y	1	1	AR	1	5	OPTIONAL_Y_VARIANT
CFH	CFH+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CHD	CHD+Y	2	12	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CKH	CKH+Y	1	4	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CTH	CTH+Y	1	7	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
HO	HO+Y	1	1	HO	1	4	OPTIONAL_Y_VARIANT
K	K+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
L	L+Y	1	1	L	1	2	OPTIONAL_Y_VARIANT
OK	OK+Y	2	13	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OL	OL+Y	1	1	OL	2	20	OPTIONAL_Y_VARIANT
OT	OT+Y	2	3	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
P	P+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SOLK	SOLK+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
T	T+Y	1	2	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
AIR+DY	AIR+Y+DY	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CH+E	CH+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CHK+E	CHK+E+Y	1	3	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CHK+EE	CHK+EE+Y	2	3	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CTH+E	CTH+E+Y	1	2	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
E+T	E+T+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
EEE+T	EEE+T+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
HO+AL	HO+AL+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
K+AIIN	Y+K+AIIN	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
K+AIN	Y+K+AIN	1	1	K+AIN	1	3	OPTIONAL_Y_VARIANT
K+AN	Y+K+AN	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
K+E	K+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
L+CH	L+CH+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
L+CKH	L+CKH+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
L+EE	L+EE+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OK+AL	OK+AL+Y	1	1	OK+AL	1	6	OPTIONAL_Y_VARIANT
OK+E	OK+E+Y	1	2	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OK+EE	OK+EE+Y	1	7	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OK+OK	OK+OK+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OL+AL	OL+AL+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OL+T	OL+T+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OT+EE	OT+EE+Y	1	2	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
R+AL	R+AL+Y	1	1	R+AL	1	1	OPTIONAL_Y_VARIANT
SH+AIIN	SH+Y+AIIN	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+E	SH+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+EE	SH+EE+Y	2	5	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SOLK+E	SOLK+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SOLK+EE	SOLK+EE+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
T+E	T+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
CH+E+OR	Y+CH+E+OR	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
E+K+E	E+K+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
O+CKH+E	O+CKH+E+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
O+CTH+OL	O+CTH+OL+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
O+K+OR	O+Y+K+OR	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OK+LD+DY	OK+Y+LD+DY	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+E+CKH	SH+E+CKH+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+E+CTH	SH+E+CTH+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+O+T	SH+O+Y+T+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
OT+T+CH+OL	OT+Y+T+CH+OL	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
SH+E+CTH+CHD	SH+E+CTH+CHD+Y	1	1	NONE	0	0	Y_REQUIRED_IN_ATTESTED_DECK
