statement_id	page	record	refined_component_sequence	baseline_recipe_sequence	y_valent_recipe_sequence	observed_recipe_sequence_after_reveal	copied_y	baseline_cards	y_valent_cards	observed_cards	baseline_exact	y_valent_exact	newly_fixed	newly_harmed	residual_missing_occurrences	residual_extra_occurrences	rule
H1-S001	f10r	H1	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	2	10	9	10	NO	NO	NO	NO	CH+OS+T+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H2-S001	f10r	H2	OR+E+CH+Y+CTH+OR+AIIN+OL+Y	Y+CH+E+OR | UNPACKED(CTH) | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	1	5	5	9	NO	NO	NO	NO	AIIN+CTH+CTH+O+Y+Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H2-S002	f10r	H2	OT+OR+CH+OR+OL+AIIN+AR+OL	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	0	5	5	8	NO	NO	NO	NO	OL+OL+OR+OT	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H2-S003	f10r	H2	O+OR+K+OR+Y+IIN+K+O+AIIN+CH	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	1	7	5	7	NO	NO	NO	NO	OR+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S001	f11r	H3	AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	5	11	8	7	NO	NO	NO	NO	O+O+SH+T+T	Y	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S003	f11r	H3	RESUME_CARD+Y+K+AIIN	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	0	2	2	5	NO	NO	NO	NO	Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H3-S004	f11r	H3	OT+Y+OL+OK+CTH	OT+Y | OK+OL | UNPACKED(CTH)	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y	1	3	3	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H4-S001	f55v	H4	AIIN+OK+Y+AIN+AN+K+O+DY	AIIN | OK+Y | AIN | UNPACKED(AN) | UNPACKED(K) | O+DY	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	1	6	5	5	NO	NO	NO	NO	AIIN+K	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H4-S004	f55v	H4	AIIN+AL+OK+Y+OL+T+OR+AIN	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	0	4	4	6	NO	NO	NO	NO	OR+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H5-S001	f56r	H5	HO+OR+CH+AL+AIIN+OL+K+OT+OR+CH+Y+AL+OK	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	0	6	6	9	NO	NO	NO	NO	HO+HO+HO+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H5-S002	f56r	H5	RESUME_CARD+HO+Y+OK+EE+O+CKH+CH+DY	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	0	4	4	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
H5-S003	f56r	H5	HO+SH+Y+E+K+OK	HO | SH | K+E+Y | UNPACKED(OK)	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y	1	4	4	4	NO	NO	NO	NO	OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S002	f81v	B1	AIIN+OK+AIR+K+AL+AR+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	1	14	14	19	NO	NO	NO	NO	AIIN+AL+AL+K+OK+OL+OL+OL	Y	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S006	f81v	B1	AIN+OK+Y+CKH+L+AL+R	OK+AIN | L+CKH+Y | R+AL	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	0	3	3	4	NO	NO	NO	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S008	f81v	B1	Y+OL+E+CHK+OL+SHED+DY	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	OL+Y | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	1	5	4	5	NO	NO	NO	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B1-S015	f81v	B1	E+Y+T+OK+CHD+DY	E+T+Y | OK+CHD+DY	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	0	2	2	2	NO	NO	NO	NO	NONE	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S004	f82r	B2	AL+OK+Y+CKH+L+CHD+EE+OK+E+CKH+L+DY	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | L+CKH+E+DY	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	1	6	5	5	NO	NO	NO	NO	L	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S005	f82r	B2	Y+AL+OK+AIIN+SOLK+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY	OK+AL+Y | SOLK+AIIN | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	2	8	7	8	NO	NO	NO	NO	AIIN+OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S010	f82r	B2	EE+Y+OK+OK+OL+EE+SH	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	0	3	3	4	NO	NO	NO	NO	Y+Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S012	f82r	B2	Y+L+CH+EE+SH+E+CTH+EE+OK+EE+L+AIIN+EEE+OK+DY	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	4	10	7	8	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B2-S016	f82r	B2	AL+AR+L+CHD+E+CH+S+AIIN+OT+Y+EE+AIIN+E+OK+P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	1	9	8	8	NO	NO	NO	NO	OK	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
B3-S003	f83r	B3	Y+AIIN+L+CHD+DY	Y | AIIN | L+CHD+DY	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	0	3	3	4	NO	NO	NO	NO	Y	NONE	COPY_Y_ONLY_INSIDE_ATTESTED_Y_VALENT_RECIPE
