page	locus	line_number	kind	paragraph_start	paragraph_end	reader_id	source_text	token_count	daiin_count	unknown_count	daiin_positions_1based	model_III	model_sehr
f32v	f32v.1	1	P	1	0	ZL3b	kcheodaiin chol kechy qotaiin daiioam o chofchody	7	0	7	[]	[kcheodaiin] [chol] [kechy] [qotaiin] [daiioam] [o] [chofchody]	[kcheodaiin] [chol] [kechy] [qotaiin] [daiioam] [o] [chofchody]
f32v	f32v.1	1	P	1	0	IT2a	kcheodaiin chol kechy qotaiin daiioam o chofchody	7	0	7	[]	[kcheodaiin] [chol] [kechy] [qotaiin] [daiioam] [o] [chofchody]	[kcheodaiin] [chol] [kechy] [qotaiin] [daiioam] [o] [chofchody]
f32v	f32v.1	1	P	1	0	RF1b	kcheodaiin cholkechy qotaiin daiio m o chofcho y	8	0	8	[]	[kcheodaiin] [cholkechy] [qotaiin] [daiio] [m] [o] [chofcho] [y]	[kcheodaiin] [cholkechy] [qotaiin] [daiio] [m] [o] [chofcho] [y]
f32v	f32v.2	2	P	0	0	ZL3b	daiin odar chy daiin chey tchy l dy dain teor	10	2	8	[1,4]	III? [odar] [chy] III? [chey] [tchy] [l] [dy] [dain] [teor]	sehr? [odar] [chy] sehr? [chey] [tchy] [l] [dy] [dain] [teor]
f32v	f32v.2	2	P	0	0	IT2a	daiin odar chy daiin chey tcho ldy dain teor	9	2	7	[1,4]	III? [odar] [chy] III? [chey] [tcho] [ldy] [dain] [teor]	sehr? [odar] [chy] sehr? [chey] [tcho] [ldy] [dain] [teor]
f32v	f32v.2	2	P	0	0	RF1b	daiin odar chy daiin chey tch ldy dain teor	9	2	7	[1,4]	III? [odar] [chy] III? [chey] [tch] [ldy] [dain] [teor]	sehr? [odar] [chy] sehr? [chey] [tch] [ldy] [dain] [teor]
f32v	f32v.3	3	P	0	0	ZL3b	shor daiin chckhy dsho dain daiin s shokey ka	9	2	7	[2,6]	[shor] III? [chckhy] [dsho] [dain] III? [s] [shokey] [ka]	[shor] sehr? [chckhy] [dsho] [dain] sehr? [s] [shokey] [ka]
f32v	f32v.3	3	P	0	0	IT2a	shor daiin chckhy dsho dain daiin s shokey ka	9	2	7	[2,6]	[shor] III? [chckhy] [dsho] [dain] III? [s] [shokey] [ka]	[shor] sehr? [chckhy] [dsho] [dain] sehr? [s] [shokey] [ka]
f32v	f32v.3	3	P	0	0	RF1b	shor daiin chckhy dsho dain daiin s shokey ka	9	2	7	[2,6]	[shor] III? [chckhy] [dsho] [dain] III? [s] [shokey] [ka]	[shor] sehr? [chckhy] [dsho] [dain] sehr? [s] [shokey] [ka]
f32v	f32v.4	4	P	0	0	ZL3b	or chr chor dor chaiin qotcho r chy dcho daiin	10	1	9	[10]	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dcho] III?	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dcho] sehr?
f32v	f32v.4	4	P	0	0	IT2a	or chr chor dor chaiin qotcho r chy dcho daiin	10	1	9	[10]	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dcho] III?	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dcho] sehr?
f32v	f32v.4	4	P	0	0	RF1b	or chr chor dor chaiin qotcho r chy dch daiin	10	1	9	[10]	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dch] III?	[or] [chr] [chor] [dor] [chaiin] [qotcho] [r] [chy] [dch] sehr?
f32v	f32v.5	5	P	0	0	ZL3b	chokchy daiin shy chor qo kaiin dain dchol dosg	9	1	8	[2]	[chokchy] III? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dosg]	[chokchy] sehr? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dosg]
f32v	f32v.5	5	P	0	0	IT2a	chokchy daiin shy chor qo kaiin dain dchol dorg	9	1	8	[2]	[chokchy] III? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dorg]	[chokchy] sehr? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dorg]
f32v	f32v.5	5	P	0	0	RF1b	chokchy daiin shy chor qo kaiin dain dchol dorg	9	1	8	[2]	[chokchy] III? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dorg]	[chokchy] sehr? [shy] [chor] [qo] [kaiin] [dain] [dchol] [dorg]
f32v	f32v.6	6	P	0	1	ZL3b	o kchan chol shal dchcthy	5	0	5	[]	[o] [kchan] [chol] [shal] [dchcthy]	[o] [kchan] [chol] [shal] [dchcthy]
f32v	f32v.6	6	P	0	1	IT2a	okchan chol shal dchcthy	4	0	4	[]	[okchan] [chol] [shal] [dchcthy]	[okchan] [chol] [shal] [dchcthy]
f32v	f32v.6	6	P	0	1	RF1b	okchan cholshal dchcthy	3	0	3	[]	[okchan] [cholshal] [dchcthy]	[okchan] [cholshal] [dchcthy]
f32v	f32v.7	7	P	1	0	ZL3b	ksho cphos she sheaiin otshcho r dain shckhy s odan	10	0	10	[]	[ksho] [cphos] [she] [sheaiin] [otshcho] [r] [dain] [shckhy] [s] [odan]	[ksho] [cphos] [she] [sheaiin] [otshcho] [r] [dain] [shckhy] [s] [odan]
