page_order	page	locus	line_number	code	relation	kind	subtype	section	language	hand	quire	folio_type	paragraph_start	paragraph_end	token_count	eva_clean	ivtff_raw	physical_page	source_selector	all_three_present	all_present_exact	zl3b_it2a_similarity	zl3b_rf1b_similarity	zl3b_clean	it2a_clean	rf1b_clean
39	f21r	f21r.1	1	@P0	@	P	0	H	A	1	C	w	1	0	9	pchor o eeockhy o fychey ypchey qopcheody otaiin chan	<%>pchor.o,eeockhy.o.fychey.ypchey.qopcheody.otaiin.chan	f21r	f21r	1	0	0.555556	1.000000	pchor o eeockhy o fychey ypchey qopcheody otaiin chan	pchor oeeockhy ofychey ypchey qopcheody otaiin chan	pchor o eeockhy o fychey ypchey qopcheody otaiin chan
39	f21r	f21r.2	2	+P0	+	P	0	H	A	1	C	w	0	0	9	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin	saiin.chcphy.oky,sheaiin.qotchol.oteos.sheey.cthy.daiin	f21r	f21r	1	1	1.000000	1.000000	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin	saiin chcphy oky sheaiin qotchol oteos sheey cthy daiin
39	f21r	f21r.3	3	+P0	+	P	0	H	A	1	C	w	0	1	10	qotol shy o l cheor chy qokchey chey keey dy	qotol,shy.o.l.cheor.chy.qokchey.chey.keey.dy<$>	f21r	f21r	1	0	0.800000	0.800000	qotol shy o l cheor chy qokchey chey keey dy	qotol shy ol cheor chy qokchey chey keey dy	qotolshy o l cheor chy qokchey chey keey dy
39	f21r	f21r.4	4	+P0	+	P	0	H	A	1	C	w	1	0	7	pchofychy daiin cthain o tolosheey qocthey tolchory	<%>pchofychy.daiin.cthain.o,tolosheey.qocthey.tolchory	f21r	f21r	1	0	0.714286	0.714286	pchofychy daiin cthain o tolosheey qocthey tolchory	pchofychy daiin cthain otolosheey qocthey tolchory	pchofychy daiin cthain otolosheey qocthey tolchory
39	f21r	f21r.5	5	+P0	+	P	0	H	A	1	C	w	0	0	8	ykeey daiin chosy qokoiin otol chol qotcheol okeoaiin	ykeey.daiin.chosy.qokoiin.otol.chol.qotcheol.okeoaiin	f21r	f21r	1	1	1.000000	1.000000	ykeey daiin chosy qokoiin otol chol qotcheol okeoaiin	ykeey daiin chosy qokoiin otol chol qotcheol okeoaiin	ykeey daiin chosy qokoiin otol chol qotcheol okeoaiin
39	f21r	f21r.6	6	+P0	+	P	0	H	A	1	C	w	0	0	12	dchor y kol y ky chol kol qokeol chol ol qoteeol dady	dchor.y.kol,y,ky.chol.kol.qokeol.chol,ol.qoteeol.dady	f21r	f21r	1	0	0.583333	0.416667	dchor y kol y ky chol kol qokeol chol ol qoteeol dady	dchor y kolyky chol kol qokeol cholol qoteeol dady	dchor y kolyky chol kol qokeol cholol qoteeol d dy
39	f21r	f21r.7	7	+P0	+	P	0	H	A	1	C	w	0	1	6	shoeor cheor chokeody cho cthor shy	shoeor.cheor.choke[o:a]dy.cho,cthor.shy<$>	f21r	f21r	1	0	1.000000	0.142857	shoeor cheor chokeody cho cthor shy	shoeor cheor chokeody cho cthor shy	shoe or cheor chokea y chocthor y
39	f21r	f21r.8	8	+P0	+	P	0	H	A	1	C	w	1	0	8	fcho kshy otor sheol ocphal opsheas cthodaiin oty	<%>fcho,kshy.otor.sheol.ocphal.opsheas.cthodaiin.oty	f21r	f21r	1	0	0.500000	0.750000	fcho kshy otor sheol ocphal opsheas cthodaiin oty	fchokshy otor cheol ocphal opcheas cthodaiin oty	fchokshy otor sheol ocphal opsheas cthodaiin oty
39	f21r	f21r.9	9	+P0	+	P	0	H	A	1	C	w	0	0	9	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	okaiin.sho.tshaiin.chkaiin.sh,cthey.cthody.cthy.s	f21r	f21r	1	0	0.777778	1.000000	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	okaiin sho tshaiin chkaiin shcthey cthody cthy s	okaiin sho tshaiin chkaiin sh cthey cthody cthy s
39	f21r	f21r.10	10	+P0	+	P	0	H	A	1	C	w	0	0	9	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	totchy.keor.chy,ky.qotaiin.qotchol.ty.ctheey.otaiin	f21r	f21r	1	0	1.000000	0.777778	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	totchy keor chyky qotaiin qotchol ty ctheey otaiin
