surface	truth_recipe	candidate_is_truth	gdt525_rank	gdt526_rank	candidate_recipe	gdt525_score	cha_feature	gdt526_score	cha_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	AIIN+CH+T+Y	5.733798402	0.000000000	5.733798402	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	IIN+CH+T+Y	7.289902821	0.000000000	7.289902821	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	AIIN+LOCAL_C+T+Y	8.617469433	0.000000000	8.617469433	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	9.220129716	0.000000000	9.220129716	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	A_ADDR+IIN+CH+T+Y	9.367548780	0.000000000	9.367548780	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	6	6	IIN+LOCAL_C+T+Y	9.768108744	0.000000000	9.768108744	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	10.220366781	0.000000000	10.220366781	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	8	A_ADDR+AIIN+CH+T+Y	10.497129704	0.000000000	10.497129704	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	11.750230939	0.000000000	11.750230939	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	12.001055398	0.000000000	12.001055398	NO_CHA_PREFIX
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	12	12	A_ADDR+IIN+LOCAL_C+T+Y	12.373721064	0.000000000	12.373721064	NO_CHA_PREFIX
chady	CH+A_ADDR+DY	YES	3	1	CH+A_ADDR+DY	6.072581093	1.557417452	4.826647131	cha=CH+A_ADDR+dy=>DY@RIGHT/RIGHT;n=32/52;b=0.557417
chady	CH+A_ADDR+DY	NO	1	2	CH+DY	4.887151731	0.000000000	4.887151731	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	2	3	CH+A_ADDR+Y	5.746462204	0.000000000	5.746462204	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	4	4	CH+D_ADDR+Y	6.371973016	0.000000000	6.371973016	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	5	5	CH+Y	6.915865675	0.000000000	6.915865675	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	6	6	CH+A_ADDR+D_ADDR+Y	8.241013473	0.000000000	8.241013473	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	7	7	LOCAL_C+A_ADDR+DY	8.503607217	0.000000000	8.503607217	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	8	8	LOCAL_C+SH+A_ADDR+DY	9.495039855	0.000000000	9.495039855	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	9	9	LOCAL_C+A_ADDR+Y	10.010069792	0.000000000	10.010069792	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
chady	CH+A_ADDR+DY	NO	10	10	LOCAL_C+SH+A_ADDR+Y	10.012743199	0.000000000	10.012743199	NO_POSITIVE_RIGHT_SUFFIX_CHANNEL
