paragraph	grammar	mention	form	patient	input_eligible	earlier_actions	row_status
f6v|f6v.6-f6v.21	B	f6v.12:2	shy		False		recorded
f6v|f6v.6-f6v.21	B	f6v.15:4	chy	f6v.14:3	False	f6v.14:2	recorded
f6v|f6v.6-f6v.21	B	f6v.19:3	chy	f6v.19:1	False		recorded
f6v|f6v.6-f6v.21	J	f6v.12:2	shy		False		recorded
f6v|f6v.6-f6v.21	J	f6v.15:4	chy	f6v.14:3	False	f6v.14:1;f6v.14:2	recorded
f6v|f6v.6-f6v.21	J	f6v.19:3	chy	f6v.19:1	False		recorded
f6v|f6v.6-f6v.21	M	f6v.12:2	shy		False		recorded
f6v|f6v.6-f6v.21	M	f6v.15:4	chy	f6v.14:3	False	f6v.14:1;f6v.14:2	recorded
f6v|f6v.6-f6v.21	M	f6v.19:3	chy	f6v.19:1	False		recorded
f9v|f9v.5-f9v.12	B	f9v.9:2	chy		False		recorded
f9v|f9v.5-f9v.12	B	f9v.10:1	oty	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	B	f9v.10:4	chy	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	B	f9v.11:3	oky	f9v.11:2	False		recorded
f9v|f9v.5-f9v.12	J	f9v.9:2	chy		False		recorded
f9v|f9v.5-f9v.12	J	f9v.10:1	oty	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	J	f9v.10:4	chy	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	J	f9v.11:3	oky	f9v.11:2	False		recorded
f9v|f9v.5-f9v.12	M	f9v.9:2	chy		False		recorded
f9v|f9v.5-f9v.12	M	f9v.10:1	oty	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	M	f9v.10:4	chy	f9v.10:2	False		recorded
f9v|f9v.5-f9v.12	M	f9v.11:3	oky	f9v.11:2	False		recorded
f19v|f19v.8-f19v.14	B	f19v.9:2	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	B	f19v.9:6	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	B	f19v.13:3	oty	f19v.13:7	False		recorded
f19v|f19v.8-f19v.14	J	f19v.9:2	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	J	f19v.9:6	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	J	f19v.13:3	oty	f19v.13:7	False		recorded
f19v|f19v.8-f19v.14	M	f19v.9:2	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	M	f19v.9:6	oky	f19v.9:3	False		recorded
f19v|f19v.8-f19v.14	M	f19v.13:3	oty	f19v.13:7	False		recorded
f22v|f22v.6-f22v.16	B	f22v.6:2	shy	f22v.6:3	False		recorded
f22v|f22v.6-f22v.16	B	f22v.11:2	oty		False		recorded
f22v|f22v.6-f22v.16	J	f22v.6:2	shy	f22v.6:3	False		recorded
f22v|f22v.6-f22v.16	J	f22v.11:2	oty		False		recorded
f22v|f22v.6-f22v.16	M	f22v.6:2	shy	f22v.6:3	False		recorded
f22v|f22v.6-f22v.16	M	f22v.11:2	oty		False		recorded
f24r|f24r.1-f24r.20	B	f24r.2:5	oky	f24r.2:2	False		recorded
f24r|f24r.1-f24r.20	B	f24r.17:5	oky	f24r.17:3	False		recorded
f24r|f24r.1-f24r.20	J	f24r.2:5	oky	f24r.2:2	False		recorded
f24r|f24r.1-f24r.20	J	f24r.17:5	oky	f24r.17:3	False		recorded
f24r|f24r.1-f24r.20	M	f24r.2:5	oky	f24r.2:2	False		recorded
f24r|f24r.1-f24r.20	M	f24r.17:5	oky	f24r.17:3	False		recorded
f45v|f45v.5-f45v.11	B	f45v.5:5	oty	f45v.5:1	False		recorded
f45v|f45v.5-f45v.11	B	f45v.10:3	oky		False		recorded
f45v|f45v.5-f45v.11	J	f45v.5:5	oty	f45v.5:1	False		recorded
f45v|f45v.5-f45v.11	J	f45v.10:3	oky		False		recorded
f45v|f45v.5-f45v.11	M	f45v.5:5	oty	f45v.5:1	False		recorded
f45v|f45v.5-f45v.11	M	f45v.10:3	oky		False		recorded
f86v5|f86v5.18-f86v5.25	B	f86v5.19:6	oty		False		recorded
f86v5|f86v5.18-f86v5.25	B	f86v5.19:7	oty		False		recorded
f86v5|f86v5.18-f86v5.25	J	f86v5.19:6	oty		False		recorded
f86v5|f86v5.18-f86v5.25	J	f86v5.19:7	oty		False		recorded
f86v5|f86v5.18-f86v5.25	M	f86v5.19:6	oty		False		recorded
f86v5|f86v5.18-f86v5.25	M	f86v5.19:7	oty		False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.32:8	oky	f102v2.32:4	False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.34:7	okey	f102v2.34:8	False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.35:8	teody	f102v2.35:7	False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.36:6	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.36:7	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	B	f102v2.38:5	okey	f102v2.38:7	False	f102v2.38:4	recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.32:8	oky	f102v2.32:4	False		recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.34:7	okey	f102v2.34:8	False		recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.35:8	teody	f102v2.35:7	True	f102v2.35:5;f102v2.35:6	recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.36:6	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.36:7	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	J	f102v2.38:5	okey	f102v2.38:7	False	f102v2.38:4	recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.32:8	oky	f102v2.32:4	False		recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.34:7	okey	f102v2.34:8	False		recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.35:8	teody	f102v2.35:7	True	f102v2.35:5;f102v2.35:6	recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.36:6	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.36:7	okey	f102v2.35:9	False		recorded
f102v2|f102v2.30-f102v2.39	M	f102v2.38:5	okey	f102v2.38:7	False	f102v2.38:4	recorded
f106r|f106r.8-f106r.9	B	f106r.8:9	qoteedy		False		recorded
f106r|f106r.8-f106r.9	J	f106r.8:9	qoteedy		False		recorded
f106r|f106r.8-f106r.9	M	f106r.8:9	qoteedy		False		recorded
f21r.8-f21r.12	B	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	B	f21r.10:3	chy	f21r.10:8	False		recorded
f21r.8-f21r.12	J	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	J	f21r.10:3	chy	f21r.10:8	False		recorded
f21r.8-f21r.12	M	f21r.8:8	oty	f21r.8:4	False		recorded
f21r.8-f21r.12	M	f21r.10:3	chy	f21r.10:8	False		recorded
f32v.7-f32v.11	B	f32v.11:3	chy	f32v.11:2	False		recorded
f32v.7-f32v.11	J	f32v.11:3	chy	f32v.11:2	False		recorded
f32v.7-f32v.11	M	f32v.11:3	chy	f32v.11:2	False		recorded
f29v.1-f29v.4	B	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	B	f29v.1:10	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	J	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	J	f29v.1:10	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	M	f29v.1:8	shy	f29v.1:7	False		recorded
f29v.1-f29v.4	M	f29v.1:10	shy	f29v.1:7	False		recorded
