context_id	global_running_event_id	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	atom_count	contains_S	contains_O	contains_R	has_S_plus_O	has_O_plus_DA	has_DA_plus_R	is_exact_S_O_DA_R	surface_status	admission_color
G483-D001	G407-E0159	f1r	SOURCE_SECTION_T	f1r.21	G404-S005	F1R_TEXT_BLOCK_C	daiiin	DA+IIN	ZWEITE STUFE · STUFE	2	NO	NO	NO	NO	NO	NO	NO	EXACT_SURFACE_ONE_RECIPE	GREEN
G483-D002	G407-E0444	f17r	HERBAL	f17r.1	P1009-S011	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	daram	DA+R+A_ADDR+AM_ADDR	ZWEITE STUFE · MARKIEREN · HIER · HIER	4	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D003	G407-E0505	f17r	HERBAL	f17r.9	P1009-S017	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	das	DA+S	ZWEITE STUFE · WÄHLEN	2	YES	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D004	G407-E0517	f17r	HERBAL	f17r.11	P1009-S017	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	daiiin	DA+IIN	ZWEITE STUFE · STUFE	2	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D005	G407-E0576	f18r	HERBAL	f18r.8	P1009-S022	große abgebildete Blütenpflanze	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D006	G407-E0744	f55v	HERBAL	f55v.7	P1009-S026	große aromatische Doldenpflanze	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D007	G407-E0909	f67r2	CELESTIAL	f67r2.16	P1009-S032	zwei getrennte Himmelsräder und Tabelle	odaeiin	O+DA+E+IIN	AUSFÜHRUNG · ZWEITE STUFE · GRAD I · STUFE	4	NO	YES	NO	NO	YES	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D008	G407-E0930	f67r2	CELESTIAL	f67r2.24	P1009-S033	zwei getrennte Himmelsräder und Tabelle	sodar	S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	4	YES	YES	YES	YES	YES	YES	YES	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D009	G407-E0933	f67r2	CELESTIAL	f67r2.25	P1009-S033	zwei getrennte Himmelsräder und Tabelle	ydam	Y+DA+AM_ADDR	POSTEN · ZWEITE STUFE · HIER	3	NO	NO	NO	NO	NO	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D010	G407-E0946	f67r2	CELESTIAL	f67r2.32	P1009-S036	zwei getrennte Himmelsräder und Tabelle	odas	O+DA+S	AUSFÜHRUNG · ZWEITE STUFE · WÄHLEN	3	YES	YES	NO	NO	YES	NO	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
