support_unit	unit_kind	running_event_count	distinct_recipe_count	distinct_surface_count	page_count	register_count	pages	registers	surface_examples
S	ATOM	300	148	156	24	5	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	fachys|cthres|sory|ase|syaiir|cthes|soiin|sair|s|kos|shos|cphesaiin|ols|es|sckhey|cphodaiils
O	ATOM	683	398	437	24	5	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	shod|cthoary|soiin|oteos|odar|cphoy|oydar|cfhoaiin|shodary|shody|okchoy|chocthy|kos|shos|teody
DA	ATOM	35	20	20	14	5	f17r|f18r|f1r|f55v|f67r2|f68r1|f75r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	daiiin|daram|das|dary|odaeiin|sodar|ydam|odas|odal|odaiiin|dadaiin|dackhy
R	ATOM	114	52	53	22	5	f10r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	cthres|syaiir|roloty|r|okaiir|ro|doiir|ycheor|daram|qokcheor|dcheor|pdrairdy|dary|otaiir
S+O	CONTIGUOUS_FRAGMENT	13	9	10	10	5	f11r|f17r|f1r|f67r2|f68r1|f76r|f77r|f81r|f83r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	soiin|socthody|som|soy|soeey|sodar|sosho|tochso|soin|soiiin
O+DA	CONTIGUOUS_FRAGMENT	6	5	5	2	2	f67r2|f77r	BIOLOGICAL|CELESTIAL	odaeiin|sodar|odas|odal|odaiiin
DA+R	CONTIGUOUS_FRAGMENT	10	4	4	7	3	f17r|f18r|f55v|f67r2|f68r1|f77r|f83r	BIOLOGICAL|CELESTIAL|HERBAL	daram|dary|sodar|ldar
S+O+DA	CONTIGUOUS_FRAGMENT	2	1	1	2	2	f67r2|f77r	BIOLOGICAL|CELESTIAL	sodar
O+DA+R	CONTIGUOUS_FRAGMENT	2	1	1	2	2	f67r2|f77r	BIOLOGICAL|CELESTIAL	sodar
S+O+DA+R	CONTIGUOUS_FRAGMENT	2	1	1	2	2	f67r2|f77r	BIOLOGICAL|CELESTIAL	sodar
