closure_id	source_event_id	physical_page	register	surface	working_recipe	gdt482_residual_interpretation	gdt483_closure_class	exact_running_donor_count	exact_running_donor_ids	exact_running_donor_pages	exact_running_donor_registers	remaining_local_lexical_slot	functional_explanation_complete	concrete_default_reading_de	source_meaning_preserved
G483-R001	P1003-E0598	f71v	CELESTIAL	okolar	OK+OL+AR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES
G483-R002	P1003-E0600	f71v	CELESTIAL	alcphy	AL+CH+P+Y	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	YES
G483-R003	P1003-E0642	f71v	CELESTIAL	otalody	OT+AL	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	YES
G483-R004	P1003-E0646	f71v	CELESTIAL	sholshdy	SH+OL+SH	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.	YES
G483-R005	P1008-E0127	f72r	CELESTIAL	oshodady	SH	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	YES
G483-R006	P1008-E0171	f72r	CELESTIAL	ofaralar	O+LOCAL_CHAR_F+AR+AL+AR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.	YES
G483-R007	P1008-E0173	f72r	CELESTIAL	otchdal	OT+AL	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Sternstelle »ch« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Sternstelle »ch«.	YES
G483-R008	P1008-E0176	f72r	CELESTIAL	otainy	OT+AIN+Y	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Adressspur: danach → Sektoranteil → Positionsposten. Reihenfolge konkret: OT — danach Anteil.	YES
G483-R009	P1008-E0191	f72r	CELESTIAL	oklairdy	OK+AIR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	YES
G483-R010	P1008-E0194	f72r	CELESTIAL	okealar	OK+AL+AR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	YES
G483-R011	P1008-E0243	f72r	CELESTIAL	oteeary	OT+AR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Sternstelle »ee«.	YES
G483-R012	P1008-E0247	f72r	CELESTIAL	okeal	OK+AL	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Setze den Sternstelleneintrag »e« zur Zielposition.	YES
G483-R013	P1008-E0251	f72r	CELESTIAL	okyd	OK	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Setze den Sternstelleneintrag »yd«.	YES
G483-R014	P1008-E0252	f72r	CELESTIAL	otolam	OT+OL+AM_ADDR	MODEL_CONDITIONED_RECURRENT	LOCAL_COMPONENT_RECURRENT	0	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	LOCAL_COMPONENT_ATLAS	NONE	YES	Adressspur: danach → weiter → hier. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in bezeichnete Stelle weiterführen.	YES
