context_id	global_running_event_id	physical_page	register	locus	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	atom_count	contains_S	contains_O	contains_R	has_S_plus_O	has_O_plus_DA	has_DA_plus_R	is_exact_S_O_DA_R	surface_status	admission_color
G483-D002	G407-E0444	f17r	HERBAL	f17r.1	P1009-S011	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	daram	DA+R+A_ADDR+AM_ADDR	ZWEITE STUFE · MARKIEREN · HIER · HIER	4	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D005	G407-E0576	f18r	HERBAL	f18r.8	P1009-S022	große abgebildete Blütenpflanze	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D006	G407-E0744	f55v	HERBAL	f55v.7	P1009-S026	große aromatische Doldenpflanze	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D008	G407-E0930	f67r2	CELESTIAL	f67r2.24	P1009-S033	zwei getrennte Himmelsräder und Tabelle	sodar	S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	4	YES	YES	YES	YES	YES	YES	YES	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D014	G407-E1053	f68r1	CELESTIAL	f68r1.3	P1009-S044	mehrteilige Sternstellentafel	daram	DA+R+A_ADDR+AM_ADDR	ZWEITE STUFE · MARKIEREN · HIER · HIER	4	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D015	G407-E1057	f68r1	CELESTIAL	f68r1.6	P1009-S044	mehrteilige Sternstellentafel	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D017	G407-E2586	f77r	BIOLOGICAL	f77r.32	P1009-S360	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D020	G407-E2710	f77r	BIOLOGICAL	f77r.47	P1009-S382	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	dary	DA+R+Y	ZWEITE STUFE · MARKIEREN · POSTEN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D021	G407-E2712	f77r	BIOLOGICAL	f77r.48	P1009-S382	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	sodar	S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	4	YES	YES	YES	YES	YES	YES	YES	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
G483-D025	G407-E3577	f83r	BIOLOGICAL	f83r.13	P1009-S531	Variantenatlas lokaler Becken und Anwendungen	ldar	L+DA+R	VERBINDUNG · ZWEITE STUFE · MARKIEREN	3	NO	NO	YES	NO	NO	YES	NO	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE
