unified_id	unit_id	page	locus	formal_parse	atomic_default_de	local_namespace	locus_position	predicted_surface	observed_surface	exact_surface_match	renderer_rule
A:001	A1	f67r2	f67r2.1	Y+K+Y	dies + zufuehren + dies	A67_RIGHT_CELESTIAL_WHEEL	FIRST	ykchy	ykshy	NO	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:002	A1	f67r2	f67r2.1	S_ADDR	Sternbezug	A67_RIGHT_CELESTIAL_WHEEL	MIDDLE	s	s	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:003	A1	f67r2	f67r2.1	AR+AM_ADDR	von dort + Gegenfeld	A67_RIGHT_CELESTIAL_WHEEL	LAST	aram	aram	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:004	A1	f67r2	f67r2.2	Y+K+E+HO	dies + zufuehren + kurz + Gabe	A67_RIGHT_CELESTIAL_WHEEL	FIRST	ykecho	ykecho	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:005	A1	f67r2	f67r2.2	O+LS	Arbeitsgang + hinausfuehren	A67_RIGHT_CELESTIAL_WHEEL	MIDDLE	ols	ols	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:006	A1	f67r2	f67r2.2	EE+Y+DY	laenger + dies + Schluss	A67_RIGHT_CELESTIAL_WHEEL	LAST	eesydy	eesydy	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:007	A1	f67r2	f67r2.3	E+Y	kurz + dies	A67_RIGHT_CELESTIAL_WHEEL	FIRST	ey	ey	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:008	A1	f67r2	f67r2.3	SH+S_ADDR	halten + Sternbezug	A67_RIGHT_CELESTIAL_WHEEL	MIDDLE	shs	shs	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:009	A1	f67r2	f67r2.3	OK+AR	ansetzen + von dort	A67_RIGHT_CELESTIAL_WHEEL	LAST	okar	okar	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
A:010	A1	f67r2	f67r2.4	SH+E+K+Y	halten + kurz + zufuehren + dies	A67_RIGHT_CELESTIAL_WHEEL	FIRST	shekchy	shekchy	YES	PARSE_PLUS_NAMESPACE_PLUS_LOCUS_POSITION
