event_id	record_unit_id	statement_id	page	locus	component_parse	joint_tuple_id	body_surface	register	field_position	previous_wrapper	predicted_wrapper	observed_wrapper	predicted_surface	observed_surface	selection_layer	exact_surface_match
E001	H1	H1-S001	f10r	f10r.2	CH+E+Y	65f320e75510b2f38182	chey	HERBAL_A	FIRST	START	d	d	dchey	dchey	UNIQUE_BODY_REGISTER_POSITION	YES
E002	H1	H1-S001	f10r	f10r.2	CTH+O+OR	dedc383b600397a301ee	cthoor	HERBAL_A	MIDDLE	d	NONE	NONE	cthoor	cthoor	UNIQUE_BODY_REGISTER_POSITION	YES
E003	H1	H1-S001	f10r	f10r.2	AR	4d4559019a961b834aa1	ar	HERBAL_A	MIDDLE	NONE	ch	ch	char	char	UNIQUE_BODY_REGISTER_POSITION	YES
E004	H1	H1-S001	f10r	f10r.2	T+Y	80ebbbbf238eee9f0aef	ty	HERBAL_A	MIDDLE	ch	ch	ch	chty	chty	UNIQUE_BODY_REGISTER_POSITION	YES
E005	H1	H1-S001	f10r	f10r.2	OS	df1098831679a8ad1b39	os	HERBAL_A	MIDDLE	ch	NONE	NONE	os	os	UNIQUE_BODY_REGISTER_POSITION	YES
E006	H1	H1-S001	f10r	f10r.2	CH+AIR	12efe866f335461823a6	air	HERBAL_A	MIDDLE	NONE	ch	ch	chair	chair	UNIQUE_BODY_REGISTER_POSITION	YES
E007	H1	H1-S001	f10r	f10r.2	OT+Y+T+CH+OL	62ff059766b21c7de083	otytchol	HERBAL_A	MIDDLE	ch	NONE	NONE	otytchol	otytchol	UNIQUE_BODY_REGISTER_POSITION	YES
E008	H1	H1-S001	f10r	f10r.2	OK+Y	276a7c2d74d1143446f4	oky	HERBAL_A	MIDDLE	NONE	NONE	NONE	oky	oky	EXPANDED_KEY_MAJORITY	YES
E009	H1	H1-S001	f10r	f10r.2	AIIN	2f1c5e56e8f0ff459065	aiin	HERBAL_A	MIDDLE	NONE	d	d	daiin	daiin	PREVIOUS_WRAPPER_RESOLVES	YES
E010	H1	H1-S001	f10r	f10r.2	E+T+Y	a6939862e33ece5a0483	etyd	HERBAL_A	LAST	d	NONE	NONE	etyd	etyd	UNIQUE_BODY_REGISTER_POSITION	YES
E011	H1	H1-S002	f10r	f10r.5	OK+Y	9ad66e67803a12e745de	okchy	HERBAL_A	FIRST	START	NONE	q	okchy	qokchy	EXPANDED_KEY_MAJORITY	NO
E012	H1	H1-S002	f10r	f10r.5	OT+CH+OL	e8a6105b5c3a6220b440	otchol	HERBAL_A	MIDDLE	q	q	q	qotchol	qotchol	UNIQUE_BODY_REGISTER_POSITION	YES
E013	H1	H1-S002	f10r	f10r.5	OL	dcda95c81a5460feb191	ol	HERBAL_A	MIDDLE	q	ch	ch	chol	chol	UNIQUE_BODY_REGISTER_POSITION	YES
E014	H1	H1-S002	f10r	f10r.5	CTH+Y	e0b630cb1b5df5e7105b	cthy	HERBAL_A	LAST	ch	NONE	NONE	cthy	cthy	UNIQUE_BODY_REGISTER_POSITION	YES
E015	H2	H2-S001	f10r	f10r.6	Y+CH+E+OR	7249edc4df3419c26999	ycheor	HERBAL_A	FIRST	START	NONE	NONE	ycheor	ycheor	UNIQUE_BODY_REGISTER_POSITION	YES
E016	H2	H2-S001	f10r	f10r.6	CTH+Y	e0b630cb1b5df5e7105b	cthy	HERBAL_A	MIDDLE	NONE	NONE	NONE	cthy	cthy	UNIQUE_BODY_REGISTER_POSITION	YES
E017	H2	H2-S001	f10r	f10r.6	OR	7a4bb8136330ee4e6e56	or	HERBAL_A	MIDDLE	NONE	ch	ch	chor	chor	EXPANDED_KEY_MAJORITY	YES
E018	H2	H2-S001	f10r	f10r.6	CTH+AIIN	f3c23f42baf625639e1e	cthaiin	HERBAL_A	MIDDLE	ch	NONE	NONE	cthaiin	cthaiin	UNIQUE_BODY_REGISTER_POSITION	YES
E019	H2	H2-S001	f10r	f10r.6	O+CTH+OL+Y	af816c04e65874a0f2fa	octholy	HERBAL_A	MIDDLE	NONE	q	q	qoctholy	qoctholy	UNIQUE_BODY_REGISTER_POSITION	YES
E020	H2	H2-S001	f10r	f10r.6	Y	b921a237be883a820352	y	HERBAL_A	MIDDLE	q	d	d	dy	dy	PREVIOUS_WRAPPER_RESOLVES	YES
E021	H2	H2-S001	f10r	f10r.6	Y	b921a237be883a820352	y	HERBAL_A	MIDDLE	d	ch	ch	chy	chy	PREVIOUS_WRAPPER_RESOLVES	YES
E022	H2	H2-S001	f10r	f10r.6	AIIN	2f1c5e56e8f0ff459065	aiin	HERBAL_A	MIDDLE	ch	d	t	daiin	taiin	EXPANDED_KEY_MAJORITY	NO
