body_no	joint_tuple_id	component_parse	atomic_default_de	body_surface	events	event_ids	attested_wrappers	surface_rule
1	65f320e75510b2f38182	CH+E+Y	dies kurz entnehmen	chey	1	E001	d	observed_wrapper + body_surface; omit NONE
2	dedc383b600397a301ee	CTH+O+OR	Ansatz bereit	cthoor	1	E002	NONE	observed_wrapper + body_surface; omit NONE
3	4d4559019a961b834aa1	AR	von dort	ar	5	E003|E031|E105|E199|E238	ch|d|s	observed_wrapper + body_surface; omit NONE
4	80ebbbbf238eee9f0aef	T+Y	dies eintragen	ty	2	E004|E311	ch|che	observed_wrapper + body_surface; omit NONE
5	df1098831679a8ad1b39	OS	Fach	os	1	E005	NONE	observed_wrapper + body_surface; omit NONE
6	12efe866f335461823a6	CH+AIR	Lauf entnehmen	air	1	E006	ch	observed_wrapper + body_surface; omit NONE
7	62ff059766b21c7de083	OT+Y+T+CH+OL	danach dies eintragen und weiter entnehmen	otytchol	1	E007	NONE	observed_wrapper + body_surface; omit NONE
8	276a7c2d74d1143446f4	OK+Y	verwende dies	oky	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	NONE|ch|q	observed_wrapper + body_surface; omit NONE
9	2f1c5e56e8f0ff459065	AIIN	Mass	aiin	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	NONE|ch|d|s|t	observed_wrapper + body_surface; omit NONE
10	a6939862e33ece5a0483	E+T+Y	dies kurz eintragen	etyd	1	E010	NONE	observed_wrapper + body_surface; omit NONE
11	9ad66e67803a12e745de	OK+Y	dies ansetzen	okchy	3	E011|E091|E095	NONE|ch|q	observed_wrapper + body_surface; omit NONE
12	e8a6105b5c3a6220b440	OT+CH+OL	danach weiter entnehmen	otchol	1	E012	q	observed_wrapper + body_surface; omit NONE
13	dcda95c81a5460feb191	OL	fortsetzen	ol	19	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	NONE|ch|che|q|s|t	observed_wrapper + body_surface; omit NONE
14	e0b630cb1b5df5e7105b	CTH+Y	bereit	cthy	7	E014|E016|E054|E271|E279|E289|E310	NONE|che|sh	observed_wrapper + body_surface; omit NONE
15	7249edc4df3419c26999	Y+CH+E+OR	diesen Ansatz kurz entnehmen	ycheor	1	E015	NONE	observed_wrapper + body_surface; omit NONE
16	7a4bb8136330ee4e6e56	OR	Ansatz	or	7	E017|E025|E033|E034|E071|E254|E348	NONE|ch|s|sh	observed_wrapper + body_surface; omit NONE
17	f3c23f42baf625639e1e	CTH+AIIN	auf Maß bereitstellen	cthaiin	1	E018	NONE	observed_wrapper + body_surface; omit NONE
18	af816c04e65874a0f2fa	O+CTH+OL+Y	dies bereit weiterführen	octholy	1	E019	q	observed_wrapper + body_surface; omit NONE
19	b921a237be883a820352	Y	dies	y	18	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380	NONE|ch|che|d|s|sh	observed_wrapper + body_surface; omit NONE
