exception_no	domain	item_id	unit_id	page	locus	formal_parse	predicted_surface	observed_surface	copy_rule
1	PROSE	E011	H1	f10r	f10r.5	OK+Y	okchy	qokchy	copy observed scribe allograph from local exemplar
2	PROSE	E022	H2	f10r	f10r.6	AIIN	daiin	taiin	copy observed scribe allograph from local exemplar
3	PROSE	E033	H2	f10r	f10r.9	OR	chor	shor	copy observed scribe allograph from local exemplar
4	PROSE	E061	H4	f55v	f55v.5	AIIN	aiin	daiin	copy observed scribe allograph from local exemplar
5	PROSE	E081	H5	f56r	f56r.7	OK+Y	oky	choky	copy observed scribe allograph from local exemplar
6	PROSE	E083	H5	f56r	f56r.8	OL	dchol	schol	copy observed scribe allograph from local exemplar
7	PROSE	E105	B1	f81v	f81v.2	AR	char	sar	copy observed scribe allograph from local exemplar
8	PROSE	E148	B1	f81v	f81v.21	OL	ol	qol	copy observed scribe allograph from local exemplar
9	PROSE	E153	B1	f81v	f81v.24	OK+EE+Y	qokeey	okeey	copy observed scribe allograph from local exemplar
10	PROSE	E154	B1	f81v	f81v.24	OL	ol	qol	copy observed scribe allograph from local exemplar
11	PROSE	E155	B1	f81v	f81v.24	SHED+DY	shedy	cheedy	copy observed scribe allograph from local exemplar
12	PROSE	E186	B2	f82r	f82r.4	OK+AL	okal	qokal	copy observed scribe allograph from local exemplar
13	PROSE	E233	B3	f83r	f83r.3	AIIN	aiin	daiin	copy observed scribe allograph from local exemplar
14	PROSE	E239	B3	f83r	f83r.6	CHD+DY	dchedy	schedy	copy observed scribe allograph from local exemplar
15	PROSE	E254	B3	f83r	f83r.11	OR	or	sor	copy observed scribe allograph from local exemplar
16	PROSE	E268	B3	f83r	f83r.14	AL	cheal	dal	copy observed scribe allograph from local exemplar
17	PROSE	E271	B3	f83r	f83r.14	CTH+Y	checthy	shcthy	copy observed scribe allograph from local exemplar
18	PROSE	E283	B3	f83r	f83r.16	CHD+DY	dchedy	tchedy	copy observed scribe allograph from local exemplar
19	PROSE	E291	B3	f83r	f83r.20	SOLK+EE+DY	olkeedy	solkeedy	copy observed scribe allograph from local exemplar
20	PROSE	E352	B4	f83r	f83r.39	OK+AIN	okain	qokain	copy observed scribe allograph from local exemplar
21	PROSE	E366	B5	f83r	f83r.48	OL	ol	cheol	copy observed scribe allograph from local exemplar
22	PROSE	E377	B6	f83r	f83r.54	AIIN	saiin	daiin	copy observed scribe allograph from local exemplar
23	ASTRO	A:001	A1	f67r2	f67r2.1	Y+K+Y	ykchy	ykshy	copy observed diagram allograph from local exemplar
24	ASTRO	A:040	A1	f67r2	f67r2.16	Y	dy	y	copy observed diagram allograph from local exemplar
25	ASTRO	A:045	A1	f67r2	f67r2.18	AIIN	aiin	daiin	copy observed diagram allograph from local exemplar
26	ASTRO	A:073	A1	f67r2	f67r2.29	AIIN	aiin	saiin	copy observed diagram allograph from local exemplar
27	ASTRO	A:090	A1	f67r2	f67r2.36	AIIN	aiin	daiin	copy observed diagram allograph from local exemplar
28	ASTRO	A:120	A1	f67r2	f67r2.48	AIN	ain	dain	copy observed diagram allograph from local exemplar
29	ASTRO	A:126	A1	f67r2	f67r2.50	AL	dal	sal	copy observed diagram allograph from local exemplar
30	ASTRO	A:133	A1	f67r2	f67r2.56	OL	chol	tol	copy observed diagram allograph from local exemplar
31	ASTRO	A:134	A1	f67r2	f67r2.56	AIIN	aiin	daiin	copy observed diagram allograph from local exemplar
32	ASTRO	A:179	A1	f67r2	f67r2.74	OK+EE+O+Y	okeeody	qokeeody	copy observed diagram allograph from local exemplar
33	ASTRO	A:222	A2	f68r1	f68r1.8	OK+O+AL+Y	okoaly	okodaly	copy observed diagram allograph from local exemplar
34	ASTRO	A:259	A3	f69v	f69v.1	AR	ar	sar	copy observed diagram allograph from local exemplar
35	ASTRO	A:274	A3	f69v	f69v.1	Y	y	chey	copy observed diagram allograph from local exemplar
36	ASTRO	A:281	A3	f69v	f69v.1	Y	y	dy	copy observed diagram allograph from local exemplar
37	ASTRO	A:291	A3	f69v	f69v.1	AR	ar	dar	copy observed diagram allograph from local exemplar
38	ASTRO	A:313	A3	f69v	f69v.2	AL	dal	cheal	copy observed diagram allograph from local exemplar
39	ASTRO	A:317	A3	f69v	f69v.2	Y	y	dy	copy observed diagram allograph from local exemplar
40	ASTRO	A:321	A3	f69v	f69v.2	Y	y	dy	copy observed diagram allograph from local exemplar
41	ASTRO	A:324	A3	f69v	f69v.2	OL	chol	ol	copy observed diagram allograph from local exemplar
42	ASTRO	A:327	A3	f69v	f69v.2	Y	y	chey	copy observed diagram allograph from local exemplar
43	ASTRO	A:340	A3	f69v	f69v.3	Y	chey	chy	copy observed diagram allograph from local exemplar
44	ASTRO	A:364	A3	f69v	f69v.4	AR	char	sar	copy observed diagram allograph from local exemplar
