writer_order	domain	item_id	unit_id	page	locus	formal_parse	predicted_surface	observed_surface	exact_without_exception	exact_with_exception_deck
1	PROSE	E001	H1	f10r	f10r.2	CH+E+Y	dchey	dchey	YES	YES
2	PROSE	E002	H1	f10r	f10r.2	CTH+O+OR	cthoor	cthoor	YES	YES
3	PROSE	E003	H1	f10r	f10r.2	AR	char	char	YES	YES
4	PROSE	E004	H1	f10r	f10r.2	T+Y	chty	chty	YES	YES
5	PROSE	E005	H1	f10r	f10r.2	OS	os	os	YES	YES
6	PROSE	E006	H1	f10r	f10r.2	CH+AIR	chair	chair	YES	YES
7	PROSE	E007	H1	f10r	f10r.2	OT+Y+T+CH+OL	otytchol	otytchol	YES	YES
8	PROSE	E008	H1	f10r	f10r.2	OK+Y	oky	oky	YES	YES
9	PROSE	E009	H1	f10r	f10r.2	AIIN	daiin	daiin	YES	YES
10	PROSE	E010	H1	f10r	f10r.2	E+T+Y	etyd	etyd	YES	YES
11	PROSE	E011	H1	f10r	f10r.5	OK+Y	okchy	qokchy	NO	YES
12	PROSE	E012	H1	f10r	f10r.5	OT+CH+OL	qotchol	qotchol	YES	YES
13	PROSE	E013	H1	f10r	f10r.5	OL	chol	chol	YES	YES
14	PROSE	E014	H1	f10r	f10r.5	CTH+Y	cthy	cthy	YES	YES
15	PROSE	E015	H2	f10r	f10r.6	Y+CH+E+OR	ycheor	ycheor	YES	YES
16	PROSE	E016	H2	f10r	f10r.6	CTH+Y	cthy	cthy	YES	YES
17	PROSE	E017	H2	f10r	f10r.6	OR	chor	chor	YES	YES
18	PROSE	E018	H2	f10r	f10r.6	CTH+AIIN	cthaiin	cthaiin	YES	YES
19	PROSE	E019	H2	f10r	f10r.6	O+CTH+OL+Y	qoctholy	qoctholy	YES	YES
20	PROSE	E020	H2	f10r	f10r.6	Y	dy	dy	YES	YES
21	PROSE	E021	H2	f10r	f10r.6	Y	chy	chy	YES	YES
22	PROSE	E022	H2	f10r	f10r.6	AIIN	daiin	taiin	NO	YES
23	PROSE	E023	H2	f10r	f10r.6	Y	shy	shy	YES	YES
24	PROSE	E024	H2	f10r	f10r.8	OT+CH+OR	qotchor	qotchor	YES	YES
25	PROSE	E025	H2	f10r	f10r.8	OR	chor	chor	YES	YES
26	PROSE	E026	H2	f10r	f10r.8	OT+OL	otol	otol	YES	YES
27	PROSE	E027	H2	f10r	f10r.8	OL	chol	chol	YES	YES
28	PROSE	E028	H2	f10r	f10r.8	OL+OR	cholor	cholor	YES	YES
29	PROSE	E029	H2	f10r	f10r.8	OL	chol	chol	YES	YES
