rule_no	formal_parse	local_namespace	locus_position	predicted_surface	support_groups	surface_counts
1	AIIN	A67_LEFT_CELESTIAL_WHEEL	FIRST	daiin	1	daiin:1
2	AIIN	A67_LEFT_CELESTIAL_WHEEL	LAST	aiin	4	aiin:2|daiin:1|saiin:1
3	AIIN	A67_LEFT_CELESTIAL_WHEEL	MIDDLE	aiin	4	aiin:2|daiin:2
4	AIIN	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	MIDDLE	aiin	1	aiin:1
5	AIIN	A69_MIDDLE_CLOUD_WAVE_WHEEL	MIDDLE	aiin	1	aiin:1
6	AIN	A67_LEFT_CELESTIAL_WHEEL	MIDDLE	ain	2	ain:1|dain:1
7	AIN	A67_RIGHT_CELESTIAL_WHEEL	MIDDLE	ain	1	ain:1
8	AIR	A67_LEFT_CELESTIAL_WHEEL	MIDDLE	air	1	air:1
9	AIR	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	MIDDLE	air	1	air:1
10	AIR	A67_RIGHT_CELESTIAL_WHEEL	LAST	air	1	air:1
11	AIR	A69_RIGHT_FACE_RAY_WHEEL	MIDDLE	air	1	air:1
12	AIR+Y	A69_MIDDLE_CLOUD_WAVE_WHEEL	MIDDLE	airchy	1	airchy:1
13	AL	A67_LEFT_CELESTIAL_WHEEL	LAST	dal	2	dal:1|sal:1
14	AL	A67_LEFT_CELESTIAL_WHEEL	MIDDLE	dal	1	dal:1
15	AL	A69_MIDDLE_CLOUD_WAVE_WHEEL	MIDDLE	dal	3	cheal:1|dal:2
16	AL	A69_RIGHT_FACE_RAY_WHEEL	MIDDLE	dal	1	dal:1
17	AL+AIIN	A67_LEFT_CELESTIAL_WHEEL	LAST	alaiin	1	alaiin:1
18	AL+AIIN	A67_LEFT_CELESTIAL_WHEEL	MIDDLE	aldaiin	1	aldaiin:1
19	AL+AL	A67_LEFT_CELESTIAL_WHEEL	LAST	saldal	1	saldal:1
20	AL+DY	A67_RIGHT_CELESTIAL_WHEEL	LAST	aldy	1	aldy:1
21	AL+S_ADDR+AIN	A67_LEFT_CELESTIAL_WHEEL	LAST	salsain	1	salsain:1
22	AL+Y+S_ADDR	A69_LEFT_28_PLACE_WHEEL	LAST	alys	1	alys:1
23	AM_ADDR	A67_LEFT_CELESTIAL_WHEEL	LAST	am	2	am:2
