rule_no	body_surface	register	field_position	previous_wrapper	predicted_wrapper	selection_layer	support_events	observed_wrapper_counts
1	aiiin	OTHER_B	MIDDLE	s	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
2	aiin	HERBAL_A	LAST	NONE	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
3	aiin	HERBAL_A	LAST	ch	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
4	aiin	HERBAL_A	LAST	d	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
5	aiin	HERBAL_A	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
6	aiin	HERBAL_A	MIDDLE	ch	d	EXPANDED_KEY_MAJORITY	2	d:1|t:1
7	aiin	HERBAL_B	FIRST	NONE	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|d:1
8	aiin	HERBAL_B	MIDDLE	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
9	aiin	OTHER_B	FIRST	START	s	EXPANDED_KEY_MAJORITY	4	d:1|s:3
10	aiin	OTHER_B	LAST	ch	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
11	aiin	OTHER_B	LAST	q	s	PREVIOUS_WRAPPER_RESOLVES	1	s:1
12	aiin	OTHER_B	MIDDLE	NONE	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
13	aiin	OTHER_B	MIDDLE	che	NONE	EXPANDED_KEY_MAJORITY	2	NONE:1|d:1
14	aiin	OTHER_B	MIDDLE	q	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
15	aiin	OTHER_B	MIDDLE	sh	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
16	ain	OTHER_B	FIRST	START	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
17	ain	OTHER_B	MIDDLE	NONE	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
18	air	HERBAL_A	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
19	airydy	OTHER_B	LAST	q	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
20	al	HERBAL_A	LAST	ch	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
21	al	OTHER_B	FIRST	START	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
22	al	OTHER_B	FIRST	che	s	PREVIOUS_WRAPPER_RESOLVES	1	s:1
23	al	OTHER_B	FIRST	q	che	EXPANDED_KEY_MAJORITY	2	che:1|d:1
24	al	OTHER_B	LAST	q	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
25	al	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
26	al	OTHER_B	MIDDLE	che	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
27	al	OTHER_B	MIDDLE	sh	d	PREVIOUS_WRAPPER_RESOLVES	1	d:1
28	al	OTHER_B	ONLY	sh	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
29	alam	HERBAL_B	LAST	che	t	UNIQUE_BODY_REGISTER_POSITION	1	t:1
30	alchdy	OTHER_B	LAST	sh	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
31	aldy	OTHER_B	LAST	NONE	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
32	alror	OTHER_B	LAST	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
33	ar	HERBAL_A	LAST	d	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
34	ar	HERBAL_A	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
35	ar	OTHER_B	LAST	q	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
36	ar	OTHER_B	MIDDLE	NONE	ch	EXPANDED_KEY_MAJORITY	2	ch:1|s:1
37	ary	OTHER_B	LAST	che	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
38	cfhy	HERBAL_A	MIDDLE	s	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
39	chdy	OTHER_B	LAST	t	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
40	chedair	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
41	chedy	OTHER_B	LAST	ch	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
42	chedy	OTHER_B	ONLY	START	d	EXPANDED_KEY_MAJORITY	3	d:1|s:1|t:1
43	chey	HERBAL_A	FIRST	START	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
44	choal	HERBAL_A	MIDDLE	t	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
45	chody	HERBAL_A	LAST	sh	t	UNIQUE_BODY_REGISTER_POSITION	1	t:1
46	chol	HERBAL_A	FIRST	START	d	EXPANDED_KEY_MAJORITY	2	d:1|s:1
47	ckhal	OTHER_B	LAST	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
48	ckhedy	OTHER_B	LAST	che	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
49	ckhedy	OTHER_B	ONLY	q	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
50	ckhedy	OTHER_B	ONLY	sh	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
51	ckhy	OTHER_B	FIRST	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
52	ckhy	OTHER_B	MIDDLE	d	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
53	ckhy	OTHER_B	MIDDLE	q	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
54	ckhy	OTHER_B	MIDDLE	s	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
55	cphy	HERBAL_A	MIDDLE	sh	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
56	cthaiin	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
57	cthey	OTHER_B	MIDDLE	ch	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
58	cthey	OTHER_B	MIDDLE	che	q	PREVIOUS_WRAPPER_RESOLVES	1	q:1
59	cthoor	HERBAL_A	MIDDLE	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
60	cthy	HERBAL_A	LAST	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
61	cthy	HERBAL_A	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	2	NONE:2
62	cthy	OTHER_B	MIDDLE	q	che	EXPANDED_KEY_MAJORITY	2	che:1|sh:1
63	cthy	OTHER_B	MIDDLE	s	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
64	cthy	OTHER_B	MIDDLE	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
65	dain	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
66	dal	OTHER_B	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
67	dchy	OTHER_B	FIRST	s	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
68	dy	HERBAL_B	MIDDLE	d	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
69	dy	OTHER_B	FIRST	NONE	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
70	dy	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
71	dy	OTHER_B	FIRST	s	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
72	dy	OTHER_B	LAST	NONE	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
73	dy	OTHER_B	LAST	d	che	PREVIOUS_WRAPPER_RESOLVES	1	che:1
74	dy	OTHER_B	MIDDLE	ch	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
75	dy	OTHER_B	MIDDLE	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
76	dy	OTHER_B	MIDDLE	d	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
77	dy	OTHER_B	MIDDLE	q	che	UNIQUE_BODY_REGISTER_POSITION	2	che:2
78	eckhal	OTHER_B	MIDDLE	NONE	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
79	eckhody	HERBAL_A	LAST	ch	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
80	eckhy	OTHER_B	MIDDLE	q	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
81	ecthedchy	OTHER_B	FIRST	NONE	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
82	ecthy	OTHER_B	MIDDLE	sh	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
83	edal	OTHER_B	MIDDLE	s	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
84	edal	OTHER_B	ONLY	q	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
85	edar	OTHER_B	FIRST	q	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
86	edy	OTHER_B	LAST	NONE	sh	PREVIOUS_WRAPPER_RESOLVES	3	sh:3
87	edy	OTHER_B	LAST	q	sh	EXPANDED_KEY_MAJORITY	3	che:1|sh:2
88	edy	OTHER_B	LAST	s	sh	PREVIOUS_WRAPPER_RESOLVES	2	sh:2
89	edy	OTHER_B	LAST	t	sh	PREVIOUS_WRAPPER_RESOLVES	1	sh:1
90	edy	OTHER_B	ONLY	NONE	t	PREVIOUS_WRAPPER_RESOLVES	1	t:1
91	edy	OTHER_B	ONLY	q	sh	PREVIOUS_WRAPPER_RESOLVES	2	sh:2
92	eedy	OTHER_B	LAST	NONE	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
93	eety	OTHER_B	MIDDLE	s	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
94	eey	OTHER_B	MIDDLE	che	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
95	ekey	OTHER_B	MIDDLE	s	q	UNIQUE_BODY_REGISTER_POSITION	1	q:1
96	eky	HERBAL_B	MIDDLE	che	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
97	eky	OTHER_B	MIDDLE	s	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
98	eol	OTHER_B	MIDDLE	s	t	UNIQUE_BODY_REGISTER_POSITION	1	t:1
99	etyd	HERBAL_A	LAST	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
100	ey	HERBAL_A	MIDDLE	NONE	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
101	ey	OTHER_B	FIRST	START	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
102	ey	OTHER_B	LAST	NONE	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
103	ey	OTHER_B	MIDDLE	q	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
104	fydaiin	HERBAL_A	MIDDLE	NONE	sh	UNIQUE_BODY_REGISTER_POSITION	1	sh:1
105	h	HERBAL_A	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
106	kaiiin	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
107	kain	OTHER_B	MIDDLE	NONE	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
108	kain	OTHER_B	MIDDLE	q	ch	PREVIOUS_WRAPPER_RESOLVES	1	ch:1
109	kain	OTHER_B	MIDDLE	sh	NONE	PREVIOUS_WRAPPER_RESOLVES	1	NONE:1
110	kair	OTHER_B	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
111	kar	OTHER_B	FIRST	START	s	UNIQUE_BODY_REGISTER_POSITION	1	s:1
112	kchal	HERBAL_A	LAST	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
113	kchey	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
114	kchoar	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
115	kchol	HERBAL_A	MIDDLE	sh	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
116	kchy	HERBAL_A	MIDDLE	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
117	keedy	OTHER_B	LAST	q	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
118	keey	OTHER_B	MIDDLE	NONE	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
119	keol	HERBAL_A	MIDDLE	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
120	ky	OTHER_B	FIRST	t	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
121	ky	OTHER_B	MIDDLE	NONE	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
122	ky	OTHER_B	MIDDLE	s	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
123	l	OTHER_B	LAST	NONE	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
124	l	OTHER_B	MIDDLE	sh	d	UNIQUE_BODY_REGISTER_POSITION	1	d:1
125	lar	OTHER_B	ONLY	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
126	lcheckhedy	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
127	lcheckhy	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
128	lched	OTHER_B	LAST	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
129	lchedal	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
130	lchedar	OTHER_B	MIDDLE	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
131	lchedy	OTHER_B	LAST	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
132	lchedy	OTHER_B	LAST	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
133	lchedy	OTHER_B	LAST	s	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
134	lchedy	OTHER_B	ONLY	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
135	lchedy	OTHER_B	ONLY	q	NONE	UNIQUE_BODY_REGISTER_POSITION	3	NONE:3
136	lchedy	OTHER_B	ONLY	sh	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
137	lcheey	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
138	lchy	OTHER_B	ONLY	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
139	ldaiin	OTHER_B	MIDDLE	che	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
140	ldalor	OTHER_B	LAST	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
141	ldy	OTHER_B	LAST	ch	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
142	ldy	OTHER_B	ONLY	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
143	lkedy	OTHER_B	LAST	s	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
144	lo	OTHER_B	ONLY	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
145	lochedy	OTHER_B	ONLY	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
146	lol	OTHER_B	MIDDLE	che	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
147	ls	OTHER_B	MIDDLE	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
148	lshedy	OTHER_B	LAST	q	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
149	lshedy	OTHER_B	ONLY	NONE	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
150	lsho	OTHER_B	FIRST	START	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
151	ly	OTHER_B	ONLY	d	NONE	UNIQUE_BODY_REGISTER_POSITION	1	NONE:1
152	o	HERBAL_A	FIRST	START	sh	UNIQUE_BODY_REGISTER_POSITION	2	sh:2
153	o	HERBAL_A	MIDDLE	ch	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
154	o	HERBAL_A	MIDDLE	s	ch	UNIQUE_BODY_REGISTER_POSITION	1	ch:1
155	oar	HERBAL_B	MIDDLE	NONE	che	UNIQUE_BODY_REGISTER_POSITION	1	che:1
