card_id	rendering_class	surface	reader_merge_surface	occurrences	working_render_de	selection_rule	semantic_effect
G667-C001	ALCHEDY_ACTION	alchedy	NONE	4	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C002	CHD_ACTION	chd	NONE	6	Trocknung abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C003	CHETCHAIIN_ACTION	chetchaiin	NONE	1	drei Teile abgekühlter und erneut getrockneter Droge der Mittelstufe	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C004	CHKOROL_ACTION	chkorol	NONE	1	erhitze eine Portion getrockneten Drogenstoffs	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C005	CHOKEEODY_ACTION	chokeeody	NONE	1	Trockenansatz vollständig erhitzen, neu ansetzen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C006	CHOKODY_ACTION	chokody	NONE	1	Trockenansatz erhitzen, erneut ansetzen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C007	CHSHOTY_ACTION	chshoty	NONE	1	trocknen, einweichen, ansetzen, abkühlen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C008	CHTEDY_ACTION	chtedy	NONE	2	abkühlen, bis zur Mittelstufe trocknen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C009	KALD_ACTION	kald	NONE	1	erhitzte Rohdroge I abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C010	KECHY_ACTION	kechy	NONE	4	mäßig erhitzen, trocknen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C011	KSHO_ACTION	ksho	NONE	8	erhitze, weiche ein und setze an	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G667-C012	LABEL_SIGLUM	cheg	NONE	1	[ein Gran bis zur Mittelstufe getrocknete Droge-Zeichen]	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
