page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces
f100r	f100r.1	P	A	1	1	0	0	0	0	1	0.000000	1	1	1	1	chosaroshol	[chosaroshol:?]	OPEN	UNKNOWN_SURFACE	1	chosaroshol
f100r	f100r.10	P	A	1	1	0	0	0	0	1	0.000000	1	1	1	1	dakocth	[dakocth:?]	OPEN	UNKNOWN_SURFACE	1	dakocth
f100r	f100r.11	P	A	1	1	0	0	0	0	1	0.000000	0	0	1	0	sofam	[sofam:?]	OPEN	UNKNOWN_SURFACE	1	sofam
f100r	f100r.12	P	A	1	10	4	1	0	1	6	0.400000	6	6	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	getrockneter Pulverstoff | [sheod:?] | [qocpheeckhy:?] | [shodol:?] | [da:?] | [oto:?] | [choos:?] | feucht am Ende des Grades | Trockenansatz | Samen-/Saatgutposten	GDT662:EXACT_WHOLE:pcheol | OPEN | OPEN | OPEN | OPEN | OPEN | OPEN | GDT647:FAMILY_MIGRATION | GDT661:EXACT_WHOLE:cho | GDT660:S_EOS	KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED	2|3|4|5|6|7	sheod|qocpheeckhy|shodol|da|oto|choos
f100r	f100r.13	P	A	1	8	4	0	0	1	4	0.500000	5	5	1	0	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	[dsheor:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | heiß am Ende des Grades | kalter Ansatz am Ende des Grades | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	OPEN | GDT638:ROUND_03 | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN | OPEN | V13:CONTEXTUAL_VALUE_SERIES | OPEN	UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	1|5|6|8	dsheor|ykeeodain|rorarydaiin|deeomchol
f100r	f100r.14	P	A	1	10	5	1	0	0	5	0.500000	8	9	1	0	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	V13:PART_OR_FORM | OPEN | GDT647:FAMILY_MIGRATION | OPEN | OPEN | GDT666:EXACT_WHOLE:qokeol | OPEN | V13:SCOPED_CONCRETE_HEAD_FORM | GDT656:REVISE_AL_QUALITY_MODEL | OPEN	KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	2|4|5|7|10	chkeey|qokeody|qoteold|so|ykeeeo
f100r	f100r.15	P	A	1	7	4	3	0	0	3	0.571429	6	6	1	0	dcheor shol qokeeol chor chol qokeeody dareu	[dcheor:?] | feucht; nominal feuchtes Gut/Material | [qokeeol:?] | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | vollständig ausgekochter Ansatz | [dareu:?]	OPEN | V13:MOIST_OL_FORM | OPEN | V13:PART_OR_FORM | V13:DRY_OL_FORM | GDT663:EXACT_WHOLE:qokeeody | OPEN	UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	1|3|7	dcheor|qokeeol|dareu
f100r	f100r.16	P	A	1	1	0	0	0	0	1	0.000000	1	1	1	1	okeeos	[okeeos:?]	OPEN	UNKNOWN_SURFACE	1	okeeos
f100r	f100r.17	P	A	1	1	1	0	0	0	0	1.000000	1	1	1	1	shockhey	Arzneikompositum im Feuchtansatz in der Gradmitte	GDT652:STRONG_COMPONENT_GRID	KNOWN_EXACT_WHOLE	NONE	NONE
f100r	f100r.18	P	A	1	1	1	0	0	0	0	1.000000	1	1	1	1	orol	Drogenstoffportion	GDT653:STRONG_DIRECT_BOUNDARY_COMPOUND	KNOWN_EXACT_WHOLE	NONE	NONE
f100r	f100r.19	P	A	1	1	0	0	0	0	1	0.000000	1	1	1	1	olcheom	[olcheom:?]	OPEN	UNKNOWN_SURFACE	1	olcheom
f100r	f100r.2	P	A	1	1	0	0	0	0	1	0.000000	1	1	1	1	sochorcfhy	[sochorcfhy:?]	OPEN	UNKNOWN_SURFACE	1	sochorcfhy
f100r	f100r.20	P	A	1	1	1	0	0	0	0	1.000000	1	1	1	1	oteol	[Drogenstoff im Ansatz bis zur Mittelstufe abkühlen-Zeichen]	GDT667:EXACT_WHOLE:oteol	KNOWN_EXACT_WHOLE	NONE	NONE
f100r	f100r.21	P	A	1	1	0	0	0	0	1	0.000000	0	0	1	0	okols	[okols:?]	OPEN	UNKNOWN_SURFACE	1	okols
