rank	surface	full_panel_positions	newly_exposed_lines	first_locus	status
1	okeor	15	1	f18r.4	NEXT_V44_ONE_HOLE_FRONTIER
2	cheeor	13	1	f52v.4	NEXT_V44_ONE_HOLE_FRONTIER
3	shedain	12	1	f108v.32	NEXT_V44_ONE_HOLE_FRONTIER
4	cheeol	9	1	f93v.10	NEXT_V44_ONE_HOLE_FRONTIER
5	okees	9	1	f76r.6	NEXT_V44_ONE_HOLE_FRONTIER
6	qolchey	9	1	f76r.40	NEXT_V44_ONE_HOLE_FRONTIER
7	qotcho	9	1	f29v.7	NEXT_V44_ONE_HOLE_FRONTIER
8	tody	9	1	f43v.3	NEXT_V44_ONE_HOLE_FRONTIER
9	chod	8	1	f18v.7	NEXT_V44_ONE_HOLE_FRONTIER
10	qod	8	1	f50v.8	NEXT_V44_ONE_HOLE_FRONTIER
11	oteeey	7	1	f113v.37	NEXT_V44_ONE_HOLE_FRONTIER
12	ycheedy	7	1	f107r.3	NEXT_V44_ONE_HOLE_FRONTIER
13	chkchy	6	1	f47v.3	NEXT_V44_ONE_HOLE_FRONTIER
14	opchol	6	1	f22r.10	NEXT_V44_ONE_HOLE_FRONTIER
15	odam	5	1	f93r.11	NEXT_V44_ONE_HOLE_FRONTIER
16	ykchor	5	1	f56v.8	NEXT_V44_ONE_HOLE_FRONTIER
17	ykey	5	1	f58v.30	NEXT_V44_ONE_HOLE_FRONTIER
18	ksheody	4	1	f9v.6	NEXT_V44_ONE_HOLE_FRONTIER
19	ytoiin	4	1	f37v.22	NEXT_V44_ONE_HOLE_FRONTIER
20	cheoraiin	3	1	f104v.31	NEXT_V44_ONE_HOLE_FRONTIER
21	chkor	3	1	f56r.4	NEXT_V44_ONE_HOLE_FRONTIER
22	chotey	3	1	f93r.24	NEXT_V44_ONE_HOLE_FRONTIER
23	daral	3	1	f79v.42	NEXT_V44_ONE_HOLE_FRONTIER
24	lcheckhy	3	1	f82r.2	NEXT_V44_ONE_HOLE_FRONTIER
25	pchodain	3	1	f112v.15	NEXT_V44_ONE_HOLE_FRONTIER
26	san	3	1	f76v.39	NEXT_V44_ONE_HOLE_FRONTIER
27	ychos	3	1	f6v.7	NEXT_V44_ONE_HOLE_FRONTIER
28	lkeeol	2	1	f111r.8	NEXT_V44_ONE_HOLE_FRONTIER
29	otcheor	2	1	f30v.10	NEXT_V44_ONE_HOLE_FRONTIER
30	otchyd	2	1	f22v.2	NEXT_V44_ONE_HOLE_FRONTIER
31	polchdy	2	1	f112r.19	NEXT_V44_ONE_HOLE_FRONTIER
32	qokchaiin	2	1	f35v.9	NEXT_V44_ONE_HOLE_FRONTIER
33	solkedy	2	1	f75v.58	NEXT_V44_ONE_HOLE_FRONTIER
34	soshy	2	1	f14r.8	NEXT_V44_ONE_HOLE_FRONTIER
35	aeky	1	1	f102v1.14	NEXT_V44_ONE_HOLE_FRONTIER
36	chcthor	1	1	f10v.2	NEXT_V44_ONE_HOLE_FRONTIER
37	cheary	1	1	f107v.39	NEXT_V44_ONE_HOLE_FRONTIER
38	cheeckhody	1	1	f56r.8	NEXT_V44_ONE_HOLE_FRONTIER
39	chekam	1	1	f75r.11	NEXT_V44_ONE_HOLE_FRONTIER
40	chelal	1	1	f55r.12	NEXT_V44_ONE_HOLE_FRONTIER
41	chold	1	1	f11v.7	NEXT_V44_ONE_HOLE_FRONTIER
42	cths	1	1	f32r.14	NEXT_V44_ONE_HOLE_FRONTIER
43	dairin	1	1	f16v.6	NEXT_V44_ONE_HOLE_FRONTIER
44	dalchom	1	1	f89r1.16	NEXT_V44_ONE_HOLE_FRONTIER
45	dcheeey	1	1	f49r.18	NEXT_V44_ONE_HOLE_FRONTIER
46	dolcheey	1	1	f17v.5	NEXT_V44_ONE_HOLE_FRONTIER
47	dols	1	1	f33v.1	NEXT_V44_ONE_HOLE_FRONTIER
48	dorchory	1	1	f2r.2	NEXT_V44_ONE_HOLE_FRONTIER
49	doty	1	1	f19v.5	NEXT_V44_ONE_HOLE_FRONTIER
50	eaiin	1	1	f2r.10	NEXT_V44_ONE_HOLE_FRONTIER
51	keaiin	1	1	f17v.12	NEXT_V44_ONE_HOLE_FRONTIER
52	keeal	1	1	f78r.34	NEXT_V44_ONE_HOLE_FRONTIER
53	koshet	1	1	f16v.3	NEXT_V44_ONE_HOLE_FRONTIER
54	lchpchdy	1	1	f81v.14	NEXT_V44_ONE_HOLE_FRONTIER
55	loar	1	1	f113v.24	NEXT_V44_ONE_HOLE_FRONTIER
56	ocheain	1	1	f75v.13	NEXT_V44_ONE_HOLE_FRONTIER
57	oeeeos	1	1	f24r.6	NEXT_V44_ONE_HOLE_FRONTIER
