rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v43_translation_de	v44_translation_de	status
1	f100v	f100v.15	qoolkeey	erhitze den Drogenstoff vollständig und schließe ab	erhitze den Drogenstoff vollständig und schließe ab	PRODUCTIVE_COMPOUND	QO_COMMAND+OL_MATERIAL+K_HOT+EE_END+Y_START_OR_CLOSE	gib vollständig erhitzten Drogenstoff hinzu	LOW_EXPLORATORY	NONE	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion; vollständig getrocknet; abgemessene Fraktion II; Grundansatz; trockener Drogenstoff; [qoolkeey:?]; Trockengut; vollständig getrocknet; erhitze den Drogenstoff bis zur Mittelstufe; Trockenansatz aus kaltem Material; Samen-/Saatgutposten.	Samenportion; vollständig getrocknet; abgemessene Fraktion II; Grundansatz; trockener Drogenstoff; erhitze den Drogenstoff vollständig und schließe ab; Trockengut; vollständig getrocknet; erhitze den Drogenstoff bis zur Mittelstufe; Trockenansatz aus kaltem Material; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f102v2	f102v2.23	oiees	vollständig bereitete Ansatzcharge, Form I	vollständig bereitete Ansatzcharge, Form I	PRODUCTIVE_COMPOUND	O_PREP+I_FORM_I+EE_END+S_TERM_SPECIES	vollständig bereitete Arzneispecies	LOW_EXPLORATORY	NONE	okey okey shey okey oiees or eey	Ansatz bis zur mittleren Heizstufe; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Einweichstufe; Ansatz bis zur mittleren Heizstufe; [oiees:?]; Endstufe abschließen	Ansatz bis zur mittleren Heizstufe; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Einweichstufe; Ansatz bis zur mittleren Heizstufe; vollständig bereitete Ansatzcharge, Form I; Endstufe abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f103r	f103r.12	oain	zwei Teile Ansatz	zwei Teile Ansatz	PRODUCTIVE_COMPOUND	O_PREP+AIN_II	Ansatz auf Stufe II	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	oain shey shckhy oteey qokeol keedy shar aiin otedy	[oain:?]; bis zur mittleren Einweichstufe; Arzneikompositum: feucht, Gradanfang; Ansatz auf Kühlendstufe; erhitze den Drogenstoff bis zur Mittelstufe; bis zur Heizendstufe gebracht; angefeuchtete Drogenfraktion I; drei Teile; Ansatz auf mittlerer Kühlstufe abgeschlossen	zwei Teile Ansatz; bis zur mittleren Einweichstufe; Arzneikompositum: feucht, Gradanfang; Ansatz auf Kühlendstufe; erhitze den Drogenstoff bis zur Mittelstufe; bis zur Heizendstufe gebracht; angefeuchtete Drogenfraktion I; drei Teile; Ansatz auf mittlerer Kühlstufe abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f103v	f103v.13	olshy	Drogenstoff leicht einweichen	Drogenstoff leicht einweichen	PRODUCTIVE_COMPOUND	OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter Drogenstoff	MEDIUM_EXACT_WHOLE	NONE	dain eey olshy otey olshedy qotshdy okeey lr ain okan olshey	zwei Maße; Endstufe abschließen; [olshy:?]; Ansatz bis zur mittleren Kühlstufe; Holzdroge im Ansatz vollständig eingeweicht; kalt und leicht angefeuchtet, abgeschlossen; Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; heiß im Zubereitungsrahmen, Grad I; Holzdrogenansatz bis zur mittleren Einweichstufe	zwei Maße; Endstufe abschließen; Drogenstoff leicht einweichen; Ansatz bis zur mittleren Kühlstufe; Holzdroge im Ansatz vollständig eingeweicht; kalt und leicht angefeuchtet, abgeschlossen; Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; heiß im Zubereitungsrahmen, Grad I; Holzdrogenansatz bis zur mittleren Einweichstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f105r	f105r.29	ypchedy	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig	PRODUCTIVE_COMPOUND	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrocknetes Pulver dieser Zubereitung	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	oees olkeedy qockhy r aiin chol okair oteedy qopchedy odaiin ypchedy ytam	Ansatzcharge auf Endstufe; Holzdrogenansatz vollständig erhitzt und abgeschlossen; bereite einen Arzneikompositum-Ansatz in Grundstufe; Wurzel; drei Teile; Trockengut; heiße Drogenfraktion II im Ansatz; Ansatz auf Kühlendstufe abgeschlossen; nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat; Zubereitungsdosis III; [ypchedy:?]; nimm hiervon ein Maß und kühle es	Ansatzcharge auf Endstufe; Holzdrogenansatz vollständig erhitzt und abgeschlossen; bereite einen Arzneikompositum-Ansatz in Grundstufe; Wurzel; drei Teile; Trockengut; heiße Drogenfraktion II im Ansatz; Ansatz auf Kühlendstufe abgeschlossen; nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat; Zubereitungsdosis III; trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig; nimm hiervon ein Maß und kühle es	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f105v	f105v.28	oeoar	erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes	erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes	PRODUCTIVE_COMPOUND	O_PREP+E_MIDDLE+O_PREP+AR_FRACTION_I	Ansatz der Mittelstufe erneut ansetzen und erste Fraktion nehmen	LOW_EXPLORATORY	NONE	oeoar ar al odor aiil otaiin	[oeoar:?]; Drogenfraktion I; Rohstoff I; eine Portion Ansatz abmessen; Rohstoff III; kalt im Zubereitungsrahmen, Grad III	erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes; Drogenfraktion I; Rohstoff I; eine Portion Ansatz abmessen; Rohstoff III; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f106r	f106r.46	sotchdaiin	drei Dosen Saatgutzubereitung abkühlen und trocknen	drei Dosen Saatgutzubereitung abkühlen und trocknen	PRODUCTIVE_COMPOUND	SO_SEED_PREP+T_COLD+CH_DRY+D_MEASURE+AIIN_III	drei Teile kalt getrocknetes Saatgut	LOW_EXPLORATORY	NONE	sotchdaiin shodaiin otedy qokeedy qokaiin ykar qokain cheedy lol	[sotchdaiin:?]; drei Dosen Feuchtansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; bis zur Heizendstufe gebracht; heiß, Grad III; nimm hiervon die erste erhitzte Drogenfraktion; heiß, Grad II; vollständig getrocknet; Holzstoff	drei Dosen Saatgutzubereitung abkühlen und trocknen; drei Dosen Feuchtansatz; Ansatz auf mittlerer Kühlstufe abgeschlossen; bis zur Heizendstufe gebracht; heiß, Grad III; nimm hiervon die erste erhitzte Drogenfraktion; heiß, Grad II; vollständig getrocknet; Holzstoff	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f106v	f106v.35	qokcho	erhitze, trockne und setze an	erhitze, trockne und setze an	PRODUCTIVE_COMPOUND	QO_COMMAND+K_HOT+CH_DRY+O_PREP	heiß getrockneten Ansatz bereiten	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	shody shockhy qokeey qokcho l kchedy shdy kchedy chedy qockhey okaiin al	vollständig eingeweichter Ansatz; Arzneikompositum im Feuchtansatz am Gradanfang; bis zur Heizendstufe; heiß-trockenes Drogenmaterial; heiß und bis zur mittleren Trockenstufe gebracht; leicht angefeuchtet, abgeschlossen; heiß und bis zur mittleren Trockenstufe gebracht; bis zur mittleren Trockenstufe gebracht; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; Ansatz auf Heizstufe III; Rohstoff I	vollständig eingeweichter Ansatz; Arzneikompositum im Feuchtansatz am Gradanfang; bis zur Heizendstufe; heiß-trockenes Drogenmaterial; heiß und bis zur mittleren Trockenstufe gebracht; leicht angefeuchtet, abgeschlossen; heiß und bis zur mittleren Trockenstufe gebracht; bis zur mittleren Trockenstufe gebracht; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; Ansatz auf Heizstufe III; Rohstoff I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f107v	f107v.10	qokair	erhitze die zweite Fraktion	erhitze die zweite Fraktion	PRODUCTIVE_COMPOUND	QO_COMMAND+K_HOT+AIR_FRACTION_II	nimm die zweite erhitzte Fraktion	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	shodaiin shey qokair qokaiin chokedy tain shedy	drei Dosen Feuchtansatz; bis zur mittleren Einweichstufe; [qokair:?]; heiß, Grad III; heiß-trockener Ansatz in der Gradmitte, abgeschlossen; kalt, Grad II; bis zur mittleren Einweichstufe gebracht	drei Dosen Feuchtansatz; bis zur mittleren Einweichstufe; erhitze die zweite Fraktion; heiß, Grad III; heiß-trockener Ansatz in der Gradmitte, abgeschlossen; kalt, Grad II; bis zur mittleren Einweichstufe gebracht	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f107v	f107v.11	qopchcfhy	nimm leicht getrocknetes Blütenpulver	nimm leicht getrocknetes Blütenpulver	PRODUCTIVE_COMPOUND	QO_COMMAND+P_POWDER+CH_DRY+F_FLOWER+Y_START_OR_CLOSE	bereite eine leicht getrocknete Blütenpulverfraktion	LOW_EXPLORATORY	NONE	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	kalt und bis zur mittleren Einweichstufe gebracht; Rohstoff I, leicht erhitzt im Ansatz; bis zur mittleren Einweichstufe gebracht; heiß und bis zur mittleren Trockenstufe; getrocknete Droge leicht erhitzen; bis zur Heizendstufe; kalt, Grad III; kaltes Zubereitungsgut; bis zur Kühlendstufe gebracht; [qopchcfhy:?]	kalt und bis zur mittleren Einweichstufe gebracht; Rohstoff I, leicht erhitzt im Ansatz; bis zur mittleren Einweichstufe gebracht; heiß und bis zur mittleren Trockenstufe; getrocknete Droge leicht erhitzen; bis zur Heizendstufe; kalt, Grad III; kaltes Zubereitungsgut; bis zur Kühlendstufe gebracht; nimm leicht getrocknetes Blütenpulver	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
