rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v44_translation_de	v44_unknown_tokens	comparison_scope
1	f100v.15	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion, vollständig getrocknet; zweite abgemessene Fraktion im Grundansatz mit trockenem Drogenstoff. Erhitze den Drogenstoff vollständig und schließe ab; dazu vollständig getrocknetes Trockengut, bis zur Mittelstufe erhitzter Drogenstoff, Trockenansatz aus kaltem Material und Saatgut.	qoolkeey bleibt die sichtbare Folge qo|ol|k|ee|y; keine Holz- oder Zusatzmenge wird hineingelesen.	Samenportion; vollständig getrocknet; abgemessene Fraktion II; Grundansatz; trockener Drogenstoff; erhitze den Drogenstoff vollständig und schließe ab; Trockengut; vollständig getrocknet; erhitze den Drogenstoff bis zur Mittelstufe; Trockenansatz aus kaltem Material; Samen-/Saatgutposten.	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
2	f102v2.23	okey okey shey okey oiees or eey	Ansatz dreimal auf mittlerer Heizstufe, dazwischen auf mittlerer Einweichstufe; vollständig bereitete Ansatzcharge der Form I mit einer Drogenportion. Endstufe abschließen.	oiees füllt die fehlende Form-I-Zelle vor Endstufe und Charge; die Portion stammt allein aus or.	Ansatz bis zur mittleren Heizstufe; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Einweichstufe; Ansatz bis zur mittleren Heizstufe; vollständig bereitete Ansatzcharge, Form I; Endstufe abschließen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
3	f105v.28	oeoar ar al odor aiil otaiin	Erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes: Drogenfraktion I aus Rohstoff I; eine Portion Ansatz abmessen; Rohstoff III, kalt im Zubereitungsrahmen auf Stufe III.	oeoar bewahrt beide Ansatzrahmen und die mittlere Stufe; odor lizenziert die Portion.	erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes; Drogenfraktion I; Rohstoff I; eine Portion Ansatz abmessen; Rohstoff III; kalt im Zubereitungsrahmen, Grad III	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
4	f107v.10	shodaiin shey qokair qokaiin chokedy tain shedy	Weiche drei Dosen Feuchtansatz bis zur Mittelstufe ein. Erhitze die zweite Fraktion auf Stufe III, trockne den heißen Ansatz bis zur Mittelstufe und schließe; kühle auf Stufe II, weiche bis zur Mittelstufe ein und schließe ab.	qokair ist der vorhersagbare Heizbefehl an Fraktion II; sämtliche Stufen bleiben sichtbar.	drei Dosen Feuchtansatz; bis zur mittleren Einweichstufe; erhitze die zweite Fraktion; heiß, Grad III; heiß-trockener Ansatz in der Gradmitte, abgeschlossen; kalt, Grad II; bis zur mittleren Einweichstufe gebracht	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
5	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Krautdroge und Pflanzenteil, dazu drei Teile Blatt-/Krautgut. Seihe den Krautdrogenstoff ab, schließe den Posten, trockne leicht, kühle auf Stufe III und feuchte leicht an.	qoctholy nutzt den bereits belegten terminalen oly-Abseihblock; kein unmarkiertes Wasser.	nimm hiervon eine bis zur Mittelstufe getrocknete Portion; Krautdroge; Pflanzenteil; Blatt-/Krautgut, Menge/Klasse III; seihe den Krautdrogenstoff ab; angetrocknet; kalt, Grad III; leicht angefeuchtet	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
6	f114v.19	o shsodaiin chotain qotar	Ansatz aus drei Dosen eingeweichter Saatgutzubereitung; Trockenansatz auf Kühlstufe II und erste kalte Drogenfraktion.	Nominale S-Zeile; shsodaiin verbindet Saatgutzubereitung, Einweichen und drei Dosen.	Ansatz mit shsodaiin; Trockenansatz auf Kühlstufe II; kalte Drogenfraktion I	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
7	f13v.3	qokchy qokod chy otchy cthody	Ansatz heiß antrocknen; anschließend erhitzen und abschließen. Nochmals leicht trocknen; kalt-trockener Ansatz auf der Anfangsstufe; fertiger Krautansatz.	qokod als Erhitzen plus terminaler Abschluss; cthody bleibt fertiger Krautansatz.	heiß und angetrocknet; erhitze den Ansatz und schließe ab; angetrocknet; kalt-trockener Ansatz am Anfang des Grades; fertiger Krautansatz	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
8	f17v.15	ychor cthy cheeky cheo otor oteol	Nimm hiervon den Pflanzenteil und die Krautdroge. Trockne vollständig und erwärme leicht nach. Trockenansatz; kalte Drogenportion im Ansatz; kühle den Drogenstoff im Ansatz bis zur Mittelstufe.	oteol als Kühlhandlung am Drogenstoff; otor lizenziert die Portion.	nimm hiervon den Pflanzenteil; Krautdroge; trocken am Gradende, dann heiß am Gradanfang; trocken angesetzte Zubereitung; kalte Drogenportion im Ansatz; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
9	f17v.19	dain chey qoaiin cthor cholchom	Nimm zwei Maße und trockne sie bis zur Mittelstufe. Nimm drei Teile einer Portion Blatt-/Krautdroge und eine Handvoll nachgetrockneten Drogenstoffs.	cholchom verwendet den terminalen om-Handvollblock; dain liefert zwei Maße und qoaiin getrennt drei Teile.	zwei Maße; bis zur mittleren Trockenstufe; nimm drei Teile; Drogenteil/-portion; Portion Blatt-/Krautdroge; eine Handvoll nachgetrockneten Drogenstoffs	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
10	f18r.6	ychy kchor dair ytol chcthy dar dar dal	Trockne hiervon leicht. Heiß-trockene Drogenportion; abgemessene zweite Fraktion. Kühle hiervon den Drogenstoff. Getrocknete Krautdroge; zweimal die erste abgemessene Fraktion; abgemessener Rohstoff I.	ychy als kurzer anaphorischer Trockenbefehl; keine zusätzliche Portion.	trockne hiervon leicht; Drogenportion, heiß-trocken; abgemessene Fraktion II; kühle hiervon den Drogenstoff ab; getrocknete Krautdroge; abgemessene Fraktion I; abgemessene Fraktion I; abgemessene Rohstoffmenge I	0	manual workshop prose versus deterministic V44 renderer; neither is confirmed plaintext
