surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
qoolkeey	erhitze den Drogenstoff vollständig und schließe ab	QO_COMMAND+OL_MATERIAL+K_HOT+EE_END+Y_START_OR_CLOSE	gib vollständig erhitzten Drogenstoff hinzu	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
oiees	vollständig bereitete Ansatzcharge, Form I	O_PREP+I_FORM_I+EE_END+S_TERM_SPECIES	vollständig bereitete Arzneispecies	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
oain	zwei Teile Ansatz	O_PREP+AIN_II	Ansatz auf Stufe II	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	11	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
olshy	Drogenstoff leicht einweichen	OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter Drogenstoff	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
ypchedy	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrocknetes Pulver dieser Zubereitung	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	12	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
oeoar	erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes	O_PREP+E_MIDDLE+O_PREP+AR_FRACTION_I	Ansatz der Mittelstufe erneut ansetzen und erste Fraktion nehmen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
sotchdaiin	drei Dosen Saatgutzubereitung abkühlen und trocknen	SO_SEED_PREP+T_COLD+CH_DRY+D_MEASURE+AIIN_III	drei Teile kalt getrocknetes Saatgut	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qokcho	erhitze, trockne und setze an	QO_COMMAND+K_HOT+CH_DRY+O_PREP	heiß getrockneten Ansatz bereiten	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	9	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qokair	erhitze die zweite Fraktion	QO_COMMAND+K_HOT+AIR_FRACTION_II	nimm die zweite erhitzte Fraktion	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	21	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qopchcfhy	nimm leicht getrocknetes Blütenpulver	QO_COMMAND+P_POWDER+CH_DRY+F_FLOWER+Y_START_OR_CLOSE	bereite eine leicht getrocknete Blütenpulverfraktion	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
folaiin	drei Teile Blütenauszug	F_FLOWER+OL_MATERIAL+AIIN_III	Blütenfraktion der dritten Stufe	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
chedain	zwei Dosen bis zur Mittelstufe getrockneter Droge	CH_DRY+E_MIDDLE+D_MEASURE+AIN_II	getrocknete Droge auf Dosisstufe II	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	17	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qoctholy	seihe den Krautdrogenstoff ab	QO_COMMAND+CTH_HERB+OLY_STRAIN_ACTION	Krautdrogenauszug abseihen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
alam	ein Maß Rohdroge I	AL_RAW_I+AM_UNIT_I	Rohdroge I in Maßeinheit I	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	10	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qotedal	kühle bis zur Mittelstufe und miss Rohdroge I ab	QO_COMMAND+T_COLD+E_MIDDLE+D_MEASURE+AL_RAW_I	abgemessene Rohdroge I der Kühlstufe Mitte	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
kechy	mäßig erhitzen, trocknen und abschließen	K_HOT+E_MIDDLE+CH_DRY+Y_START_OR_CLOSE	mäßig heiß getrocknete Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
oeedaiin	drei Dosen vollständig bereiteten Ansatzes	O_PREP+EE_END+D_MEASURE+AIIN_III	Ansatz der Endstufe in Dosis III	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qokeedain	erhitze vollständig und miss zwei Dosen ab	QO_COMMAND+K_HOT+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig erhitzter Droge	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
alchedy	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	AL_RAW_I+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrockneter Rohstoff I	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
shsodaiin	drei Dosen angefeuchteter Saatgutzubereitung	SH_MOIST+SO_SEED_PREP+D_MEASURE+AIIN_III	Saatgut im Feuchtansatz auf Dosisstufe III	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig eingeweichte und erhitzte Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	28	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
qokod	erhitze den Ansatz und schließe ab	QO_COMMAND+K_HOT+O_PREP+D_TERM_CLOSE	erhitzten Ansatz abziehen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
kald	erhitzte Rohdroge I abschließen	K_HOT+AL_RAW_I+D_TERM_CLOSE	heiße Rohdroge I abziehen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
oteol	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	O_PREP+T_COLD+E_MIDDLE+OL_MATERIAL	kalter Drogenstoff der mittleren Stufe	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	26	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V44_REPLACEABLE
