occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	reader_merge_direction	reader_merge_surface	reader_merge_readers	reader_merge_known_surface	raw_line_set_candidates	reader_merge_decision	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G667-T0001	f100r	f100r.20	1	oteol	ONLY	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	oteol	oteol	oteol	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0002	f100r	f100r.22	5	cphol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	folsho dy choldaiin fchodycheol cphol qotees shey seso alcfhy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0003	f100r	f100r.23	3	cphol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	soiin chol cphol shol shol qockhol chor chol sho keey cy ykeeam	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0004	f100r	f100r.25	5	ctheol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0005	f100v	f100v.15	6	qoolkeey	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0006	f100v	f100v.21	4	choy	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	soral okor ol choy ly araroy okar cheeeal cheokeol orey	soral okor ol choy ly araroy okar cheeeal cheokeol orey	soral okor ol choy ly araroy okar cheeeal cheokeol orey	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0007	f102r1	f102r1.16	1	ddor	BOS	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0008	f102r1	f102r1.8	6	oteol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0009	f102v1	f102v1.14	4	oteol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	chor cheor ckhey oteol aeky	chor cheor ckhey oteol aikheky	chor cheor ckhey oteol aeky	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G667-T0010	f102v1	f102v1.8	4	ctheol	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	dairn ol chey ctheol qokeor os aiin cheor qokey choky	daisn ol chey ckheol qokeor osaiin cheor qokey choky	dairn ol chey ctheol qokeor os aiin cheo r qokey choky	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
