surface	previous_working_recipe	gdt529_top1	supported_candidate_recipe	supported_candidate_roles	route_class	old_superform	old_superform_recipe	removed_visible_block	visible_block_width	visible_index	visible_position	removed_atom_block	atom_block_width	atom_index	atom_position	support_pair_count	visible_condition_total	visible_condition_option_count	conditional_probability	reliability	signature_examples	old_event_count	old_pages	old_registers	old_event_ids	old_loci
cheod	CH+E+O+D_ADDR	CH+E+O+D_ADDR	CH+E+O+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	cheodain	CH+E+O+D_ADDR+AIN	ain	3	5	RIGHT	AIN	1	4	RIGHT	20	20	1	1.000000000	0.909090909	yt>ytain | shod>shodain | chod>chodain | ok>okain | s>sain | or>orain | k>kain | shok>shokain	1	f89r	PHARMA	P1008-E1172	f89r1.23
chory	CH+OR+Y	CH+OR+Y	CH+OR+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	chorchy	CH+OR+CH+Y	ch	2	4	INNER	CH	1	2	INNER	38	67	6	0.550000000	0.950000000	otol>otchol | tey>tchey | dar>dchar | chtor>chtchor | qotol>qotchol | kaiin>kchaiin | qotor>qotchor | ykor>ykchor	2	f10r|f56r	HERBAL	P912-E0004|P912-E0343	f10r.1|f56r.1
cthdy	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	olcthdy	OL+CH+T+D_ADDR+Y	ol	2	0	LEFT	OL	1	0	LEFT	35	40	6	0.825581395	0.945945946	s>ols | dain>oldain | aiin>olaiin | ody>olody | om>olom | tchy>oltchy | chey>olchey | ol>olol	1	f81v	BIOLOGICAL	P912-E1072	f81v.23
f	LOCAL_CHAR_F	LOCAL_CHAR_F	LOCAL_CHAR_F	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	far	LOCAL_CHAR_F+AR	ar	2	1	RIGHT	AR	1	1	RIGHT	27	29	2	0.916666667	0.931034483	sh>shar | cth>cthar | che>chear | d>dar | she>shear | ot>otar | s>sar | k>kar	1	f1r	SOURCE_SECTION_T	G404-E0186	f1r.24
f	LOCAL_CHAR_F	LOCAL_CHAR_F	LOCAL_CHAR_F	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	foar	LOCAL_CHAR_F+O+AR	oar	3	1	RIGHT	O+AR	2	1	RIGHT	3	3	1	1.000000000	0.600000000	y>yoar | che>cheoar | ot>otoar	1	f24v	HERBAL	G404-E0277	f24v.12
ld	L+D_ADDR	L+D_ADDR	L+D_ADDR	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	lkeed	L+K+EE+D_ADDR	kee	3	1	INNER	K+EE	2	1	INNER	5	6	2	0.785714286	0.714285714	olchy>olkeechy | chal>chkeeal | oly>olkeey | oldy>olkeedy | ly>lkeey	1	f83r	BIOLOGICAL	P912-E1555	f83r.17
okoy	OK+O+Y	OK+O+Y	OK+O+Y	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	okchoy	OK+CH+O+Y	ch	2	2	INNER	CH	1	1	INNER	38	67	6	0.550000000	0.950000000	otol>otchol | tey>tchey | dar>dchar | chtor>chtchor | qotol>qotchol | kaiin>kchaiin | qotor>qotchor | ykor>ykchor	1	f1r	SOURCE_SECTION_T	G404-E0057	f1r.8
p	P	P	P	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	par	P+AR	ar	2	1	RIGHT	AR	1	1	RIGHT	27	29	2	0.916666667	0.931034483	sh>shar | cth>cthar | che>chear | d>dar | she>shear | ot>otar | s>sar | k>kar	2	f81r|f81v	BIOLOGICAL	G404-E0448|P912-E0858	f81r.24|f81v.1
p	P	P	P	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	pol	P+OL	ol	2	1	RIGHT	OL	1	1	RIGHT	29	33	5	0.830985915	0.935483871	sh>shol | k>kol | t>tol | ot>otol | ok>okol | cth>cthol | d>dol | yt>ytol	1	f77r	BIOLOGICAL	P1003-E0323	f77r.38
p	P	P	P	TOP1|WORKING	SUPPORTS_EXISTING_WORKING_AND_TOP1	qolp	OL+P	qol	3	0	LEFT	OL	1	0	LEFT	9	11	3	0.760000000	0.818181818	y>qoly | chey>qolchey | oin>qoloin | al>qolal | ain>qolain | aiin>qolaiin | kain>qolkain | sheedy>qolsheedy	1	f76r	BIOLOGICAL	P1008-E0472	f76r.1
