statement_order	statement_id	record_unit_id	page	loci	owner_slot	visible_card_count	visible_surface_sequence	visible_recipe_sequence	current_reading_de	whole_sign_cards	terminal_cards	style_decision	available_compact_card	style_reason_de	hypothetical_card_count_if_compact_used	visible_text_policy
1	H1-S001	H1	f10r	f10r.2	abgebildete Pflanze auf f10r	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzel; BEDINGUNGSANSATZ + BEREIT; VON_QUELLE; TEIL; AUFNAHME; LAUF_BAHN + ZUGIESSEN; FOLGEPOSTEN + FOLGETEIL; EINSETZEN + DIES_AKTUELLER_POSTEN; SOLLWERT; kleiner Rest	Beim Besitzer abgebildete Pflanze auf f10r: Wurzel => Wurzel | BEDINGUNGSANSATZ + BEREIT => den Ansatz bereitstellen | VON_QUELLE => davon | TEIL => Teil | AUFNAHME => Aufnahmegefäß | LAUF_BAHN + ZUGIESSEN => laufendes Medium zugießen | FOLGEPOSTEN + FOLGETEIL => Folgeteil | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | SOLLWERT => Sollmaß | kleiner Rest => kleiner Rest	2	0	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	10	KEEP_EXACT_VISIBLE_SEQUENCE
2	H1-S002	H1	f10r	f10r.5	abgebildete Pflanze auf f10r	4	qokchy · qotchol · chol · cthy	EINSETZEN + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; DIES_AKTUELLER_POSTEN + BEREIT	Beim Besitzer abgebildete Pflanze auf f10r: EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | WEITER_GLEICHER_LAUF + FOLGEPOSTEN => zum Folgegang wechseln | WEITER_GLEICHER_LAUF => weiter | DIES_AKTUELLER_POSTEN + BEREIT => bereit	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	4	KEEP_EXACT_VISIBLE_SEQUENCE
3	H2-S001	H2	f10r	f10r.6	abgebildete Pflanze auf f10r	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	BEDINGUNGSANSATZ + AUSZUG; DIES_AKTUELLER_POSTEN + BEREIT; BEDINGUNGSANSATZ; SOLLWERT + BEREIT; WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; SOLLWERT; DIES_AKTUELLER_POSTEN	Beim Besitzer abgebildete Pflanze auf f10r: BEDINGUNGSANSATZ + AUSZUG => aktueller Auszugsansatz | DIES_AKTUELLER_POSTEN + BEREIT => bereit | BEDINGUNGSANSATZ => Ansatz | SOLLWERT + BEREIT => die Sollvorbereitung setzen | WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => danach mit diesem Posten weiter | DIES_AKTUELLER_POSTEN => dies | DIES_AKTUELLER_POSTEN => dies | SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN => dies	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	9	KEEP_EXACT_VISIBLE_SEQUENCE
4	H2-S002	H2	f10r	f10r.8	abgebildete Pflanze auf f10r	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	FOLGEPOSTEN + BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; SOLLWERT; VON_QUELLE	Beim Besitzer abgebildete Pflanze auf f10r: FOLGEPOSTEN + BEDINGUNGSANSATZ => Folgeansatz | BEDINGUNGSANSATZ => Ansatz | WEITER_GLEICHER_LAUF + FOLGEPOSTEN => danach im selben Gang weiter | WEITER_GLEICHER_LAUF => weiter | WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ => derselbe Ansatz | WEITER_GLEICHER_LAUF => weiter | SOLLWERT => Sollmaß | VON_QUELLE => davon	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	8	KEEP_EXACT_VISIBLE_SEQUENCE
5	H2-S003	H2	f10r	f10r.9	abgebildete Pflanze auf f10r	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	BEDINGUNGSANSATZ + GEFAESS; BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; STUFE + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT + EINGABE	Beim Besitzer abgebildete Pflanze auf f10r: BEDINGUNGSANSATZ + GEFAESS => Gefäß für den Ansatz | BEDINGUNGSANSATZ => Ansatz | BEDINGUNGSANSATZ => Ansatz | DIES_AKTUELLER_POSTEN => dies | STUFE + ARGUMENTBINDER => die Arbeitsstufe setzen | DIES_AKTUELLER_POSTEN => dies | SOLLWERT + EINGABE => Zugabemaß	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	7	KEEP_EXACT_VISIBLE_SEQUENCE
6	H3-S001	H3	f11r	f11r.1	abgebildete Pflanze auf f11r	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Kochgut; Sudansatz; auswringen; SOLLWERT + STEHZEIT; nachseihen; Klarlauf; kalt stellen; Schluss	Beim Besitzer abgebildete Pflanze auf f11r: Kochgut => Kochgut | Sudansatz => Sudansatz | auswringen => auswringen | SOLLWERT + STEHZEIT => eine vorgeschriebene Stehzeit einhalten | nachseihen => nachseihen | Klarlauf => Klarlauf | kalt stellen; Schluss => kalt stellen; Schluss	6	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME	NONE	A learned payload or nomenclator card must remain distinct from the surrounding instruction slots.	7	KEEP_EXACT_VISIBLE_SEQUENCE
7	H3-S002	H3	f11r	f11r.1	abgebildete Pflanze auf f11r	1	shoyty	FOLGETEIL	Beim Besitzer abgebildete Pflanze auf f11r: FOLGETEIL => Zugabeteil	0	0	SINGLE_CARD_ALREADY_COMPACT	shoyty	One registered card already carries the entire statement scope.	1	KEEP_EXACT_VISIBLE_SEQUENCE
8	H3-S003	H3	f11r	f11r.4	abgebildete Pflanze auf f11r	5	dchol · chy · kchy · dy · daiin	VORIGER; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT	Beim Besitzer abgebildete Pflanze auf f11r: VORIGER => vom vorigen Arbeitsgang nehmen | DIES_AKTUELLER_POSTEN => dies | DIES_AKTUELLER_POSTEN + ARGUMENTBINDER => den laufenden Posten bearbeiten | DIES_AKTUELLER_POSTEN => dies | SOLLWERT => Sollmaß	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	5	KEEP_EXACT_VISIBLE_SEQUENCE
9	H3-S004	H3	f11r	f11r.7	abgebildete Pflanze auf f11r	4	qotchy · okchol · cthy · dy	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; EINSETZEN; DIES_AKTUELLER_POSTEN + BEREIT; DIES_AKTUELLER_POSTEN	Beim Besitzer abgebildete Pflanze auf f11r: FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => zum nächsten Posten wechseln | EINSETZEN => die Fortsetzung einsetzen | DIES_AKTUELLER_POSTEN + BEREIT => bereit | DIES_AKTUELLER_POSTEN => dies	0	0	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION	NONE	The open phrase carries several ordered slots or worksteps and has no exact one-card equivalent.	4	KEEP_EXACT_VISIBLE_SEQUENCE
10	H4-S001	H4	f55v	f55v.5	abgebildete Pflanze auf f55v	5	qokaiin · chaiin · ykain · ykan · ody	EINSETZEN + SOLLWERT; SOLLWERT; PORTION; ZWEITE_PORTION; FESTSETZEN + ZURUECKNEHMEN	Beim Besitzer abgebildete Pflanze auf f55v: EINSETZEN + SOLLWERT => bemessen | SOLLWERT => Sollmaß | PORTION => erste Portion | ZWEITE_PORTION => zweite Portion | FESTSETZEN + ZURUECKNEHMEN => aus der Wärme nehmen und abkühlen; Schluss; Arbeitsschritt festsetzen	0	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE	NONE	The final operation/commit closes only its own workstep; fusing earlier cards would blur scope.	5	KEEP_EXACT_VISIBLE_SEQUENCE
