record_unit_id	page	statements	visible_cards	single_card_statements	compact_alternatives	payload_frame_retained	process_commit_retained	open_multi_slot_retained	dominant_style
B1	f81v	21	66	8	1	4	6	2	SINGLE_CARD_ALREADY_COMPACT
B2	f82r	22	62	11	0	3	7	1	SINGLE_CARD_ALREADY_COMPACT
B3	f83r	34	86	15	0	0	17	2	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE
B4	f83r	16	47	7	1	3	5	0	SINGLE_CARD_ALREADY_COMPACT
B5	f83r	3	11	2	0	0	0	1	SINGLE_CARD_ALREADY_COMPACT
B6	f83r	1	9	0	0	1	0	0	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME
H1	f10r	2	14	0	0	1	0	1	RETAIN_LEARNED_PAYLOAD_WITH_ITS_FRAME
H2	f10r	3	24	0	0	0	0	3	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION
H3	f11r	4	17	1	0	1	0	2	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION
H4	f55v	4	18	0	0	1	2	1	RETAIN_PROCESS_SEQUENCE_AND_COMMIT_SCOPE
H5	f56r	6	27	0	0	3	0	3	RETAIN_OPEN_MULTI_SLOT_INSTRUCTION
