global_group_serial	source_kind	register	unit_id	page	local_serial	locus	field_or_address	statement_or_station	exact_identity	surface_display_only	formal_control	mnemonic_or_status	structural_status	iatromedical_content_class	IATROMEDICAL_SIMPLE_BATH_ELECTION	practical_content_class	PRACTICAL_MATERIAL_PROCESS_SCHEDULE	content_preference	content_status	roundtrip_status
1	PROSE_EXACT_CARD	HERBAL	H1	f10r	1	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	MATERIAL	Vom abgebildeten Wurzelkraut. Grabe den unteren Wurzelstock	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
2	PROSE_EXACT_CARD	HERBAL	H1	f10r	2	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:säubere ihn]	MATERIAL	aus, klopfe Erde ab, wasche ihn zweimal	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
3	PROSE_EXACT_CARD	HERBAL	H1	f10r	3	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	MATERIAL	und schneide ihn in dünne Stücke. Lege	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
4	PROSE_EXACT_CARD	HERBAL	H1	f10r	4	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:zerschneide ihn]	MATERIAL	die Stücke in Regenwasser mit einer	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
5	PROSE_EXACT_CARD	HERBAL	H1	f10r	5	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:gib ihn in den Brennhafen]	MATERIAL	kleinen Portion Holzasche, erwärme den Topf gelinde	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
6	PROSE_EXACT_CARD	HERBAL	H1	f10r	6	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:füge Quellwasser hinzu]	MATERIAL	und lasse den Ansatz über Nacht stehen.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
7	PROSE_EXACT_CARD	HERBAL	H1	f10r	7	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:fange den ersten Lauf im Glas auf]	MATERIAL	Ziehe den ersten klaren Lauf durch Leinwand	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
8	PROSE_EXACT_CARD	HERBAL	H1	f10r	8	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	NONE	ANWENDEN?	UNIQUE_EXACT	SIMPLE	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	MATERIAL	ab, miss ihn nach dem örtlichen Werkstattmaß	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
9	PROSE_EXACT_CARD	HERBAL	H1	f10r	9	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	VORGABEPARAMETER?	MASS?	UNIQUE_CONVERGENT_CHANNELS	SIMPLE	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MATERIAL	und prüfe ihn an einem alten Leinenrest.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
10	PROSE_EXACT_CARD	HERBAL	H1	f10r	10	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	NONE	UNKNOWN_EXEMPLAR	UNPARSED_EXEMPLAR	SIMPLE	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	MATERIAL	Verwende die milde Portion zum Scheuern hölzerner	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	PASS_EXACT_PROSE_ID_AND_CONTEXT
