group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display_only	local_formal_role	iatromedical_local_text	practical_local_text	orientation_status	f68_f69_mapping	semantic_ceiling
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	COLUMN_KEY	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 1: Widder; Körperbezirk: Kopf und	Termin-/Sektorspalte C01 wählen; Fragment 01 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
2	A1	f67r2	f67r2.1	2	A1:G002	s	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Gesicht; bei Mond in diesem Zeichen den Bezirk	Termin-/Sektorspalte C01 wählen; Fragment 02 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
3	A1	f67r2	f67r2.1	3	A1:G003	aram	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C01 wählen; Fragment 03 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	COLUMN_KEY	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 2: Stier; Körperbezirk: Hals und	Termin-/Sektorspalte C02 wählen; Fragment 01 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
5	A1	f67r2	f67r2.2	2	A1:G005	ols	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Kehle; bei Mond in diesem Zeichen den Bezirk	Termin-/Sektorspalte C02 wählen; Fragment 02 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C02 wählen; Fragment 03 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
7	A1	f67r2	f67r2.3	1	A1:G007	ey	COLUMN_KEY	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 3: Zwillinge; Körperbezirk: Schultern, Arme	Termin-/Sektorspalte C03 wählen; Fragment 01 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
8	A1	f67r2	f67r2.3	2	A1:G008	shs	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] und Hände; bei Mond in diesem Zeichen den	Termin-/Sektorspalte C03 wählen; Fragment 02 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
9	A1	f67r2	f67r2.3	3	A1:G009	okar	COLUMN_DESCRIPTOR_FRAGMENT	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] Bezirk schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C03 wählen; Fragment 03 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	COLUMN_KEY	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 4: Krebs; Körperbezirk: Brust und Brüste; bei Mond in	Termin-/Sektorspalte C04 wählen; Fragment 01 als opaken Merker bewahren	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	PAGE_LOCAL_EXEMPLAR_NOT_WORD_OR_PROSE_CARD
