group_serial	page	unit_id	locus	event_index	source_event_serial	astro_local_group_identity	surface_ZL3b	locus_role	inventory_item	formal_value	mnemonic	iatromedical_content_class	IATROMEDICAL_ELECTION	practical_content_class	PRACTICAL_SCHEDULE	content_preference	external_label_status	rotation_start_status	direct_f68_f69_mapping	content_status
1	f67r2	A1	f67r2.1	1	11841	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.1::1::11841	ykshy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 1: Widder; Körperbezirk: Kopf und	SCHEDULE	Dies ist die Wochen- und Qualitätstafel	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
2	f67r2	A1	f67r2.1	2	11842	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.1::2::11842	s	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Gesicht; bei Mond in diesem Zeichen den Bezirk	SCHEDULE	des Pflanzen-, Wasch- und Badhausbetriebs. Wähle	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
3	f67r2	A1	f67r2.1	3	11843	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.1::3::11843	aram	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z01	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	zuerst einen der sieben Werkstatttage, danach	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
4	f67r2	A1	f67r2.2	1	11844	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.2::1::11844	ykecho	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 2: Stier; Körperbezirk: Hals und	SCHEDULE	eine der zwölf Arbeitsklassen und prüfe,	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
5	f67r2	A1	f67r2.2	2	11845	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.2::2::11845	ols	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Kehle; bei Mond in diesem Zeichen den Bezirk	SCHEDULE	ob Material, Wasser und Feuer die	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
6	f67r2	A1	f67r2.2	3	11846	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.2::3::11846	eesydy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z02	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	Arbeit erlauben. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
7	f67r2	A1	f67r2.3	1	11847	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.3::1::11847	ey	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 3: Zwillinge; Körperbezirk: Schultern, Arme	SCHEDULE	für die Wurzelernte Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
8	f67r2	A1	f67r2.3	2	11848	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.3::2::11848	shs	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] und Hände; bei Mond in diesem Zeichen den	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
9	f67r2	A1	f67r2.3	3	11849	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.3::3::11849	okar	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z03	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] Bezirk schonen und dort keinen starken Eingriff vornehmen.	SCHEDULE	für die Blütenernte Materialbestand, Wasserqualität und	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
10	f67r2	A1	f67r2.4	1	11850	ASTRO_LOCAL_ADDRESS::f67r2::f67r2.4::1::11850	shekchy	ZODIAC_BODY_SECTOR_LOCAL_EXEMPLAR	Z04	PAGE_LOCAL_ASTRO_ADDRESS_ONLY; NO_PROSE_FORMAL_IMPORT	NOT_APPLICABLE_ASTRO	ELECTION	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 4: Krebs; Körperbezirk: Brust und Brüste; bei Mond in	SCHEDULE	freie Feuerstelle. Am ersten Werkstatttag prüfe	COEQUAL	EXTERNAL_LOCAL_EXEMPLAR_LABEL_NOT_VOYNICH_READING	EDITORIAL_SOURCE_LOCUS_ORDER; AUTHORIAL_START_AND_DIRECTION_UNPROVEN	NONE	BOTH_PAGE_LOCAL_EXEMPLARS; NO_PORTABLE_CARD_VALUE
