event_serial	page	locus	record_unit_id	field_id	statement_id	joint_tuple_id	surface_display_only	formal_formula_opaque	terminal_status	strict_formal_prompt	selected_exact_mnemonic	event_template	parse_status	iatromedical_source_segment	practical_source_segment	content_relation	semantic_ceiling
1	f10r	f10r.2	H1	F001	H1-S001	65f320e75510b2f38182	dchey	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
2	f10r	f10r.2	H1	F001	H1-S001	dedc383b600397a301ee	cthoor	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:säubere ihn]	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
3	f10r	f10r.2	H1	F001	H1-S001	4d4559019a961b834aa1	char	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
4	f10r	f10r.2	H1	F001	H1-S001	80ebbbbf238eee9f0aef	chty	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:zerschneide ihn]	LOCAL[beschädigte Fasern aussortieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
5	f10r	f10r.2	H1	F001	H1-S001	df1098831679a8ad1b39	os	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:gib ihn in den Brennhafen]	LOCAL[sauberen Wurzelstock grob schneiden]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
6	f10r	f10r.2	H1	F001	H1-S001	12efe866f335461823a6	chair	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:füge Quellwasser hinzu]	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
7	f10r	f10r.2	H1	F001	H1-S001	62ff059766b21c7de083	otytchol	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:fange den ersten Lauf im Glas auf]	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
8	f10r	f10r.2	H1	F001	H1-S001	276a7c2d74d1143446f4	oky	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANWENDEN?	ACTION_APPLY	UNIQUE_EXACT	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
9	f10r	f10r.2	H1	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
10	f10r	f10r.2	H1	F001	H1-S001	a6939862e33ece5a0483	etyd	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL[trockenen Rest als H1-R02 verwahren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
11	f10r	f10r.5	H1	F002	H1-S002	9ad66e67803a12e745de	qokchy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:nimm den frischen ersten Lauf]	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
12	f10r	f10r.5	H1	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	FRAME_OT(OPAQUE_PAYLOAD)	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:erwärme ihn gelinde]	LOCAL[zweiten Auszug gelinde erwärmen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
13	f10r	f10r.5	H1	F002	H1-S002	dcda95c81a5460feb191	chol	FRAME_O(LINK)	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen]	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
14	f10r	f10r.5	H1	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	OPAQUE_PAYLOAD	NONCLOSE	NONE	BEREIT?	STATE_GATE	UNIQUE_EXACT	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
15	f10r	f10r.6	H2	F003	H2-S001	7249edc4df3419c26999	ycheor	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze]	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
16	f10r	f10r.6	H2	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	OPAQUE_PAYLOAD	NONCLOSE	NONE	BEREIT?	STATE_GATE	UNIQUE_EXACT	[CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen]	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
17	f10r	f10r.6	H2	F003	H2-S001	7a4bb8136330ee4e6e56	chor	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	[CARD:ANSATZ?] [REGISTER:H2:I001 als frischen Ansatz führen]	ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
18	f10r	f10r.6	H2	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	OPAQUE_PAYLOAD + <ARG_AIIN>	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:zerstoße das Kraut]	LOCAL[Stängel und obere Blätter grob quetschen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
19	f10r	f10r.6	H2	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:presse den Saft durch ein Tuch]	LOCAL[austretende Pflanzenflüssigkeit auffangen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
20	f10r	f10r.6	H2	F003	H2-S001	b921a237be883a820352	dy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[EXEMPLAR:fange die erste Fraktion auf]	LOCAL[Pressgut mit Wasser nachziehen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
21	f10r	f10r.6	H2	F003	H2-S001	b921a237be883a820352	chy	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	[GENRE:gib Olivenöl hinzu]	LOCAL[beide Flüssigkeiten zusammenführen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
22	f10r	f10r.6	H2	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	OPAQUE_PAYLOAD	NONCLOSE	NONE	MASS?	PARAMETER_ASSIGN	UNIQUE_EXACT	[CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß]	MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge für H2-P01 buchen]	COEQUAL_LOCAL_EDITIONS	EXACT_ID_FORMAL_MNEMONIC_LOCAL_EXPANSION_SEPARATE
