scope	unit_id	layer	uncertainty_or_contradiction	strongest_rival_or_counterpressure	release_action	status
GLOBAL	ALL	LEXICON	Confirmed historical lexemes and plaintext clauses are zero.	All short values are creative prompts.	Keep question marks and UNKNOWN_EXEMPLAR.	OPEN_FINAL
GLOBAL	ALL	IDENTITY	Exact joint tuples are executable identities, not proven words.	A tuple can be a code state, formula card or copied exemplar address.	Never segment by surface or PAGE_HOST.	FROZEN
GLOBAL	ALL	CONTROL_DECK	Only 119/381 events have mnemonic or formal control; 262 are EXEMPLAR_ONLY.	Formal preservation does not establish source semantics.	No posthoc gloss for the tail.	FROZEN
GLOBAL	ALL	REGISTER	Four anonymous registers are minimal only for the selected creative clauses.	Pure form copying needs no semantic register.	Keep IDs record-local and never as card meanings.	OPEN_FINAL
GLOBAL	ALL	LAYOUT	A physical line is not a sentence; 18 statements cross loci.	Some carries may be repetition or scribal repair.	Use the selected 116-statement map and retain alternatives.	FROZEN
GLOBAL	ALL	CLOSURE	Terminal families are formally real but their individual lexical actions remain confounded.	SPÜLEN?/ABLASSEN? may be anonymous terminal steps.	Close commits fields and supplies no silent object.	OPEN_FINAL
GLOBAL	ALL	CONTENT	Iatromedical and practical editions reach parity.	No exact card discriminates SIMPLE/BATH/ELECTION from MATERIAL/PROCESS/SCHEDULE.	Publish both columns coequally.	FINAL_COEQUAL
GLOBAL	A1-A3	ASTRO	All 395 meanings are page-local exemplars; start and rotation remain unproven.	Generic lookup and historical astrology both fit topology.	No prose import and no portable surface gloss.	FROZEN
GLOBAL	A2/A3	CROSS_PAGE	No visible f68r1-to-f69v key exists.	An external user could know a relation not written here.	Do not join the pages.	FROZEN
GLOBAL	ALL	ROUNDTRIP	776/776 content roundtrips require the master exemplar; surface alone recovers 0/776 full intentions.	The same machine carries unrelated content worlds.	Treat roundtrip as preservation, not decipherment evidence.	FINAL
UNIT	H1	CONTENT_FORK	Krankheit, Einnahme und Dosis sind nicht sichtbar und nicht Kartenwerte.	Die aufwendige Pflanzenillustration und Wurzelgliederung passen unmittelbarer zu einem Arzneiherbal als zu einem Scheuermittelregister.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	H2	CONTENT_FORK	Geschwür, Schwellung und Salbenzweck stammen vollständig aus dem medizinischen Exemplar.	Die zweifache Produktgabel Farbe plus Holz-/Lederpaste ist produktreicher und annahmelastiger als ein einziger medizinischer Salbenartikel.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	H3	CONTENT_FORK	Gemüt, Brust und Auge sind drei nicht sichtbare medizinische Zielergänzungen.	Die Lesung benötigt eine nicht sichtbare Duftqualität und drei verschiedene Gebrauchsgegenstände.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
UNIT	H4	CONTENT_FORK	Wunde und Körperstelle sind nicht abgebildet; die Flüssig-/Feststoffgabel bleibt technisch lesbar.	Honig als Holz- oder Lederbinder ist schwächer als als medizinischer Salbenträger, und kein repariertes Objekt ist abgebildet.	Retain both complete local texts; no dictionary feedback.	COEQUAL_LOCAL_DEFAULTS
