statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	constituent_loci	physical_line_count	internal_cross_line_boundaries	event_count	event_serials	exact_card_sequence	closure_sequence	entry_boundary_class	exit_boundary_class	ordered_template_sequence	parse_status	recognized_event_count	exemplar_only_event_count	record_reset_status	pre_state	owner_active_target_previous_operations	inferred_missing_slots	operation_trace	post_state	backward_from_full_transition_log	backward_from_post_state_only	iatromedical_statement_exemplar	practical_statement_exemplar	domain_selection	complete_source_recovery_without_exemplar	formal_roundtrip	strongest_segmentation_rival	semantic_contract
H1-S001	H1	f10r	1	F001	f10r.2	1	NONE	10	1|2|3|4|5|6|7|8|9|10	65f320e75510b2f38182|dedc383b600397a301ee|4d4559019a961b834aa1|80ebbbbf238eee9f0aef|df1098831679a8ad1b39|12efe866f335461823a6|62ff059766b21c7de083|276a7c2d74d1143446f4|2f1c5e56e8f0ff459065|a6939862e33ece5a0483	F001:OPEN	RECORD_START	RESUME_ACTIVE_ITEM	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > ACTION_APPLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	2	8	PASS_RESET_AT_RECORD_START	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE/INTRODUCE/INTRODUCE/INTRODUCE	ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER:INTRODUCE(H1:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H1:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H1:I002;LOCAL_RETAINED_PART) -> TARGET/STATION:INTRODUCE_INFERRED(H1:T001;TARGET_SENSITIVE_ACTION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	YES	NO	[IMAGE:unterer Wurzelstock des Teufelsabbisses] ; [GENRE:säubere ihn] ; [REGISTER:H1:I001 als derselbe Arbeitsansatz] ; [GENRE:zerschneide ihn] ; [GENRE:gib ihn in den Brennhafen] ; [GENRE:füge Quellwasser hinzu] ; [GENRE:fange den ersten Lauf im Glas auf] ; [CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich] ; [CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß] ; [GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen] ; LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen] ; LOCAL[Erde und Fremdstoff mit Wasser abwaschen] ; LOCAL[beschädigte Fasern aussortieren] ; LOCAL[sauberen Wurzelstock grob schneiden] ; LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken] ; LOCAL[Auszug umrühren und eine Prüfportion abnehmen] ; ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01] ; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen] ; LOCAL[trockenen Rest als H1-R02 verwahren]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H1-S002	H1	f10r	2	F002	f10r.5	1	NONE	4	11|12|13|14	9ad66e67803a12e745de|e8a6105b5c3a6220b440|dcda95c81a5460feb191|e0b630cb1b5df5e7105b	F002:OPEN	RESUME_ACTIVE_ITEM	RECORD_END	EXEMPLAR_ONLY > EXEMPLAR_ONLY > LINK_ACTIVE > STATE_GATE	AMBIGUOUS	2	2	WITHIN_RECORD_TRANSITION	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CARRY/RESUME/CARRY/RESUME	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER:CARRY(H1:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H1:I001) -> TARGET/STATION:CARRY(H1:T001) -> PREVIOUS_ITEM:CARRY(H1:I002) -> PREVIOUS_ITEM:RESUME(H1:I002;LOCAL_FILLER)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	YES	NO	[EXEMPLAR:nimm den frischen ersten Lauf] ; [GENRE:erwärme ihn gelinde] ; [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen] ; [CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen] ; LOCAL[zweiten Auszug gelinde erwärmen] ; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen] ; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.; NONMEDICAL=als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H2-S001	H2	f10r	1	F003	f10r.6	1	NONE	9	15|16|17|18|19|20|21|22|23	7249edc4df3419c26999|e0b630cb1b5df5e7105b|7a4bb8136330ee4e6e56|f3c23f42baf625639e1e|af816c04e65874a0f2fa|b921a237be883a820352|b921a237be883a820352|2f1c5e56e8f0ff459065|b921a237be883a820352	F003:OPEN	RECORD_START	RESUME_ACTIVE_ITEM	EXEMPLAR_ONLY > STATE_GATE > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	3	6	PASS_RESET_AT_RECORD_START	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE/INTRODUCE/RESET/RESET	NONE	OWNER:INTRODUCE(H2:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	YES	YES	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze] ; [CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen] ; [CARD:ANSATZ?] [REGISTER:H2:I001 als frischen Ansatz führen] ; [GENRE:zerstoße das Kraut] ; [GENRE:presse den Saft durch ein Tuch] ; [EXEMPLAR:fange die erste Fraktion auf] ; [GENRE:gib Olivenöl hinzu] ; [CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß] ; [GENRE:erwärme gelinde]	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen] ; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren] ; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[gepresste Arbeitsflüssigkeit H2-P01 als aktiven Ansatz führen] ; LOCAL[Stängel und obere Blätter grob quetschen] ; LOCAL[austretende Pflanzenflüssigkeit auffangen] ; LOCAL[Pressgut mit Wasser nachziehen] ; LOCAL[beide Flüssigkeiten zusammenführen] ; MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge für H2-P01 buchen] ; LOCAL[Pressrückstand als Nebenfraktion H2-R02 markieren]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H2-S002	H2	f10r	2	F004	f10r.8	1	NONE	8	24|25|26|27|28|29|30|31	10488b911aae52b3b334|7a4bb8136330ee4e6e56|497cbd9c7401810ff56b|dcda95c81a5460feb191|dec401773c1f0347793d|dcda95c81a5460feb191|2f1c5e56e8f0ff459065|4d4559019a961b834aa1	F004:OPEN	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	5	3	WITHIN_RECORD_TRANSITION	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CARRY/RESUME/CARRY/RESUME	OWNER | PREVIOUS_ITEM	OWNER:CARRY(H2:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H2:I001) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(UNSET) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?) -> PREVIOUS_ITEM:INTRODUCE_INFERRED(H2:I002;VORIGES?) -> ACTIVE_ITEM/PREPARATION:RESUME_FROM_PREVIOUS(H2:I002;VORIGES?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	YES	NO	[IMAGE:nimm vor voller Blüte eine zweite Portion der Spitzen] ; [CARD:ANSATZ?] [REGISTER:H2:I001 fortführen] ; [EXEMPLAR:eine Handvoll] ; [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I001 fortführen] ; [CARD:VORIGES?] [REGISTER:H2:I001 als vorigen Posten aufnehmen] ; [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H2:I002 führen] ; [CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:ein gleiches örtliches Maß] ; [GENRE:verbinde beide Fraktionen]	LOCAL[frühe Erntefraktion H2-R03 eröffnen] ; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P01 als aktiven Ansatz ansprechen] ; LOCAL[eine Teilmenge H2-R03 in ein Vergleichsgefäß geben] ; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen] ; VORIGES?=vorige Charge wieder aufnehmen ; LOCAL[vorige Charge H2-P01 wieder aufnehmen] ; AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[diese vorige Charge an Vergleich H2-P02 verknüpfen] ; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge für H2-P02 buchen] ; LOCAL[frühe Fraktion vollständig mazerieren]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.; NONMEDICAL=ausziehen [Ganzfeldexemplar H2, Feld 2/3]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H2-S003	H2	f10r	3	F005	f10r.9	1	NONE	7	32|33|34|35|36|37|38	27d97af8c96eb056c2e6|7a4bb8136330ee4e6e56|7a4bb8136330ee4e6e56|b921a237be883a820352|409de02322e7b2ca0c62|b921a237be883a820352|834825c61d048a6b5628	F005:OPEN	NEXT_PARALLEL_CELL	RECORD_END	EXEMPLAR_ONLY > LINK_ACTIVE > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	2	5	WITHIN_RECORD_TRANSITION	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	CARRY/INTRODUCE/RESET/INTRODUCE	OWNER	OWNER:CARRY(H2:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H2:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	YES	NO	[GENRE:gib die Fraktionen in ein glasiertes Gefäß] ; [CARD:ANSATZ?] [REGISTER:H2:I003 als Salbenansatz führen] ; [CARD:ANSATZ?] [REGISTER:H2:I003 wiederholt; Slotkonflikt bleibt sichtbar] ; [GENRE:rühre bei kleinem Feuer] ; [EXEMPLAR:bis eine weiche Salbe entsteht] ; [GENRE:bewahre sie bedeckt] ; [GENRE:lege sie äußerlich auf ein Geschwür oder eine harte Schwellung]	LOCAL[späte Erntefraktion H2-R04 eröffnen] ; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[H2-P02 als ersten aktiven Ansatz führen] ; ANSATZ?=aktiven Arbeitsansatz aufnehmen ; LOCAL[späte Teilcharge H2-P03 als zweiten aktiven Ansatz führen] ; LOCAL[beide Ernteauszüge in getrennten Gefäßen umrühren] ; LOCAL[beide durch dasselbe Tuch seihen] ; LOCAL[Farbe und Bodensatz als Vergleichsmerkmale notieren] ; LOCAL[Vergleichspaar H2-P02/H2-P03 verschlossen lagern]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=CONTINUE_SAME_CLAUSE: beide OPEN-Felder könnten eine einzige lange Ernte-/Zubereitungsanweisung sein.; NONMEDICAL=mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H3-S001	H3	f11r	1	F006	f11r.1	1	NONE	7	39|40|41|42|43|44|45	953ad19b79517fc8a211|428a5e3662aa57b4b256|bdad9f9ea8b80f141496|a8af08e69edab8e54f15|deb377381ceaf55ea310|b5df9126607030b95175|2e2027b1951d79911e24	F006:TERMINAL	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > STATE_GATE > EXEMPLAR_ONLY	AMBIGUOUS	1	6	PASS_RESET_AT_RECORD_START	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE/INTRODUCE/INTRODUCE/RESET	ACTIVE_ITEM/PREPARATION	OWNER:INTRODUCE(H3:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(H3:T001;LOCAL_SHADOW_PLACE) -> TARGET/STATION:INTRODUCE(H3:T002;LOCAL_CLOTH)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	YES	NO	[IMAGE:Blüten und junge Blätter des Duftveilchens] [GENRE:im ersten Frühjahr nehmen] ; [GENRE:in reinem Wein kochen] ; [GENRE:durch ein feines Tuch wringen] ; [GENRE:den Auszug stehen lassen] ; [GENRE:nochmals seihen] ; [CARD:KLAR?] [EXEMPLAR:bis zum örtlich geprüften klaren Zustand] ; [FORMAL:CLOSE; keine Wortbedeutung] [GENRE:abkühlen lassen]	LOCAL[Bildbesitzer H3 als Blüten-Kraut-Los H3-R01 eröffnen] ; LOCAL[junge oberirdische Teile sammeln] ; LOCAL[Blütenköpfe und Blätter in zwei Schalen sortieren] ; LOCAL[Krautfraktion quetschen und in Wasser mazerieren] ; LOCAL[Auszug zuerst grob, dann durch Tuch seihen] ; KLAR?=Klarzustand der aktiven Charge prüfen ; LOCAL[Klarheitszustand des Filtrats H3-P01 prüfen] ; LOCAL[klares Filtrat absetzen lassen und Feld schließen]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H3-S002	H3	f11r	2	F007	f11r.1	1	NONE	1	46	577c03a928d674d420d7	F007:OPEN	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	EXEMPLAR_ONLY	UNPARSED	0	1	WITHIN_RECORD_TRANSITION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	CARRY/CARRY/CARRY/INTRODUCE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H3:I002;LOCAL_RETAINED_PART)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	YES	YES	[EXEMPLAR:behalte einen Teil der frischen Blüten für die zweite Arznei zurück]	LOCAL[einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=ausziehen [Ganzfeldexemplar H3, Feld 2/4]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H3-S003	H3	f11r	3	F008	f11r.4	1	NONE	5	47|48|49|50|51	d665560c8ff80799a82c|b921a237be883a820352|b2812c8283c3a62438bd|b921a237be883a820352|2f1c5e56e8f0ff459065	F008:OPEN	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > PARAMETER_ASSIGN	AMBIGUOUS	1	4	WITHIN_RECORD_TRANSITION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	CARRY/RESUME/INTRODUCE/CARRY	OWNER | ACTIVE_ITEM/PREPARATION	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(H3:I002) -> TARGET/STATION:INTRODUCE(H3:T003;LOCAL_MARKED_TARGET)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	YES	NO	[REGISTER:H3:I001 als erster Auszug] ; [GENRE:nimm davon] ; [GENRE:gib ihn als Trank] ; [GENRE:bei bedrücktem Gemüt und beschwerter Brust] ; [CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	LOCAL[Filtrat H3-P01 wieder aufnehmen] ; LOCAL[drei gleiche Probengläser bereitstellen] ; LOCAL[Filtrat auf die Probengläser verteilen] ; LOCAL[Farbton und Niederschlag je Glas vermerken] ; MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollmenge je Probenglas buchen]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.; NONMEDICAL=filtrieren [Ganzfeldexemplar H3, Feld 3/4]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H3-S004	H3	f11r	4	F009	f11r.7	1	NONE	4	52|53|54|55	a48efd6c4491a046ba78|322281bd391aa621f568|e0b630cb1b5df5e7105b|b921a237be883a820352	F009:OPEN	NEXT_PARALLEL_CELL	RECORD_END	EXEMPLAR_ONLY > EXEMPLAR_ONLY > STATE_GATE > EXEMPLAR_ONLY	AMBIGUOUS	1	3	WITHIN_RECORD_TRANSITION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	CARRY/INTRODUCE/RESET/INTRODUCE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER:CARRY(H3:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H3:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	YES	NO	[EXEMPLAR:nimm die zurückbehaltenen Blüten] ; [GENRE:erwärme sie in Olivenöl] ; [CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Bereitschaftszustand] ; [GENRE:streiche das Öl äußerlich um die Lider ohne das Auge zu berühren]	LOCAL[Blattfraktion H3-R03 als neue Charge eröffnen] ; LOCAL[Blätter warm in Wasser ausziehen] ; BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H3-P02 als bereit markieren] ; LOCAL[Blattauszug und Referenzblüte getrennt verwahren]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=CONTINUE_SAME_CLAUSE: F009 könnte die in F008 nur knapp bezeichnete Auflage ausführen.; NONMEDICAL=getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
H4-S001	H4	f55v	1	F010	f55v.5	1	NONE	5	56|57|58|59|60	b5fcea1eaed06b2f2291|2f1c5e56e8f0ff459065|403c1592f918c8f23b88|d929a14ec45749b2e805|97cc9ac109148723c472	F010:TERMINAL	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	PARAMETER_ASSIGN > PARAMETER_ASSIGN > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	2	3	PASS_RESET_AT_RECORD_START	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE/INTRODUCE/RESET/RESET	ACTIVE_ITEM/PREPARATION	OWNER:INTRODUCE(H4:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H4:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	YES	YES	[FORMAL:STANDARDSLOT_SETZEN; keine Wortbedeutung] [EXEMPLAR:setze den ersten Posten an] ; [CARD:MASS?] [EXEMPLAR:ein örtlich vorgeschriebenes Maß] ; [IMAGE:breite Bärlauchblätter] [GENRE:zerstoße sie] ; [GENRE:füge Weißwein hinzu] ; [FORMAL:CLOSE; keine Wortbedeutung] [GENRE:verschließe das Gefäß und lasse es kühl stehen]	STANDARDSLOT_SETZEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formalen Standardslot für Blattposten H4-R01 setzen] ; MASS?=vorgesehenen Mengenwert buchen ; LOCAL[Sollmenge frischer breiter Blätter buchen] ; LOCAL[Blätter waschen und grob schneiden] ; LOCAL[Schnittgut in Wasser mazerieren] ; LOCAL[erste Blattflotte absetzen lassen und Feld schließen]	NONE;DUAL_UNRESOLVED	NO	PASS_EXACT_OPAQUE_ID_SEQUENCE	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	REGISTER_IDS_RECORD_LOCAL;LINE_RESET_NOT_SENTENCE;DUAL_LOCAL_EXEMPLAR_ONLY
