astro_group_serial	unified_group_ordinal	diagram_id	page	source_locus	local_locus_id	local_group_id	local_lookup_address	group_index_within_locus	surface_display_only	instrument_component	formal_local_role	working_mnemonic_or_UNKNOWN_EXEMPLAR	iatromedical_local_exemplar	practical_local_exemplar	orientation_contract	crosspage_contract	line_reflow_operation	domain_selection	complete_source_recovery_without_exemplar	formal_roundtrip	semantic_contract	source_lineage
1	382	A1	f67r2	f67r2.1	A1:L001	A1:G001	A1:C01:G01	1	ykshy	COLUMN_12	COLUMN_KEY	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 1: Widder; Körperbezirk: Kopf und	Termin-/Sektorspalte C01 wählen; Fragment 01 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
2	383	A1	f67r2	f67r2.1	A1:L001	A1:G002	A1:C01:G02	2	s	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Gesicht; bei Mond in diesem Zeichen den Bezirk	Termin-/Sektorspalte C01 wählen; Fragment 02 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
3	384	A1	f67r2	f67r2.1	A1:L001	A1:G003	A1:C01:G03	3	aram	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C01 wählen; Fragment 03 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>LOCUS_RESET	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
4	385	A1	f67r2	f67r2.2	A1:L002	A1:G004	A1:C02:G01	1	ykecho	COLUMN_12	COLUMN_KEY	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 2: Stier; Körperbezirk: Hals und	Termin-/Sektorspalte C02 wählen; Fragment 01 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
5	386	A1	f67r2	f67r2.2	A1:L002	A1:G005	A1:C02:G02	2	ols	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] Kehle; bei Mond in diesem Zeichen den Bezirk	Termin-/Sektorspalte C02 wählen; Fragment 02 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
6	387	A1	f67r2	f67r2.2	A1:L002	A1:G006	A1:C02:G03	3	eesydy	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C02 wählen; Fragment 03 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>LOCUS_RESET	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
7	388	A1	f67r2	f67r2.3	A1:L003	A1:G007	A1:C03:G01	1	ey	COLUMN_12	COLUMN_KEY	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 1/3; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 3: Zwillinge; Körperbezirk: Schultern, Arme	Termin-/Sektorspalte C03 wählen; Fragment 01 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
8	389	A1	f67r2	f67r2.3	A1:L003	A1:G008	A1:C03:G02	2	shs	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 2/3; KEINE KARTENGLOSSE] und Hände; bei Mond in diesem Zeichen den	Termin-/Sektorspalte C03 wählen; Fragment 02 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
9	390	A1	f67r2	f67r2.3	A1:L003	A1:G009	A1:C03:G03	3	okar	COLUMN_12	COLUMN_DESCRIPTOR_FRAGMENT	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 3/3; KEINE KARTENGLOSSE] Bezirk schonen und dort keinen starken Eingriff vornehmen.	Termin-/Sektorspalte C03 wählen; Fragment 03 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>LOCUS_RESET	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
10	391	A1	f67r2	f67r2.4	A1:L004	A1:G010	A1:C04:G01	1	shekchy	COLUMN_12	COLUMN_KEY	UNKNOWN_EXEMPLAR_LOCAL	[LOKALER EXEMPLARTEXT 1/2; KEINE KARTENGLOSSE] Externer Editionswert Zeichen 4: Krebs; Körperbezirk: Brust und Brüste; bei Mond in	Termin-/Sektorspalte C04 wählen; Fragment 01 als opaken Merker bewahren	SOURCE_LOCUS_PRESERVED;NO_IMPLICIT_START_OR_DIRECTION	PAGE_LOCAL_ID_ONLY;NO_F68_F69_JOIN;NO_PROSE_TUPLE	NOT_A_PROSE_FIELD>SPACE	NONE;DUAL_UNRESOLVED	NO	PASS	NO_PROSE_ID_OR_PROMPT;PAGE_LOCAL_EXEMPLAR_NOT_WORD;NO_F68_F69_JOIN	GUARDED_V22_ASTRO_ROW>V55_SELECTED_INSTRUMENT>V66_R3_LOCAL_GROUP>V68_DUAL>V69_R3
