unit_id	page	medical_best_fact	medical_strongest_contradiction	practical_best_fact	practical_strongest_contradiction	local_balance	formal_binding_confidence	medical_content_confidence	practical_content_confidence	final_editorial_status
H1	f10r	Illustrated root article plus measure, use and ready-state is normal materia medica.	Teufelsabbiss, inner use and ailment are wholly unlicensed; the process also fits detergent.	Root, water, measured use, storage and reheating form a coherent wash-liquor recipe.	The image is not identified as Saponaria and no textile or foam is visible.	MEDICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.34	0.28	DUAL_KEEP
H2	f10r	Two fractions combine naturally into an outer salve.	Oil, salve, lesion and fire are exemplar-only; double ANSATZ? is awkward.	Two fractions and double batch marking naturally fit a plant cleanser.	Plant cleanser versus true lye/fat soap is chemically blurred and textiles are invisible.	TIE	1.00	0.31	0.31	DUAL_KEEP
H3	f11r	Violet extract plus oil has strong medicinal and regimen comparators.	Long illustrated roots weaken Viola; chest, mood and eyelids are invented.	Clear flower water plus oil is a coherent scent branch.	Bath linen, scent use and smell test are invented; perfume overlaps medicine.	MEDICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.39	0.36	DUAL_KEEP
H4	f55v	Filtration followed by wash and poultice is a coherent external herbal sequence.	No card supplies wound, honey, wine or poultice; Allium/Plantago is uncertain.	Mash, filter, test swatch and second vat form a coherent dye process.	Waid, alkaline liquid, wool and vat are invisible and the image fit is weak.	MEDICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.35	0.28	DUAL_KEEP
H5	f56r	Short target application plus dried reserve can form two medical preparations.	Drosera around 1420 and the chest-drink tail are especially weak; 21/27 events are exemplar-only.	Apply-remove-repeat-dry-store-reextract is unusually coherent for turnsole clothlets.	Chrozophora and every clothlet/painter noun are new image/exemplar assumptions.	PRACTICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.23	0.30	DUAL_KEEP
B1	f81v	A bath preparation can legitimately include apparatus operation.	No local body owner is secure and 43/66 events are exemplar-only.	Repeated stations, flushing, measures and handoffs are ordinary plant/water supply work.	No boiler, linen store, staff or flow direction is secure.	TIE	1.00	0.34	0.35	DUAL_KEEP
B2	f82r	Figures integrated with pools make an actual bather the strongest visible owner.	No disease or therapeutic target is visible; 46/62 events are exemplar-only.	Hot/cool mixing, tub filling, drain, rinse and towel make an ordinary bathhouse cycle.	No customer, payment, staff or commercial rubric is visible.	TIE	1.00	0.40	0.40	DUAL_KEEP
B3	f83r	Long warm wash and return can serve external lavage.	Figurally empty outlet owners contradict continuous patient prose.	Longest repeated settle/mix/distribute/drain/return sequence is hydraulically natural.	Direction, height, water quality and engineering labels are all supplied.	TIE_PRACTICAL_PROCESS_EDGE	1.00	0.32	0.38	DUAL_KEEP
B4	f83r	Warm cloth washing or poultice has a strong historical therapeutic analogue.	No card means skin, wound, cloth or wine.	The same cloth, filter, rinse and drain sequence fits bathhouse laundry.	Textile owner and drying place are as silent as the body owner.	MEDICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.36	0.32	DUAL_KEEP
B5	f83r	A held warm remainder can serve a continuing treatment.	Only three statements and no disease clause exist.	Boiler hold and handoff fully explain the short technical note.	Boiler, worker and shift are unlicensed.	PRACTICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.20	0.37	DUAL_KEEP
B6	f83r	A cool filtered dose is possible in pharmacy.	Both fields remain open and medical purpose is absent.	Cold bypass/filter handoff explains the open technical tail.	Filter, direction and endpoint are invisible.	PRACTICAL_LOCAL_EDGE_WITH_PARITY	1.00	0.18	0.35	DUAL_KEEP
A1	f67r2	7 planets, 12 signs/body sectors and medical electiones form a specific period system.	No complete 7×12 matrix, operator, name, start or direction is identified.	General work astrology avoids body sectors and is much cheaper in content assumptions.	Fire, weather, procurement and all jobs are equally external.	PARITY_MEDICAL_MORE_SPECIFIC_PRACTICAL_CHEAPER	1.00	0.29	0.25	DUAL_KEEP
A2	f68r1	Twenty-eight spatial addresses fit a lunar-mansion catalogue with medical-magical uses.	The number 28 alone identifies nothing; every name and effect is external.	The same mansions can govern ordinary travel, trade, harvest and craft work.	The complete work inventory is invented; start and direction remain unknown.	TIE	1.00	0.22	0.22	DUAL_KEEP
A3	f69v	An independent 28-rule election schedule can govern medical acts.	No rule is surface-anchored and a 30-day lunarium is a strong rival.	An independent work schedule makes no body or disease assumptions.	No visible bridge links it to any workshop or to A2.	TIE	1.00	0.20	0.20	DUAL_KEEP
