event_serial	page	locus	record_unit_id	field_id	statement_id	event_index_in_record	joint_tuple_id	surface_display_only	formal_formula_opaque	FORMAL_VALUE	FORMAL_CONTROL_AT_THIS_EVENT	ATOMIC_OR_WHOLE_CARD_MNEMONIC	dictionary_status	terminal_status	v63_source_order_slot	v63_parse_status	register_state_before	register_update	register_state_after	iatromedical_content_class	IATROMEDICAL_SIMPLE_BATH_ELECTION	practical_content_class	PRACTICAL_MATERIAL_PROCESS_SCHEDULE	content_preference	content_status	renderer_instruction	semantic_contract
1	f10r	f10r.2	H1	F001	H1-S001	1	65f320e75510b2f38182	dchey	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	MATERIAL	Vom abgebildeten Wurzelkraut. Grabe den unteren Wurzelstock	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; START_SELECTED_STATEMENT	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
2	f10r	f10r.2	H1	F001	H1-S001	2	dedc383b600397a301ee	cthoor	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:säubere ihn]	MATERIAL	aus, klopfe Erde ab, wasche ihn zweimal	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
3	f10r	f10r.2	H1	F001	H1-S001	3	4d4559019a961b834aa1	char	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	MATERIAL	und schneide ihn in dünne Stücke. Lege	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
4	f10r	f10r.2	H1	F001	H1-S001	4	80ebbbbf238eee9f0aef	chty	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:zerschneide ihn]	MATERIAL	die Stücke in Regenwasser mit einer	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
5	f10r	f10r.2	H1	F001	H1-S001	5	df1098831679a8ad1b39	os	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:gib ihn in den Brennhafen]	MATERIAL	kleinen Portion Holzasche, erwärme den Topf gelinde	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
6	f10r	f10r.2	H1	F001	H1-S001	6	12efe866f335461823a6	chair	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:füge Quellwasser hinzu]	MATERIAL	und lasse den Ansatz über Nacht stehen.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
7	f10r	f10r.2	H1	F001	H1-S001	7	62ff059766b21c7de083	otytchol	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:fange den ersten Lauf im Glas auf]	MATERIAL	Ziehe den ersten klaren Lauf durch Leinwand	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
8	f10r	f10r.2	H1	F001	H1-S001	8	276a7c2d74d1143446f4	oky	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	ANWENDEN?	MNEMONIC_ONLY	NONCLOSE	ACTION	UNIQUE_EXACT	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	APPLY(ACTIVE_ITEM/PREPARATION,TARGET/STATION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	MATERIAL	ab, miss ihn nach dem örtlichen Werkstattmaß	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
9	f10r	f10r.2	H1	F001	H1-S001	9	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	VORGABEPARAMETER?	MASS?	MNEMONIC_AND_FORMAL_CONTROL	NONCLOSE	PARAMETER_ASSIGNMENT	UNIQUE_CONVERGENT_CHANNELS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MATERIAL	und prüfe ihn an einem alten Leinenrest.	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
10	f10r	f10r.2	H1	F001	H1-S001	10	a6939862e33ece5a0483	etyd	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	NONCLOSE	EXEMPLAR_TAIL	UNPARSED_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	SIMPLE	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	MATERIAL	Verwende die milde Portion zum Scheuern hölzerner	COEQUAL	BOTH_RECORD_LOCAL_EXEMPLARS; NOT_CARD_VALUES	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	EXACT_ID_FORMAL_MNEMONIC_LOCAL_CONTENT_SEPARATE; NO_NEW_SEMANTICS
