entry_type	entry_id	exact_identity_or_scope	fixed_value_or_order	class_or_function	occurrences	strongest_live_rival	allowed_use	forbidden_use
EXACT_CARD	AIIN	2f1c5e56e8f0ff459065	MASS?	PARAMETER_NOUN	20	SOLLWERT?	One short tentative source concept at exact joint-tuple identity only.	No number, unit, object, phonetic value or substring inheritance.
EXACT_CARD	OKY	276a7c2d74d1143446f4	ANWENDEN?	ACTION	10	VERWENDEN?|AUSFÜHREN?	One short tentative action at exact joint-tuple identity only.	No patient, body site, material, purpose or sentence gloss.
EXACT_CARD	CTHY	e0b630cb1b5df5e7105b	BEREIT?	STATE	7	FREIGABE?	One short tentative state at exact joint-tuple identity only.	No criterion, time, temperature or phonetic value.
EXACT_CARD	OR	7a4bb8136330ee4e6e56	ANSATZ?	WORKING_MATERIAL_NOUN	7	ZUBEREITUNG?	One short tentative working-material concept; double occurrence stays visible.	No ingredient, liquid, plant or hidden preparation phrase.
EXACT_CARD	AL	dd0ecaf5e27d81befffc	ZIEL?	RELATION_ARGUMENT	10	DORTHIN?	Requests an anonymous target slot.	No preposition, place, body part, vessel or direction decoded.
EXACT_CARD	EY	b5df9126607030b95175	KLAR?	STATE	4	ENDZUSTAND?	One short tentative state.	Never expand to a full clause such as until liquid runs clear.
EXACT_CARD	OLOR	dec401773c1f0347793d	VORIGES?	BACK_REFERENCE	2	VOM VORIGEN?|VORLAUF?	Requests the record-local PREVIOUS register.	No cross-record antecedent and no named previous substance.
EXACT_CARD	OTCHEY	faf321940aed922846a9	ANTEIL?	SELECTION_NOUN	2	NIMM?|POSTEN?	Selects an anonymous part or share.	No numeric fraction, imperative phrase or visible decomposition.
EXACT_CARD	OKEEY	0275fbf14e07935b0a45	TEMPERIEREN?	ACTION	7	LAUWARM?	One tentative operation on ACTIVE.	No fixed temperature, heating apparatus or water meaning.
EXACT_CARD	OKE	7db18b2f0fb7ed0fcfd3	SPÜLEN?	TERMINAL_ACTION	8	SCHRITT_A?	Tentative terminal action; terminal-family confounding stays explicit.	No water, conduit, body or universal flush claim.
EXACT_CARD	LCHE	de7321bface5628e35d6	ABLASSEN?	TERMINAL_ACTION	8	SCHRITT_B?|ABFÜHREN?	Tentative terminal action; terminal-family confounding stays explicit.	No drain, vessel or direction without local exemplar.
