unified_group_id	unified_group_ordinal	namespace	unit_id	page	source_locus	field_or_local_address	statement_or_local_locus	opaque_exact_or_local_id	surface_display_only	formal_layer	working_mnemonic_or_UNKNOWN_EXEMPLAR	parser_or_layout_role	iatromedical_local_exemplar	practical_local_exemplar	terminal_field_line_layer	state_contract	domain_selection	complete_source_recovery_without_exemplar	formal_roundtrip	semantic_contract
U0001	1	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:65f320e75510b2f38182	dchey	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0002	2	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:dedc383b600397a301ee	cthoor	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:säubere ihn]	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0003	3	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:4d4559019a961b834aa1	char	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0004	4	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:80ebbbbf238eee9f0aef	chty	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:zerschneide ihn]	LOCAL[beschädigte Fasern aussortieren]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0005	5	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:df1098831679a8ad1b39	os	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:gib ihn in den Brennhafen]	LOCAL[sauberen Wurzelstock grob schneiden]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0006	6	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:12efe866f335461823a6	chair	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:füge Quellwasser hinzu]	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0007	7	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:62ff059766b21c7de083	otytchol	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:fange den ersten Lauf im Glas auf]	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0008	8	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:276a7c2d74d1143446f4	oky	OPAQUE_EXACT_CARD|NONE	ANWENDEN?	ACTION_APPLY	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0009	9	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:2f1c5e56e8f0ff459065	daiin	OPAQUE_EXACT_CARD|VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGN	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	NONCLOSE|APPEND_FIELD>SPACE	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
U0010	10	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	P:a6939862e33ece5a0483	etyd	OPAQUE_EXACT_CARD|NONE	UNKNOWN_EXEMPLAR	EXEMPLAR_ONLY	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL[trockenen Rest als H1-R02 verwahren]	NONCLOSE|OPEN_FIELD_CUT>LINE_RESET	FOUR_RECORD_LOCAL_REGISTERS	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE
