global_index	section	page	unit_id	locus	opaque_identity	surface_display_only	formal_role	working_mnemonic	iatromedical_text	practical_text	source_recovery_without_exemplar
1	PROSE	f10r	H1	f10r.2	65f320e75510b2f38182	dchey	EXEMPLAR_ONLY	UNKNOWN	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	NO_FULL_SOURCE_RECOVERY
2	PROSE	f10r	H1	f10r.2	dedc383b600397a301ee	cthoor	EXEMPLAR_ONLY	UNKNOWN	[GENRE:säubere ihn]	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	NO_FULL_SOURCE_RECOVERY
3	PROSE	f10r	H1	f10r.2	4d4559019a961b834aa1	char	EXEMPLAR_ONLY	UNKNOWN	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	NO_FULL_SOURCE_RECOVERY
4	PROSE	f10r	H1	f10r.2	80ebbbbf238eee9f0aef	chty	EXEMPLAR_ONLY	UNKNOWN	[GENRE:zerschneide ihn]	LOCAL[beschädigte Fasern aussortieren]	NO_FULL_SOURCE_RECOVERY
5	PROSE	f10r	H1	f10r.2	df1098831679a8ad1b39	os	EXEMPLAR_ONLY	UNKNOWN	[GENRE:gib ihn in den Brennhafen]	LOCAL[sauberen Wurzelstock grob schneiden]	NO_FULL_SOURCE_RECOVERY
6	PROSE	f10r	H1	f10r.2	12efe866f335461823a6	chair	EXEMPLAR_ONLY	UNKNOWN	[GENRE:füge Quellwasser hinzu]	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	NO_FULL_SOURCE_RECOVERY
7	PROSE	f10r	H1	f10r.2	62ff059766b21c7de083	otytchol	EXEMPLAR_ONLY	UNKNOWN	[GENRE:fange den ersten Lauf im Glas auf]	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	NO_FULL_SOURCE_RECOVERY
8	PROSE	f10r	H1	f10r.2	276a7c2d74d1143446f4	oky	ACTION_APPLY	ANWENDEN?	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	NO_FULL_SOURCE_RECOVERY
9	PROSE	f10r	H1	f10r.2	2f1c5e56e8f0ff459065	daiin	PARAMETER_ASSIGN	MASS?	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	NO_FULL_SOURCE_RECOVERY
10	PROSE	f10r	H1	f10r.2	a6939862e33ece5a0483	etyd	EXEMPLAR_ONLY	UNKNOWN	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL[trockenen Rest als H1-R02 verwahren]	NO_FULL_SOURCE_RECOVERY
11	PROSE	f10r	H1	f10r.5	9ad66e67803a12e745de	qokchy	EXEMPLAR_ONLY	UNKNOWN	[EXEMPLAR:nimm den frischen ersten Lauf]	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen]	NO_FULL_SOURCE_RECOVERY
12	PROSE	f10r	H1	f10r.5	e8a6105b5c3a6220b440	qotchol	EXEMPLAR_ONLY	UNKNOWN	[GENRE:erwärme ihn gelinde]	LOCAL[zweiten Auszug gelinde erwärmen]	NO_FULL_SOURCE_RECOVERY
13	PROSE	f10r	H1	f10r.5	dcda95c81a5460feb191	chol	LINK_ACTIVE	UNKNOWN	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; keine Wortbedeutung] [REGISTER:H1:I001 fortführen]	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen]	NO_FULL_SOURCE_RECOVERY
14	PROSE	f10r	H1	f10r.5	e0b630cb1b5df5e7105b	cthy	STATE_GATE	BEREIT?	[CARD:BEREIT?] [EXEMPLAR:bis zum örtlichen Gebrauchszustand]	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	NO_FULL_SOURCE_RECOVERY
15	PROSE	f10r	H2	f10r.6	7249edc4df3419c26999	ycheor	EXEMPLAR_ONLY	UNKNOWN	[IMAGE:Blütenköpfe und junge Blätter derselben Teufelsabbiss-Pflanze]	LOCAL[Bildbesitzer H2 als Oberteil-Los H2-R01 eröffnen]	NO_FULL_SOURCE_RECOVERY
16	PROSE	f10r	H2	f10r.6	e0b630cb1b5df5e7105b	cthy	STATE_GATE	BEREIT?	[CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen]	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Erntegut als verarbeitungsbereit markieren]	NO_FULL_SOURCE_RECOVERY
