source_id	register_or_mechanism	date_and_item	supports	cannot_support	reference_url
S01	HERBAL_MEDICAL	circa 1280-1310, British Library Egerton MS 747 illustrated herbal	Illustrated plant owner followed by a materia-medica article.	No Voynich plant identity, card meaning or source language.	https://searcharchives.bl.uk/catalog/032-001983805
S02	HERBAL_RECIPE_ORDER	fifteenth-century Rawlinson C.299 remedy book study	Ailment, ingredients, preparation and application; short vernacular imperatives.	No exact mapping to any visible group.	https://www.cambridge.org/core/journals/medical-history/article/evidence-for-the-continued-use-of-medieval-medical-prescriptions-in-the-sixteenth-century-a-fifteenthcentury-remedy-book-and-its-later-owner/95663D54A46819495D78EE9BF7FC88EA
S03	FORMULARY_AND_HANDS	mid-fifteenth century, Wellcome MS.683	Latin Recipe/ana/fiat formulary, two principal hands and additions.	No evidence for this private whole-card deck.	https://wellcomecollection.org/works/w6ne7k4t
S04	PLANT_RAW_MATERIAL	fifteenth century, Bologna Manuscript or Secrets of Colours	Practical preparation of colors in a late-medieval craft recipe book.	No identification of the five plant pictures or exact process.	https://www.hrz.hr/en/activities/publications/books-and-proceedings/secrets-of-colours-a-15th-century-handbook-on-the-preparation-of-paints/
S05	DYER_MISCELLANY	fifteenth-century Valencia, Joanot Valero manual	Dye recipes, stain removal, medical recipes, abbreviations and accounts in artisan Fachliteratur.	Lost original and later witness; does not prove this ten-page unity.	https://scholarworks.iu.edu/journals/index.php/tmr/article/view/17771
S06	SOAP_DYE_SCENT	fifteenth/sixteenth-century Arabic copy, British Library Or 5927	One craft collection contains soap, stain removal, cloth dyes, rosewater and scents.	Broad date and no demonstrated transmission to this manuscript.	https://www.qdl.qa/en/archive/81055/vdc_100069614977.0x00002a
S07	MEDICAL_BATH_IMAGE	circa 1400, Morgan MS G.74 De balneis Puteolanis	Naked bathers, pools and therapeutic water as a real illustrated genre.	Cannot decide therapy versus ordinary bathhouse operation here.	https://ica.themorgan.org/manuscript/page/22/77063
S08	ORDINARY_BATHHOUSE	medieval Danish evidence with German/Swedish comparisons	Heated stones, steam, cold rinse, birch switches and additional staff services.	No direct correspondence to a Bio record or apparatus part.	https://tidsskrift.dk/kuml/article/view/24661
S09	WATER_TECHNOLOGY	medieval European urban and monastic systems, Roberta Magnusson	Sources, gradients, cisterns, branches, pipes, tanks, drains, cleaning and repair.	General synthesis cannot determine flow direction in the drawings.	https://books.google.com/books/about/Water_Technology_in_the_Middle_Ages.html?id=3JhG-zqV9eMC
S10	MEDICAL_ASTRO	1415-1420, Wellcome folding almanac	Portable consultation of planetary hours and lunar place before medical action.	Does not establish the proposed 7/12/28 values.	https://wellcomecollection.org/stories/the-enigma-of-the-medieval-folding-almanac
S11	PRACTICAL_ASTRO	1434, Michael of Rhodes manuscript	Vernacular mathematics, astronomy, astrology, navigation, shipbuilding and work record in one practical book.	No herbal, bathhouse or 28-entry correspondence.	https://brunelleschi.imss.fi.it/michaelofrhodes/manuscript.html
S12	WORK_CALENDAR	circa 1400, Staatsbibliothek Berlin Libr. pict. A 92	Folded calendar combines labors of months, zodiac and daylight wheels.	Twelve months do not explain either 28-part diagram.	https://blog.sbb.berlin/time-unfolded-a-late-medieval-concertina-calendar-in-the-staatsbibliothek-zu-berlin-libr-pict-a-92/
S13	MIXED_MEDICAL_TECHNICAL_BOOK	circa 1420-1430, British Library Add MS 29301	Surgery, medicinal plants, recipes and Zodiac Man coexist in a practical compilation.	Does not prove common notation or content linkage across these ten pages.	https://searcharchives.bl.uk/catalog/032-002020783
S14	LUNAR_MANSIONS	medieval Latin Picatrix tradition	Twenty-eight lunar mansions can carry named operation-bearing entries.	No name, operation, start or direction maps to an Astro surface.	https://commons.warburg.sas.ac.uk/downloads/8g84mm241
