unit_id	page	register	canonical_ledger	canonical_sha256	selector_field	selector_value	serial_field	serial_start	serial_end	visible_group_count	field_or_locus_count	statement_count	dual_edition_row	content_parity	semantic_contract
H1	f10r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	859989179b98a28afd4b289b4878d4c4e77d106bd0552113e3be1493460045d5	record_unit_id	H1	event_serial	1	14	14	2	2	H1	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
H2	f10r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	859989179b98a28afd4b289b4878d4c4e77d106bd0552113e3be1493460045d5	record_unit_id	H2	event_serial	15	38	24	3	3	H2	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
H3	f11r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	859989179b98a28afd4b289b4878d4c4e77d106bd0552113e3be1493460045d5	record_unit_id	H3	event_serial	39	55	17	4	4	H3	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
H4	f55v	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	859989179b98a28afd4b289b4878d4c4e77d106bd0552113e3be1493460045d5	record_unit_id	H4	event_serial	56	73	18	4	4	H4	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
H5	f56r	HERBAL	experiments/yolo/sidequest_theory_candidates_v64/V64_R2_100_EVENT_HERBAL_INTERLINEAR.tsv	859989179b98a28afd4b289b4878d4c4e77d106bd0552113e3be1493460045d5	record_unit_id	H5	event_serial	74	100	27	7	6	H5	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B1	f81v	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B1	event_serial	101	166	66	24	21	B1	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B2	f82r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B2	event_serial	167	228	62	26	22	B2	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B3	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B3	event_serial	229	314	86	38	34	B3	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B4	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B4	event_serial	315	361	47	20	16	B4	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B5	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B5	event_serial	362	372	11	5	3	B5	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
B6	f83r	BIOLOGICAL	experiments/yolo/sidequest_theory_candidates_v65/V65_R2_281_EVENT_BIO_INTERLINEAR.tsv	050d3fca062e91ab659223b840117988a5b703515eebf2c8173bdecc25eeedd9	record_unit_id	B6	event_serial	373	381	9	2	1	B6	PRIMARY_AND_RIVAL_SAME_VISIBLE_EVENTS	NO_NEW_CARD_MEANING;LOCAL_EXPANSIONS_ONLY
