event_serial	page	locus	record_unit_id	field_id	statement_id	event_index_in_locus	event_index_in_record	surface_display_only	exact_joint_card_id	formal_formula_opaque	formal_value	terminal_status	strict_formal_prompt	working_exact_mnemonic_or_UNKNOWN_EXEMPLAR	semantic_tail_status	compiler_channel	bounded_template	template_trigger_origin	template_parse_status	required_registers	symbolic_register_effect	field_and_line_operation	iatromedical_local_exemplar	practical_local_exemplar	domain_selection	complete_source_recovery_without_exemplar	formal_roundtrip	semantic_contract	source_lineage
1	f10r	f10r.2	H1	F001	H1-S001	1	1	dchey	65f320e75510b2f38182	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
2	f10r	f10r.2	H1	F001	H1-S001	2	2	cthoor	dedc383b600397a301ee	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[GENRE:säubere ihn]	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
3	f10r	f10r.2	H1	F001	H1-S001	3	3	char	4d4559019a961b834aa1	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
4	f10r	f10r.2	H1	F001	H1-S001	4	4	chty	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[GENRE:zerschneide ihn]	LOCAL[beschädigte Fasern aussortieren]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
5	f10r	f10r.2	H1	F001	H1-S001	5	5	os	df1098831679a8ad1b39	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[GENRE:gib ihn in den Brennhafen]	LOCAL[sauberen Wurzelstock grob schneiden]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
6	f10r	f10r.2	H1	F001	H1-S001	6	6	chair	12efe866f335461823a6	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[GENRE:füge Quellwasser hinzu]	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
7	f10r	f10r.2	H1	F001	H1-S001	7	7	otytchol	62ff059766b21c7de083	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	APPEND_FIELD>SPACE	[GENRE:fange den ersten Lauf im Glas auf]	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
8	f10r	f10r.2	H1	F001	H1-S001	8	8	oky	276a7c2d74d1143446f4	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	ANWENDEN?	CREATIVE_SHORT_PROMPT_NOT_TRANSLATION	EXACT_MNEMONIC	ACTION_APPLY	EXACT_JOINT_TUPLE_MNEMONIC	UNIQUE_EXACT	ACTIVE_ITEM/PREPARATION|TARGET/STATION	APPLY(ACTIVE_ITEM/PREPARATION,TARGET/STATION)	APPEND_FIELD>SPACE	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R4_EXACT_CARD_PRESSURE>V63_SELECTED_PARSE>V68_DUAL>V69_R3
9	f10r	f10r.2	H1	F001	H1-S001	9	9	daiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	VORGABEPARAMETER?	MASS?	CREATIVE_SHORT_PROMPT_NOT_TRANSLATION	EXACT_MNEMONIC_PLUS_FORMAL_CONVERGENT	PARAMETER_ASSIGN	EXACT_PLUS_FORMAL_CONVERGENT	UNIQUE_CONVERGENT_CHANNELS	ACTIVE_ITEM/PREPARATION	PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	APPEND_FIELD>SPACE	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R4_EXACT_CARD_PRESSURE>V63_SELECTED_PARSE>V68_DUAL>V69_R3
10	f10r	f10r.2	H1	F001	H1-S001	10	10	etyd	a6939862e33ece5a0483	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR;LOCAL_PAYLOAD_REQUIRED	EXEMPLAR_WHOLE_CARD	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	OWNER	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OPEN_FIELD_CUT>LINE_RESET	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL[trockenen Rest als H1-R02 verwahren]	NONE;DUAL_UNRESOLVED	NO	PASS	NO_CONFIRMED_LEXEME;NO_PAGE_HOST_OR_COMPONENT_MEANING;LOCAL_DUAL_TEXT_NOT_CARD_VALUE	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V63_SELECTED_PARSE>V68_DUAL>V69_R3
